assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,495,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,16,0,0,0,0,1,0,7173,0,0,0.0,0,0,0,0,60,False,0,Burnley,Southampton,2,2,3,1819
0,0,0,0,0.0,495,12,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,18,0,0,0,0,2,0,5159,3,1,0.0,0,-2142,123,2265,60,True,0,Burnley,Watford,3,3,3,1819
0,0,0,0,0.0,495,23,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,9,0,0,0,0,3,0,3897,2,4,0.0,0,-1405,143,1548,60,False,0,Burnley,Fulham,2,2,3,1819
0,0,2,0,1.3,495,32,0,0,0.8,1.0,2018-09-02T15:00:00Z,6,14,0,0,0,0,4,0,3442,2,0,6.0,1,-608,156,764,60,True,0,Burnley,Man Utd,3,4,3,1819
0,0,3,0,11.6,495,50,1,0,2.0,4.0,2018-09-16T12:30:00Z,34,20,0,0,0,0,5,0,3148,0,1,4.0,1,-397,210,607,59,False,0,Burnley,Wolves,2,3,3,1819
0,0,28,0,2.0,495,53,0,1,7.0,31.4,2018-09-22T14:00:00Z,59,2,0,0,0,0,6,0,2939,0,4,37.0,5,-263,157,420,59,True,0,Burnley,Bournemouth,3,2,3,1819
0,0,5,0,1.5,495,63,1,0,0.9,4.2,2018-09-30T15:00:00Z,71,5,0,0,0,0,7,0,3784,2,1,3.0,2,674,912,238,59,False,0,Burnley,Cardiff,2,2,3,1819
0,0,2,0,0.2,495,72,0,0,0.0,0.0,2018-10-06T14:00:00Z,1,10,0,0,0,0,8,0,3852,1,1,0.0,1,54,412,358,59,True,0,Burnley,Huddersfield,3,2,3,1819
0,0,0,0,0.0,495,87,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,13,0,0,0,0,9,0,3196,0,5,0.0,0,-641,126,767,59,False,0,Burnley,Man City,2,5,3,1819
0,0,0,0,0.0,495,92,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,6,0,0,0,0,10,0,2980,4,0,0.0,0,-260,99,359,59,True,0,Burnley,Chelsea,3,4,3,1819
0,0,6,0,4.1,495,109,2,0,0.8,3.6,2018-11-03T15:00:00Z,71,19,0,0,0,0,11,0,2834,2,4,0.0,2,-199,89,288,58,False,0,Burnley,West Ham,2,3,3,1819
