assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
1,0,19,0,36.7,317,7,2,0,6.7,21.4,2018-08-11T11:30:00Z,68,17,0,0,0,0,1,0,46207,2,1,9.0,5,0,0,0,60,True,0,Newcastle,Spurs,3,4,2,1819
0,0,3,1,0.5,317,13,0,0,0.5,4.4,2018-08-18T11:30:00Z,69,5,0,0,0,0,2,0,64503,0,0,0.0,2,7894,12359,4465,60,False,1,Newcastle,Cardiff,2,2,2,1819
0,0,6,0,15.9,317,27,2,0,2.8,8.4,2018-08-26T15:00:00Z,90,6,0,0,0,0,3,0,54963,2,1,4.0,1,-9643,1783,11426,60,True,1,Newcastle,Chelsea,3,4,2,1819
0,0,0,0,0.0,317,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,42198,1,2,0.0,0,-13232,661,13893,60,False,0,Newcastle,Man City,2,5,2,1819
0,0,2,0,19.8,317,46,2,0,3.9,1.6,2018-09-15T14:00:00Z,78,1,0,0,0,0,5,0,32781,2,1,18.0,2,-9773,422,10195,59,True,0,Newcastle,Arsenal,3,4,2,1819
0,0,13,1,28.8,317,55,0,0,4.6,15.4,2018-09-22T14:00:00Z,72,7,0,0,0,0,6,0,31358,0,0,2.0,3,-1944,625,2569,59,False,0,Newcastle,Crystal Palace,2,2,2,1819
0,0,12,0,8.6,317,68,1,0,1.7,8.8,2018-09-29T14:00:00Z,64,11,0,0,0,0,7,0,30413,2,0,0.0,2,-1126,649,1775,59,True,0,Newcastle,Leicester,3,3,2,1819
0,0,7,0,34.7,317,77,3,0,9.9,18.4,2018-10-06T16:30:00Z,90,14,0,0,0,0,8,0,29053,2,3,46.0,1,-1391,319,1710,59,False,1,Newcastle,Man Utd,2,4,2,1819
0,0,5,0,19.0,317,88,1,0,11.4,9.8,2018-10-20T14:00:00Z,90,3,0,0,0,0,9,0,29947,1,0,85.0,2,516,2279,1763,59,True,0,Newcastle,Brighton,3,2,2,1819
0,0,9,1,7.8,317,98,0,0,1.8,10.6,2018-10-27T14:00:00Z,90,16,0,0,0,0,10,0,28585,0,0,0.0,3,-1273,565,1838,59,False,0,Newcastle,Southampton,2,2,2,1819
0,0,10,1,11.7,317,108,0,0,2.5,11.0,2018-11-03T15:00:00Z,90,18,0,0,0,0,11,0,27545,0,1,2.0,3,-1134,510,1644,58,True,0,Newcastle,Watford,3,3,2,1819
