assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,43,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,18,0,0,0,0,1,0,1596,3,0,0.0,0,0,0,0,45,False,0,Brighton,Watford,2,3,1,1920
0,0,0,0,0.0,43,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,19,0,0,0,0,2,0,1248,1,1,0.0,0,-378,42,420,45,True,0,Brighton,West Ham,2,2,1,1920
0,0,0,0,0.0,43,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,16,0,0,0,0,3,0,1131,2,0,0.0,0,-156,27,183,45,True,0,Brighton,Southampton,2,3,1,1920
0,0,0,0,0.0,43,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,11,0,0,0,0,4,0,1039,0,4,0.0,0,-108,17,125,44,False,0,Brighton,Man City,2,4,1,1920
0,0,0,0,0.0,43,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,5,0,0,0,0,5,0,961,1,1,0.0,0,-88,10,98,44,True,0,Brighton,Burnley,2,3,1,1920
0,0,0,0,0.0,43,58,0,0,0.0,0.0,2019-09-21T16:30:00Z,0,13,0,0,0,0,6,0,939,0,0,0.0,0,-27,11,38,44,False,0,Brighton,Newcastle,2,2,1,1920
0,0,0,0,0.0,43,63,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,6,0,0,0,0,7,0,916,0,2,0.0,0,-23,14,37,44,False,0,Brighton,Chelsea,2,4,1,1920
0,0,0,0,0.0,43,72,0,0,0.0,0.0,2019-10-05T11:30:00Z,0,17,0,0,0,0,8,0,900,0,3,0.0,0,-18,11,29,44,True,0,Brighton,Spurs,2,3,1,1920
0,0,0,0,0.0,43,81,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,2,0,0,0,0,9,0,910,1,2,0.0,0,6,35,29,44,False,0,Brighton,Aston Villa,2,2,1,1920
0,0,0,0,0.0,43,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,8,0,0,0,0,10,0,896,2,3,0.0,0,-19,18,37,44,True,0,Brighton,Everton,2,2,1,1920
