assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,5,0,14.0,415,5,4,0,5.7,18.6,2018-08-12T12:30:00Z,90,12,0,0,0,0,1,0,79349,0,4,24.0,1,0,0,0,70,False,1,West Ham,Liverpool,3,5,3,1819
0,0,0,0,0.0,415,20,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,2,0,0,0,0,2,0,77123,2,1,0.0,0,-6595,1646,8241,70,True,0,West Ham,Bournemouth,3,2,3,1819
0,0,12,0,25.3,415,21,1,0,5.1,12.0,2018-08-25T14:00:00Z,62,1,0,0,0,0,3,0,65056,1,3,14.0,2,-12172,286,12458,69,False,0,West Ham,Arsenal,3,4,3,1819
0,0,2,1,13.1,415,40,0,0,11.3,4.8,2018-09-01T14:00:00Z,74,20,0,0,0,0,4,0,59005,1,0,95.0,3,-6586,519,7105,69,True,0,West Ham,Wolves,3,3,3,1819
0,0,2,0,0.8,415,43,0,0,3.7,0.2,2018-09-16T15:00:00Z,26,8,0,0,0,0,5,0,56866,3,1,36.0,1,-2656,642,3298,69,False,0,West Ham,Everton,3,3,3,1819
0,0,3,1,1.6,415,60,0,0,4.0,1.4,2018-09-23T12:30:00Z,64,6,0,0,0,0,6,0,54632,0,0,37.0,3,-2451,316,2767,68,True,0,West Ham,Chelsea,3,4,3,1819
0,0,3,0,0.0,415,69,0,0,0.3,1.0,2018-09-29T11:30:00Z,7,14,0,0,0,0,7,0,53640,1,3,2.0,1,-1205,500,1705,68,True,0,West Ham,Man Utd,3,4,3,1819
0,0,3,0,1.9,415,71,0,0,1.8,4.8,2018-10-05T19:00:00Z,30,3,0,0,0,0,8,0,52823,0,1,11.0,1,-963,554,1517,68,False,0,West Ham,Brighton,3,2,3,1819
0,0,4,0,8.7,415,89,0,0,1.3,3.0,2018-10-20T14:00:00Z,18,17,0,0,0,0,9,0,51416,1,0,1.0,1,-1526,361,1887,68,True,0,West Ham,Spurs,3,4,3,1819
0,0,2,0,0.3,415,95,1,0,2.3,5.2,2018-10-27T16:30:00Z,29,11,0,0,0,0,10,0,50551,1,1,17.0,1,-985,296,1281,68,False,0,West Ham,Leicester,3,3,3,1819
1,0,14,0,10.3,415,109,0,0,2.8,17.2,2018-11-03T15:00:00Z,4,4,0,0,0,0,11,0,49675,2,4,0.0,4,-982,306,1288,68,True,0,West Ham,Burnley,3,2,3,1819
1,0,4,0,0.2,415,115,0,0,1.5,0.0,2018-11-10T15:00:00Z,26,10,0,0,0,0,12,0,49550,1,1,20.0,4,-258,711,969,68,False,0,West Ham,Huddersfield,3,2,3,1819
0,0,5,0,37.4,415,129,4,0,8.2,16.0,2018-11-24T15:00:00Z,90,13,0,0,0,0,13,0,49173,4,0,29.0,2,-485,426,911,68,True,0,West Ham,Man City,3,4,3,1819
0,0,0,0,0.0,415,139,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,15,0,0,0,0,14,0,49594,3,0,0.0,0,327,860,533,68,False,0,West Ham,Newcastle,3,3,3,1819
0,0,23,0,1.2,415,147,1,1,7.7,39.2,2018-12-04T19:45:00Z,90,5,0,0,0,0,15,0,49264,1,3,37.0,7,-395,569,964,68,True,0,West Ham,Cardiff,3,2,3,1819
0,0,0,0,0.0,415,160,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,7,0,0,0,0,16,0,51609,2,3,0.0,0,1877,2585,708,68,True,0,West Ham,Crystal Palace,3,2,3,1819
0,0,22,1,3.3,415,163,0,1,5.6,35.2,2018-12-15T17:30:00Z,84,9,0,0,0,0,17,0,49809,2,0,17.0,8,-1493,527,2020,68,False,0,West Ham,Fulham,3,2,3,1819
0,0,-8,0,23.4,415,179,2,0,6.2,5.0,2018-12-22T15:00:00Z,90,18,0,0,0,0,18,0,52360,2,0,34.0,1,2204,3041,837,68,True,1,West Ham,Watford,3,3,3,1819
1,2,28,0,25.8,415,188,1,0,8.1,36.4,2018-12-27T19:45:00Z,90,16,0,0,0,0,19,0,51153,2,1,19.0,7,-1161,659,1820,68,False,0,West Ham,Southampton,3,2,3,1819
