assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,20,1,29.0,253,5,0,1,16.9,47.6,2018-08-12T12:30:00Z,86,19,0,0,0,0,1,0,2478960,0,4,92.0,8,0,0,0,130,True,0,Liverpool,West Ham,5,3,2,1819
2,0,22,1,41.5,253,15,0,0,15.3,30.6,2018-08-20T19:00:00Z,90,7,0,0,0,0,2,0,2799491,2,0,81.0,9,38860,69743,30883,130,False,0,Liverpool,Crystal Palace,4,2,2,1819
0,0,28,1,72.0,253,25,0,1,20.3,49.0,2018-08-25T16:30:00Z,90,3,0,0,0,0,3,0,2892383,0,1,82.0,8,5370,80831,75461,130,True,0,Liverpool,Brighton,5,2,2,1819
0,0,7,0,12.5,253,37,1,0,4.1,5.0,2018-09-01T11:30:00Z,70,11,0,0,0,0,4,0,2995784,2,1,23.0,2,32547,79082,46535,130,False,0,Liverpool,Leicester,4,3,2,1819
0,0,7,0,31.8,253,48,1,0,12.2,16.0,2018-09-15T11:30:00Z,90,17,0,0,0,0,5,0,2754458,2,1,74.0,2,-261759,35679,297438,130,False,0,Liverpool,Spurs,4,4,2,1819
0,0,18,1,2.9,253,58,0,1,9.7,34.0,2018-09-22T14:00:00Z,90,16,0,0,0,0,6,0,2419608,0,3,60.0,8,-352832,21189,374021,130,True,0,Liverpool,Southampton,5,2,2,1819
0,0,8,0,25.7,253,64,1,0,7.5,9.4,2018-09-29T16:30:00Z,65,6,0,0,0,0,7,0,2330574,1,1,40.0,2,-106042,22128,128170,129,False,0,Liverpool,Chelsea,4,4,2,1819
0,0,1,1,1.9,253,76,0,0,3.3,0.0,2018-10-07T15:30:00Z,90,13,0,0,0,0,8,0,1992452,0,0,31.0,3,-338250,7940,346190,129,True,0,Liverpool,Man City,5,4,2,1819
0,0,26,1,12.5,253,86,0,1,13.2,43.0,2018-10-20T16:30:00Z,90,10,0,0,0,0,9,0,1681931,1,0,76.0,8,-321994,34581,356575,128,False,0,Liverpool,Huddersfield,4,2,2,1819
2,2,47,0,45.8,253,96,1,1,17.4,72.4,2018-10-27T14:00:00Z,90,5,0,0,0,0,10,0,1978411,1,4,56.0,15,251072,271983,20911,129,True,0,Liverpool,Cardiff,5,2,2,1819
0,0,11,0,53.7,253,101,1,0,11.6,12.8,2018-11-03T17:30:00Z,90,1,0,0,0,0,11,0,2050707,1,1,49.0,2,81044,116970,35926,130,False,0,Liverpool,Arsenal,4,4,2,1819
0,0,21,1,6.3,253,117,0,1,13.1,41.6,2018-11-11T12:00:00Z,90,9,0,0,0,0,12,0,2089855,0,2,83.0,8,24344,65031,40687,130,True,0,Liverpool,Fulham,5,2,2,1819
0,0,22,1,4.0,253,128,0,1,8.4,39.8,2018-11-24T15:00:00Z,85,18,0,0,0,0,13,0,2135344,3,0,40.0,8,36210,62620,26410,130,False,0,Liverpool,Watford,4,3,2,1819
0,0,14,1,49.5,253,137,0,0,6.5,6.0,2018-12-02T16:15:00Z,74,8,0,0,0,0,14,0,2120181,0,1,9.0,3,-12104,34604,46708,130,True,0,Liverpool,Everton,5,2,2,1819
1,0,14,0,35.3,253,143,0,0,12.0,28.4,2018-12-05T19:45:00Z,25,4,0,0,0,0,15,0,2077373,3,1,56.0,4,-46474,25877,72351,130,False,0,Liverpool,Burnley,4,3,2,1819
0,3,70,1,28.9,253,152,0,3,21.9,107.0,2018-12-08T12:30:00Z,90,2,0,0,0,0,16,0,2055754,4,0,83.0,21,-32078,34666,66744,130,False,0,Liverpool,Bournemouth,4,3,2,1819
0,0,4,0,43.5,253,165,1,0,8.2,9.8,2018-12-16T16:00:00Z,90,14,0,0,0,0,17,0,2155631,1,3,29.0,2,91147,125744,34597,130,True,0,Liverpool,Man Utd,5,4,2,1819
1,1,32,1,40.8,253,180,0,1,20.9,64.8,2018-12-21T20:00:00Z,90,20,0,0,0,0,18,0,2193139,2,0,103.0,12,28722,59291,30569,131,False,0,Liverpool,Wolves,4,3,2,1819
1,1,32,1,32.0,253,186,0,1,11.5,52.2,2018-12-26T15:00:00Z,90,15,0,0,0,0,19,0,2367967,0,4,31.0,12,154487,165059,10572,132,True,0,Liverpool,Newcastle,5,2,2,1819
1,2,31,0,26.4,253,196,1,1,14.3,55.4,2018-12-29T17:30:00Z,90,1,0,0,0,0,20,0,2413827,1,5,61.0,12,46135,80952,34817,132,True,0,Liverpool,Arsenal,5,4,2,1819
0,0,5,0,16.8,253,207,2,0,4.6,6.4,2019-01-03T20:00:00Z,90,13,0,0,0,0,21,0,2489006,1,2,23.0,2,67720,110142,42422,133,False,0,Liverpool,Man City,4,5,2,1819
0,3,31,1,35.4,253,211,0,1,13.4,46.4,2019-01-12T15:00:00Z,90,3,0,0,0,0,22,0,2644016,1,0,52.0,11,130655,161271,30616,133,False,0,Liverpool,Brighton,4,2,2,1819
