assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,13,1,13.4,343,8,0,0,6.1,10.0,2018-08-12T12:30:00Z,90,4,0,0,0,0,1,0,24948,0,0,38.0,3,0,0,0,55,True,0,Southampton,Burnley,2,2,2,1819
0,0,0,0,2.9,343,16,2,0,0.7,0.0,2018-08-18T14:00:00Z,90,8,0,0,0,0,2,0,26113,1,2,5.0,2,-1559,1659,3218,55,False,0,Southampton,Everton,2,3,2,1819
0,0,12,0,23.4,343,28,2,0,5.2,10.4,2018-08-25T14:00:00Z,90,11,0,0,0,0,3,0,23776,2,1,18.0,2,-2877,1442,4319,55,True,0,Southampton,Leicester,2,3,2,1819
0,0,13,1,23.3,343,35,0,0,7.7,17.0,2018-09-01T14:00:00Z,90,7,0,0,0,0,4,0,22057,2,0,37.0,3,-2235,1057,3292,54,False,0,Southampton,Crystal Palace,2,2,2,1819
0,0,13,0,40.6,343,47,2,0,7.7,14.8,2018-09-17T19:00:00Z,90,3,0,0,0,0,5,0,23335,2,2,22.0,2,639,3328,2689,54,True,0,Southampton,Brighton,2,2,2,1819
0,0,10,0,8.5,343,58,3,0,2.1,6.6,2018-09-22T14:00:00Z,90,12,0,0,0,0,6,0,20522,0,3,6.0,2,-2672,478,3150,54,False,0,Southampton,Liverpool,2,5,2,1819
0,0,7,0,44.4,343,70,2,0,9.4,17.8,2018-09-29T14:00:00Z,90,20,0,0,0,0,7,0,19379,0,2,32.0,2,-1341,569,1910,54,False,0,Southampton,Wolves,2,3,2,1819
0,0,13,0,20.0,343,78,3,0,6.5,17.8,2018-10-07T13:15:00Z,90,6,0,0,0,0,8,0,18457,3,0,27.0,2,-959,416,1375,53,True,0,Southampton,Chelsea,2,4,2,1819
0,0,4,1,28.7,343,82,0,0,4.4,9.8,2018-10-20T14:00:00Z,90,2,0,0,0,0,9,0,18268,0,0,5.0,3,-396,1163,1559,53,False,0,Southampton,Bournemouth,2,3,2,1819
0,0,13,1,32.5,343,98,0,0,7.8,14.0,2018-10-27T14:00:00Z,90,15,0,0,0,0,10,0,18886,0,0,31.0,3,387,1504,1117,53,True,0,Southampton,Newcastle,2,2,2,1819
0,0,7,0,7.3,343,107,5,0,2.3,10.0,2018-11-04T15:00:00Z,72,13,0,0,0,0,11,0,17232,1,6,6.0,2,-1487,327,1814,53,False,0,Southampton,Man City,2,5,2,1819
0,0,16,0,14.3,343,120,1,0,3.0,11.8,2018-11-10T15:00:00Z,89,18,0,0,0,0,12,0,17004,1,1,4.0,2,-389,682,1071,53,True,0,Southampton,Watford,2,3,2,1819
0,0,15,0,41.7,343,125,3,0,8.5,21.2,2018-11-24T15:00:00Z,90,9,0,0,0,0,13,0,16725,2,3,22.0,2,-343,602,945,53,False,0,Southampton,Fulham,2,2,2,1819
0,0,9,0,46.4,343,140,2,0,9.5,16.4,2018-12-01T17:30:00Z,90,14,0,0,0,0,14,0,16232,2,2,32.0,2,-475,280,755,52,True,0,Southampton,Man Utd,2,4,2,1819
0,0,10,0,9.8,343,150,3,0,4.7,9.2,2018-12-05T20:00:00Z,90,17,0,0,0,0,15,0,16669,1,3,28.0,2,355,1066,711,52,False,0,Southampton,Spurs,2,4,2,1819
0,0,1,0,8.2,343,154,1,0,2.1,3.0,2018-12-08T15:00:00Z,90,5,0,0,0,0,16,0,18335,0,1,10.0,2,1363,2034,671,52,False,0,Southampton,Cardiff,2,2,2,1819
1,0,19,0,38.3,343,167,2,0,8.4,25.2,2018-12-16T13:30:00Z,62,1,0,0,0,0,17,0,17218,2,3,20.0,5,-876,424,1300,52,True,0,Southampton,Arsenal,2,4,2,1819
1,3,34,0,17.8,343,176,1,1,9.9,50.8,2018-12-22T15:00:00Z,90,10,0,0,0,0,18,0,16751,3,1,30.0,13,-511,880,1391,52,False,0,Southampton,Huddersfield,2,2,2,1819
0,0,20,0,19.3,343,188,2,1,13.7,50.6,2018-12-27T19:45:00Z,90,19,0,0,0,0,19,0,36981,2,1,67.0,7,18334,19768,1434,52,True,0,Southampton,West Ham,2,3,2,1819
0,0,4,0,10.5,343,198,0,0,1.5,4.6,2018-12-30T14:15:00Z,45,13,0,0,0,0,20,0,43108,3,1,0.0,1,7057,11101,4044,52,True,0,Southampton,Man City,2,4,2,1819
0,0,2,1,2.7,343,204,0,0,0.8,5.0,2019-01-02T19:45:00Z,90,6,0,0,0,0,21,0,43915,0,0,0.0,3,752,7210,6458,52,False,0,Southampton,Chelsea,2,4,2,1819
0,0,13,0,12.2,343,217,1,0,2.6,11.6,2019-01-12T15:00:00Z,90,11,0,0,0,0,22,0,73814,2,1,2.0,2,28319,39543,11224,52,False,0,Southampton,Leicester,2,3,2,1819
0,0,-6,1,4.0,343,228,0,0,1.1,0.0,2019-01-19T15:00:00Z,85,8,0,0,0,0,23,0,99246,1,2,12.0,2,24033,41172,17139,52,True,1,Southampton,Everton,2,2,2,1819
0,0,2,0,13.6,343,239,1,0,2.2,3.6,2019-01-30T19:45:00Z,90,7,0,0,0,0,24,0,107635,1,1,5.0,2,8455,18682,10227,52,True,0,Southampton,Crystal Palace,2,2,2,1819
0,3,27,1,34.5,343,242,0,1,9.2,46.0,2019-02-02T15:00:00Z,86,4,0,0,0,0,25,0,98125,1,1,11.0,11,-7558,4117,11675,53,False,0,Southampton,Burnley,2,3,2,1819
0,0,4,0,4.7,343,257,2,0,4.9,11.8,2019-02-09T15:00:00Z,90,5,0,0,0,0,26,0,160387,2,1,32.0,1,57621,63043,5422,53,True,1,Southampton,Cardiff,2,2,2,1819
0,0,1,0,26.7,343,261,2,0,5.8,8.4,2019-02-24T14:05:00Z,90,1,0,0,0,0,27,0,150392,0,2,23.0,2,-5439,12275,17714,53,False,0,Southampton,Arsenal,2,4,2,1819
1,0,13,1,26.2,343,280,0,0,6.6,6.6,2019-02-27T19:45:00Z,90,9,0,0,0,0,28,0,163780,0,2,33.0,6,9078,17353,8275,53,True,0,Southampton,Fulham,2,2,2,1819
0,0,9,0,33.1,343,286,3,0,5.7,14.6,2019-03-02T15:00:00Z,90,14,0,0,0,0,29,0,148213,2,3,9.0,2,-14831,5390,20221,53,False,0,Southampton,Man Utd,2,4,2,1819
0,0,-4,0,4.8,343,300,1,0,3.5,6.4,2019-03-09T15:00:00Z,90,17,0,0,0,0,30,0,138648,1,2,24.0,1,-9855,5719,15574,53,True,1,Southampton,Spurs,2,4,2,1819
1,0,18,1,14.7,343,312,0,0,6.8,24.6,2019-03-30T15:00:00Z,88,3,0,0,0,0,32,0,111677,1,0,29.0,6,-9849,3297,13146,53,False,0,Southampton,Brighton,2,2,2,1819
0,0,8,0,4.3,343,327,3,0,2.2,5.8,2019-04-05T19:00:00Z,90,12,0,0,0,0,33,0,123307,3,1,12.0,2,7678,11140,3462,53,True,0,Southampton,Liverpool,2,4,2,1819
