assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,187,3,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,7,0,0,0,0,1,0,5634,2,0,0.0,0,0,0,0,45,True,0,Fulham,Crystal Palace,2,2,2,1819
0,0,0,0,0.0,187,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,17,0,0,0,0,2,0,5330,1,3,0.0,0,-618,104,722,45,False,0,Fulham,Spurs,2,4,2,1819
0,0,0,0,0.0,187,23,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,4,0,0,0,0,3,0,4771,2,4,0.0,0,-669,131,800,45,True,0,Fulham,Burnley,2,2,2,1819
0,0,0,0,0.0,187,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,3,0,0,0,0,4,0,5030,2,2,0.0,0,-109,1056,1165,44,False,0,Fulham,Brighton,2,2,2,1819
0,0,0,0,0.0,187,45,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,13,0,0,0,0,5,0,4210,0,3,0.0,0,-777,100,877,44,False,0,Fulham,Man City,2,5,2,1819
0,0,0,0,0.0,187,56,0,0,0.0,0.0,2018-09-22T11:30:00Z,0,18,0,0,0,0,6,0,3815,1,1,0.0,0,-411,43,454,44,True,0,Fulham,Watford,2,3,2,1819
0,0,0,0,0.0,187,65,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,8,0,0,0,0,7,0,3591,0,3,0.0,0,-248,22,270,44,False,0,Fulham,Everton,2,3,2,1819
0,0,0,0,0.0,187,74,0,0,0.0,0.0,2018-10-07T11:00:00Z,0,1,0,0,0,0,8,0,3450,5,1,0.0,0,-161,19,180,44,True,0,Fulham,Arsenal,2,4,2,1819
0,0,0,0,0.0,187,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,5,0,0,0,0,9,0,3372,2,4,0.0,0,-97,95,192,44,False,0,Fulham,Cardiff,2,2,2,1819
0,0,0,0,0.0,187,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,2,0,0,0,0,10,0,3324,3,0,0.0,0,-68,47,115,44,True,0,Fulham,Bournemouth,2,2,2,1819
