assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,68,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,16,0,0,0,0,1,0,23251,0,0,0.0,0,0,0,0,50,False,0,Burnley,Southampton,2,2,0,1819
0,0,0,0,0.0,68,12,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,18,0,0,0,0,2,0,18717,3,1,0.0,0,-4864,100,4964,50,True,0,Burnley,Watford,3,3,0,1819
0,0,0,0,0.0,68,23,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,9,0,0,0,0,3,0,16020,2,4,0.0,0,-3006,84,3090,50,False,0,Burnley,Fulham,2,2,0,1819
0,0,0,0,0.0,68,32,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,14,0,0,0,0,4,0,14532,2,0,0.0,0,-1659,62,1721,49,True,0,Burnley,Man Utd,3,4,0,1819
0,0,0,0,0.0,68,50,0,0,0.0,0.0,2018-09-16T12:30:00Z,0,20,0,0,0,0,5,0,13491,0,1,0.0,0,-1154,54,1208,49,False,0,Burnley,Wolves,2,3,0,1819
0,0,0,0,0.0,68,53,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,2,0,0,0,0,6,0,12913,0,4,0.0,0,-659,46,705,49,True,0,Burnley,Bournemouth,3,2,0,1819
0,0,0,0,0.0,68,63,0,0,0.0,0.0,2018-09-30T15:00:00Z,0,5,0,0,0,0,7,0,12445,2,1,0.0,0,-501,31,532,49,False,0,Burnley,Cardiff,2,2,0,1819
0,0,0,0,0.0,68,72,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,10,0,0,0,0,8,0,12103,1,1,0.0,0,-359,25,384,49,True,0,Burnley,Huddersfield,3,2,0,1819
0,0,0,0,0.0,68,87,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,13,0,0,0,0,9,0,11705,0,5,0.0,0,-428,33,461,49,False,0,Burnley,Man City,2,5,0,1819
0,0,0,0,0.0,68,92,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,6,0,0,0,0,10,0,11495,4,0,0.0,0,-233,27,260,49,True,0,Burnley,Chelsea,3,4,0,1819
0,0,0,0,0.0,68,109,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,19,0,0,0,0,11,0,11303,2,4,0.0,0,-229,36,265,49,False,0,Burnley,West Ham,2,3,0,1819
0,0,0,0,0.0,68,116,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,11,0,0,0,0,12,0,11131,0,0,0.0,0,-198,36,234,49,False,0,Burnley,Leicester,2,3,0,1819
0,0,0,0,0.0,68,123,0,0,0.0,0.0,2018-11-26T20:30:00Z,0,15,0,0,0,0,13,0,10989,2,1,0.0,0,-167,47,214,49,True,0,Burnley,Newcastle,3,2,0,1819
0,0,0,0,0.0,68,134,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,7,0,0,0,0,14,0,10908,0,2,0.0,0,-91,15,106,49,False,0,Burnley,Crystal Palace,2,2,0,1819
0,0,0,0,0.0,68,143,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,12,0,0,0,0,15,0,10825,3,1,0.0,0,-88,11,99,49,True,0,Burnley,Liverpool,3,4,0,1819
0,0,0,0,0.0,68,153,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,3,0,0,0,0,16,0,10750,0,1,0.0,0,-82,20,102,49,True,0,Burnley,Brighton,3,2,0,1819
0,0,0,0,0.0,68,168,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,17,0,0,0,0,17,0,10646,0,1,0.0,0,-106,40,146,49,False,0,Burnley,Spurs,2,4,0,1819
0,0,0,0,0.0,68,171,0,0,0.0,0.0,2018-12-22T12:30:00Z,0,1,0,0,0,0,18,0,10562,1,3,0.0,0,-96,23,119,49,False,0,Burnley,Arsenal,2,4,0,1819
0,0,0,0,0.0,68,182,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,8,0,0,0,0,19,0,10448,5,1,0.0,0,-121,11,132,49,True,0,Burnley,Everton,3,2,0,1819
0,0,0,0,0.0,68,192,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,19,0,0,0,0,20,0,10336,0,2,0.0,0,-116,25,141,49,True,0,Burnley,West Ham,3,3,0,1819
