assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,2,29,1,9.9,302,6,0,1,9.1,56.8,2018-08-10T19:00:00Z,83,11,0,0,0,0,1,0,354360,1,2,24.0,10,0,0,0,80,True,0,Man Utd,Leicester,4,3,2,1819
0,1,23,0,25.8,302,11,3,1,10.5,48.0,2018-08-19T15:00:00Z,90,3,0,0,0,0,2,0,848774,2,3,31.0,8,284171,312174,28003,81,False,0,Man Utd,Brighton,4,2,2,1819
0,0,6,0,16.0,302,26,3,0,4.0,7.6,2018-08-27T19:00:00Z,90,17,0,0,0,0,3,0,974952,3,0,16.0,2,80000,161969,81969,82,True,0,Man Utd,Spurs,4,4,2,1819
0,0,-1,1,38.3,302,32,0,0,8.0,12.6,2018-09-02T15:00:00Z,90,4,0,1,0,0,4,0,961415,2,0,29.0,1,-39809,72072,111881,82,False,0,Man Utd,Burnley,4,3,2,1819
0,0,6,0,7.5,302,49,1,0,9.3,17.0,2018-09-15T16:30:00Z,90,18,0,0,0,0,5,0,945439,2,1,68.0,2,-38851,68826,107677,82,False,0,Man Utd,Watford,4,3,2,1819
1,0,22,0,41.7,302,59,1,0,9.0,35.8,2018-09-22T14:00:00Z,90,20,0,0,0,0,6,0,963691,1,1,12.0,5,4403,83733,79330,82,True,0,Man Utd,Wolves,4,3,2,1819
0,0,9,0,3.8,302,69,2,0,4.6,5.2,2018-09-29T11:30:00Z,69,19,0,0,0,0,7,0,937923,1,3,37.0,2,-33143,45284,78427,82,False,0,Man Utd,West Ham,4,3,2,1819
1,0,26,0,32.7,302,77,2,0,15.7,49.2,2018-10-06T16:30:00Z,90,15,0,0,0,0,8,0,845475,2,3,75.0,4,-95735,16808,112543,81,True,1,Man Utd,Newcastle,4,2,2,1819
0,0,13,0,7.2,302,84,2,0,3.0,17.8,2018-10-20T11:30:00Z,90,6,0,0,0,0,9,0,800220,2,2,5.0,2,-53144,29756,82900,81,False,0,Man Utd,Chelsea,4,4,2,1819
1,0,26,0,30.8,302,97,1,1,18.8,67.4,2018-10-28T16:00:00Z,90,8,0,1,0,0,10,0,770741,1,2,90.0,8,-34994,19313,54307,80,True,0,Man Utd,Everton,4,2,2,1819
0,0,5,0,43.3,302,102,1,0,12.2,26.2,2018-11-03T12:30:00Z,90,2,0,0,0,0,11,0,782511,2,1,52.0,2,4544,32068,27524,80,False,0,Man Utd,Bournemouth,4,3,2,1819
0,0,0,0,0.0,302,118,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,13,0,0,0,0,12,0,716444,1,3,0.0,0,-65629,7445,73074,80,False,0,Man Utd,Man City,4,5,2,1819
0,0,7,1,8.0,302,126,0,0,1.9,2.0,2018-11-24T15:00:00Z,67,7,0,0,0,0,13,0,662775,0,0,9.0,3,-56823,9064,65887,79,True,0,Man Utd,Crystal Palace,4,2,2,1819
0,0,2,0,5.8,302,140,2,0,4.9,13.8,2018-12-01T17:30:00Z,90,16,0,0,0,0,14,0,652697,2,2,29.0,1,-14395,7894,22289,79,False,1,Man Utd,Southampton,4,2,2,1819
0,0,6,0,4.3,302,145,0,0,1.0,5.2,2018-12-05T20:00:00Z,15,1,0,0,0,0,15,0,620856,2,2,0.0,1,-32382,3623,36005,79,True,0,Man Utd,Arsenal,4,4,2,1819
0,0,0,0,0.0,302,158,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,9,0,0,0,0,16,0,613949,1,4,0.0,0,-11570,13035,24605,79,True,0,Man Utd,Fulham,4,2,2,1819
0,0,0,0,0.0,302,165,0,0,0.0,0.0,2018-12-16T16:00:00Z,0,12,0,0,0,0,17,0,571876,1,3,0.0,0,-40350,2471,42821,78,False,0,Man Utd,Liverpool,4,5,2,1819
3,2,41,0,36.3,302,173,1,0,10.0,45.6,2018-12-22T17:30:00Z,90,5,0,0,0,0,18,0,593758,5,1,18.0,13,17137,34731,17594,78,False,0,Man Utd,Cardiff,4,2,2,1819
0,3,60,0,40.2,302,187,1,2,19.4,96.0,2018-12-26T15:00:00Z,90,10,0,0,0,0,19,0,783662,1,3,58.0,15,177940,185084,7144,79,True,0,Man Utd,Huddersfield,4,2,2,1819
1,3,66,0,56.1,302,197,1,2,25.8,102.0,2018-12-30T16:30:00Z,90,2,0,0,0,0,20,0,1225429,1,4,100.0,18,420835,427541,6706,81,True,0,Man Utd,Bournemouth,4,2,2,1819
0,0,6,1,28.8,302,208,0,0,7.1,11.8,2019-01-02T20:00:00Z,90,15,0,0,0,0,21,0,1828505,2,0,30.0,3,600132,614759,14627,83,False,0,Man Utd,Newcastle,4,3,2,1819
1,0,16,1,34.8,302,219,0,0,16.7,42.8,2019-01-13T16:30:00Z,90,17,0,0,0,0,22,0,1842344,1,0,89.0,5,16258,178227,161969,84,False,1,Man Utd,Spurs,4,4,2,1819
0,1,29,0,6.4,302,226,1,1,10.7,32.0,2019-01-19T15:00:00Z,90,3,0,0,0,0,23,0,2326522,1,2,69.0,8,457900,483774,25874,86,True,0,Man Utd,Brighton,4,2,2,1819
0,0,23,0,30.1,302,235,2,1,14.6,46.0,2019-01-29T20:00:00Z,90,4,0,0,0,0,24,0,2531841,2,2,70.0,7,197407,212661,15254,87,True,0,Man Utd,Burnley,4,2,2,1819
1,1,28,1,33.6,302,247,0,0,6.9,35.4,2019-02-03T14:05:00Z,90,11,0,0,0,0,25,0,2261559,1,0,0.0,7,-215375,33309,248684,87,False,0,Man Utd,Leicester,4,3,2,1819
0,3,49,1,15.2,302,253,0,2,14.4,78.8,2019-02-09T12:30:00Z,73,9,0,0,0,0,26,0,2513252,3,0,50.0,16,181447,209633,28186,87,False,0,Man Utd,Fulham,4,2,2,1819
0,0,10,1,15.8,302,268,0,0,6.1,16.0,2019-02-24T14:05:00Z,90,12,0,0,0,0,27,0,2756957,0,0,29.0,3,207819,228829,21010,88,True,0,Man Utd,Liverpool,4,4,2,1819
