assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,5,0,5.4,489,5,2,0,1.2,7.0,2018-08-12T12:30:00Z,45,12,0,0,0,0,1,0,8221,0,4,0.0,1,0,0,0,55,False,0,West Ham,Liverpool,3,5,2,1819
0,0,3,0,7.0,489,20,2,0,1.1,4.0,2018-08-18T14:00:00Z,76,2,0,0,0,0,2,0,8316,2,1,0.0,2,-919,252,1171,55,True,0,West Ham,Bournemouth,3,2,2,1819
0,0,13,0,31.1,489,21,2,0,7.2,12.2,2018-08-25T14:00:00Z,74,1,0,0,0,0,3,0,7658,1,3,29.0,2,-953,189,1142,55,False,0,West Ham,Arsenal,3,4,2,1819
0,0,0,0,1.0,489,40,0,0,1.3,0.0,2018-09-01T14:00:00Z,45,20,0,0,0,0,4,0,8301,1,0,14.0,1,241,1131,890,55,True,0,West Ham,Wolves,3,3,2,1819
0,0,0,0,0.8,489,43,0,0,0.4,1.4,2018-09-16T15:00:00Z,8,8,0,0,0,0,5,0,7703,3,1,2.0,0,-775,300,1075,55,False,1,West Ham,Everton,3,3,2,1819
0,0,4,0,14.5,489,60,0,0,1.7,2.2,2018-09-23T12:30:00Z,16,6,0,0,0,0,6,0,6937,0,0,0.0,0,-816,101,917,54,True,1,West Ham,Chelsea,3,4,2,1819
0,0,0,0,1.9,489,69,0,0,0.3,1.2,2018-09-29T11:30:00Z,18,14,0,0,0,0,7,0,6650,1,3,0.0,1,-340,276,616,54,True,0,West Ham,Man Utd,3,4,2,1819
0,0,-1,0,0.8,489,71,0,0,0.2,0.0,2018-10-05T19:00:00Z,7,3,0,0,0,0,8,0,6571,0,1,2.0,0,-133,265,398,54,False,1,West Ham,Brighton,3,2,2,1819
0,0,6,0,59.3,489,89,1,0,8.8,18.8,2018-10-20T14:00:00Z,90,17,0,0,0,0,9,0,5863,1,0,10.0,1,-704,95,799,54,True,1,West Ham,Spurs,3,4,2,1819
0,0,16,0,27.0,489,95,1,0,7.5,23.0,2018-10-27T16:30:00Z,90,11,0,0,0,0,10,0,5964,1,1,25.0,2,62,339,277,53,False,0,West Ham,Leicester,3,3,2,1819
0,0,15,0,45.3,489,109,2,0,7.1,16.6,2018-11-03T15:00:00Z,90,4,0,0,0,0,11,0,7735,2,4,9.0,2,1665,2079,414,53,True,0,West Ham,Burnley,3,2,2,1819
0,0,3,0,31.9,489,115,1,0,5.8,11.6,2018-11-10T15:00:00Z,90,10,0,0,0,0,12,0,7805,1,1,14.0,1,98,674,576,53,False,1,West Ham,Huddersfield,3,2,2,1819
0,0,0,0,0.0,489,129,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,13,0,0,0,0,13,0,6193,4,0,0.0,0,-1552,35,1587,53,True,0,West Ham,Man City,3,4,2,1819
1,0,19,1,30.8,489,139,0,0,5.5,24.2,2018-12-01T15:00:00Z,90,15,0,0,0,0,14,0,6123,3,0,0.0,5,-138,114,252,53,False,1,West Ham,Newcastle,3,3,2,1819
2,2,43,1,95.6,489,147,0,0,16.4,46.4,2018-12-04T19:45:00Z,75,5,0,0,0,0,15,0,8977,1,3,22.0,11,2743,2976,233,53,True,0,West Ham,Cardiff,3,2,2,1819
0,1,35,0,52.8,489,160,2,1,12.1,53.2,2018-12-08T15:00:00Z,90,7,0,0,0,0,16,0,49277,2,3,15.0,8,37445,39059,1614,53,True,0,West Ham,Crystal Palace,3,2,2,1819
0,3,42,1,28.9,489,163,0,1,9.6,54.2,2018-12-15T17:30:00Z,90,9,0,0,0,0,17,0,85611,2,0,13.0,11,36605,40220,3615,53,False,0,West Ham,Fulham,3,2,2,1819
0,0,10,0,59.8,489,179,2,0,11.8,19.6,2018-12-22T15:00:00Z,90,18,0,0,0,0,18,0,213281,2,0,39.0,2,123001,128243,5242,54,True,0,West Ham,Watford,3,3,2,1819
0,0,15,0,11.7,489,188,1,0,3.5,11.2,2018-12-27T19:45:00Z,90,16,0,0,0,0,19,0,227261,2,1,12.0,2,15114,39493,24379,54,False,0,West Ham,Southampton,3,2,2,1819
0,0,-2,0,16.7,489,192,2,0,1.8,1.4,2018-12-30T14:15:00Z,45,4,0,0,0,0,20,0,224419,0,2,0.0,0,-3989,26686,30675,54,False,1,West Ham,Burnley,3,3,2,1819
0,0,9,0,32.2,489,209,2,0,3.9,6.0,2019-01-02T19:45:00Z,62,3,0,0,0,0,21,0,193187,2,2,1.0,2,-32217,14146,46363,54,True,0,West Ham,Brighton,3,2,2,1819
0,0,3,0,0.8,489,220,0,0,0.5,0.2,2019-01-12T12:30:00Z,19,1,0,0,0,0,22,0,145557,0,1,4.0,1,-47866,6097,53963,54,True,0,West Ham,Arsenal,3,4,2,1819
0,0,1,0,2.6,489,222,1,0,0.9,2.0,2019-01-19T15:00:00Z,24,2,0,0,0,0,23,0,102649,0,2,4.0,1,-43098,1323,44421,52,False,0,West Ham,Bournemouth,3,3,2,1819
0,0,3,0,8.0,489,236,1,0,1.4,1.6,2019-01-29T19:45:00Z,68,20,0,0,0,0,24,0,82615,0,3,4.0,1,-20754,556,21310,51,False,1,West Ham,Wolves,3,3,2,1819
0,0,11,0,46.4,489,250,1,0,6.4,11.2,2019-02-04T20:00:00Z,90,12,0,0,0,0,25,0,68686,1,1,6.0,2,-12798,387,13185,50,True,0,West Ham,Liverpool,3,4,2,1819
0,0,7,0,14.6,489,252,1,0,5.2,10.8,2019-02-09T15:00:00Z,90,7,0,0,0,0,26,0,66159,1,1,27.0,2,-4090,3170,7260,50,False,0,West Ham,Crystal Palace,3,2,2,1819
1,3,30,0,114.8,489,270,1,0,19.1,41.8,2019-02-22T19:45:00Z,90,9,0,0,0,0,27,0,67804,1,3,34.0,8,1531,6241,4710,50,True,0,West Ham,Fulham,3,2,2,1819
0,0,0,0,0.0,489,278,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,13,0,0,0,0,28,0,70395,0,1,0.0,0,2399,5631,3232,50,False,0,West Ham,Man City,3,5,2,1819
1,0,15,1,24.8,489,289,0,0,6.9,23.0,2019-03-02T17:30:00Z,90,15,0,0,0,0,29,0,72001,0,2,21.0,6,1547,5437,3890,50,True,0,West Ham,Newcastle,3,2,2,1819
0,0,11,0,20.4,489,292,2,0,3.4,4.0,2019-03-09T15:00:00Z,90,5,0,0,0,0,30,0,109862,0,2,10.0,2,37017,40185,3168,50,False,0,West Ham,Cardiff,3,2,2,1819
