assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,5,0,1.3,132,4,0,0,0.4,2.2,2018-08-11T14:00:00Z,22,10,0,0,0,0,1,0,55849,3,0,0.0,1,0,0,0,55,False,0,Chelsea,Huddersfield,4,2,2,1819
0,0,0,0,0.0,132,14,0,0,0.0,0.0,2018-08-18T16:30:00Z,0,1,0,0,0,0,2,0,53230,2,3,0.0,0,-7358,449,7807,55,True,0,Chelsea,Arsenal,4,4,2,1819
0,0,0,0,0.0,132,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,15,0,0,0,0,3,0,43860,2,1,0.0,0,-10005,219,10224,54,False,0,Chelsea,Newcastle,4,3,2,1819
0,0,4,0,22.3,132,34,0,0,3.3,11.0,2018-09-01T14:00:00Z,11,2,0,0,0,0,4,0,37876,0,2,0.0,1,-6467,149,6616,54,True,0,Chelsea,Bournemouth,4,2,2,1819
0,0,0,0,0.0,132,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,5,0,0,0,0,5,0,34283,1,4,0.0,0,-3912,151,4063,53,True,0,Chelsea,Cardiff,4,2,2,1819
0,0,0,0,0.0,132,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,19,0,0,0,0,6,0,31024,0,0,0.0,0,-3360,32,3392,53,False,0,Chelsea,West Ham,4,3,2,1819
0,0,0,0,0.0,132,64,0,0,0.0,0.0,2018-09-29T16:30:00Z,0,12,0,0,0,0,7,0,29278,1,1,0.0,0,-1882,49,1931,52,True,0,Chelsea,Liverpool,4,4,2,1819
0,0,0,0,0.0,132,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,16,0,0,0,0,8,0,27722,3,0,0.0,0,-1568,37,1605,52,False,0,Chelsea,Southampton,4,2,2,1819
0,0,0,0,0.0,132,84,0,0,0.0,0.0,2018-10-20T11:30:00Z,0,14,0,0,0,0,9,0,26838,2,2,0.0,0,-999,136,1135,52,True,0,Chelsea,Man Utd,4,4,2,1819
0,0,24,1,4.7,132,92,0,1,8.6,34.4,2018-10-28T13:30:00Z,60,4,0,0,0,0,10,0,28563,4,0,47.0,8,1418,2164,746,52,False,0,Chelsea,Burnley,4,3,2,1819
0,0,0,0,0.0,132,104,0,0,0.0,0.0,2018-11-04T16:00:00Z,0,7,0,0,0,0,11,0,32810,1,3,0.0,0,3980,5040,1060,52,True,0,Chelsea,Crystal Palace,4,2,2,1819
0,0,0,0,0.0,132,113,0,0,0.0,0.0,2018-11-11T14:15:00Z,0,8,0,0,0,0,12,0,31293,0,0,0.0,0,-1454,750,2204,52,True,0,Chelsea,Everton,4,2,2,1819
0,0,0,0,0.0,132,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,17,0,0,0,0,13,0,29795,1,3,0.0,0,-1615,294,1909,52,False,0,Chelsea,Spurs,4,4,2,1819
0,0,24,0,12.7,132,133,0,1,9.5,45.0,2018-12-02T12:00:00Z,23,9,0,0,0,0,14,0,29119,0,2,37.0,6,-783,144,927,52,True,0,Chelsea,Fulham,4,2,2,1819
0,3,40,0,10.3,132,148,2,1,6.9,47.6,2018-12-05T19:45:00Z,90,20,0,0,0,0,15,0,32454,1,2,11.0,10,2964,3493,529,52,False,0,Chelsea,Wolves,4,3,2,1819
0,0,-1,0,10.5,132,155,0,0,1.4,1.0,2018-12-08T17:30:00Z,15,13,0,0,0,0,16,0,44895,0,2,2.0,1,11778,13036,1258,52,True,0,Chelsea,Man City,4,4,2,1819
0,0,3,0,2.7,132,161,0,0,1.9,6.4,2018-12-16T13:30:00Z,24,3,0,0,0,0,17,0,44675,2,1,10.0,1,-58,3592,3650,52,False,0,Chelsea,Brighton,4,2,2,1819
0,0,3,0,1.5,132,174,0,0,0.1,0.0,2018-12-22T15:00:00Z,29,11,0,0,0,0,18,0,42687,1,0,0.0,1,-2244,1704,3948,52,True,0,Chelsea,Leicester,4,3,2,1819
0,0,0,0,0.0,132,190,0,0,0.0,0.0,2018-12-26T19:30:00Z,0,18,0,0,0,0,19,0,40178,2,1,0.0,0,-2768,1164,3932,52,False,0,Chelsea,Watford,4,3,2,1819
0,0,0,0,0.0,132,193,0,0,0.0,0.0,2018-12-30T12:00:00Z,0,7,0,0,0,0,20,0,37577,1,0,0.0,0,-2736,897,3633,52,False,0,Chelsea,Crystal Palace,4,2,2,1819
