assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,8,0,1.8,157,10,2,0,4.9,26.4,2018-08-11T16:30:00Z,90,20,0,0,0,0,1,0,148392,2,2,21.0,1,0,0,0,55,False,0,Everton,Wolves,2,3,1,1819
0,0,12,0,0.9,157,16,1,0,1.9,16.0,2018-08-18T14:00:00Z,90,16,0,0,0,0,2,0,151610,1,2,2.0,2,-6200,5078,11278,55,True,0,Everton,Southampton,3,2,1,1819
0,0,14,0,12.6,157,22,2,0,4.6,19.2,2018-08-25T14:00:00Z,90,2,0,0,0,0,3,0,130081,2,2,14.0,1,-22924,3012,25936,55,False,0,Everton,Bournemouth,2,3,1,1819
0,0,13,0,3.0,157,36,1,0,2.8,16.4,2018-09-01T14:00:00Z,90,10,0,0,0,0,4,0,121745,1,1,9.0,2,-10334,5082,15416,54,True,0,Everton,Huddersfield,3,2,1,1819
0,0,0,0,0.0,157,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,19,0,0,0,0,5,0,78145,3,1,0.0,0,-43169,821,43990,54,True,0,Everton,West Ham,3,3,1,1819
0,0,0,0,0.0,157,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,1,0,0,0,0,6,0,58816,0,2,0.0,0,-19902,54,19956,53,False,0,Everton,Arsenal,2,4,1,1819
0,0,0,0,0.0,157,65,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,9,0,0,0,0,7,0,50934,0,3,0.0,0,-8273,24,8297,53,True,0,Everton,Fulham,3,2,1,1819
0,0,0,0,0.0,157,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,11,0,0,0,0,8,0,46359,2,1,0.0,0,-4723,20,4743,53,False,0,Everton,Leicester,2,3,1,1819
0,0,18,1,17.9,157,85,0,0,2.8,7.4,2018-10-21T15:00:00Z,90,7,0,0,0,0,9,0,40726,0,2,3.0,5,-5725,20,5745,52,True,1,Everton,Crystal Palace,3,2,1,1819
0,0,12,0,26.8,157,97,2,0,4.5,9.8,2018-10-28T16:00:00Z,90,14,0,0,0,0,10,0,40796,1,2,8.0,1,-187,565,752,52,False,0,Everton,Man Utd,2,4,1,1819
0,2,34,0,14.5,157,105,1,1,8.2,52.4,2018-11-03T15:00:00Z,90,3,0,0,0,0,11,0,42832,1,3,15.0,10,1525,2273,748,52,True,0,Everton,Brighton,3,2,1,1819
0,0,23,1,0.5,157,113,0,0,1.7,14.8,2018-11-11T14:15:00Z,90,6,0,0,0,0,12,0,49378,0,0,2.0,6,5752,7055,1303,52,False,0,Everton,Chelsea,2,4,1,1819
0,0,26,1,18.8,157,124,0,0,3.3,14.2,2018-11-24T15:00:00Z,90,5,0,0,0,0,13,0,88827,0,1,0.0,6,34890,36862,1972,52,True,0,Everton,Cardiff,3,2,1,1819
0,0,16,0,11.4,157,137,1,0,3.3,21.6,2018-12-02T16:15:00Z,90,12,0,0,0,0,14,0,87652,0,1,0.0,2,2145,7333,5188,52,False,0,Everton,Liverpool,2,5,1,1819
0,0,15,0,24.6,157,149,1,0,4.3,14.8,2018-12-05T19:45:00Z,90,15,0,0,0,0,15,0,95988,1,1,4.0,2,6985,9079,2094,52,True,0,Everton,Newcastle,3,2,1,1819
0,0,8,0,27.0,157,156,2,0,4.3,14.0,2018-12-10T20:00:00Z,90,18,1,0,0,0,16,0,98420,2,2,2.0,-1,1828,4985,3157,52,True,0,Everton,Watford,3,3,1,1819
0,0,2,0,0.4,157,166,2,0,0.1,0.0,2018-12-15T12:30:00Z,56,13,0,0,0,0,17,0,89020,1,3,2.0,0,-8087,1667,9754,52,False,0,Everton,Man City,2,5,1,1819
0,0,9,0,6.6,157,175,6,0,1.9,12.2,2018-12-23T16:00:00Z,90,17,0,0,0,0,18,0,85001,6,2,0.0,-1,-4607,1638,6245,52,True,0,Everton,Spurs,3,4,1,1819
0,0,8,0,1.5,157,182,1,0,0.9,5.2,2018-12-26T15:00:00Z,90,4,0,0,0,0,19,0,81002,5,1,2.0,2,-4199,1279,5478,52,False,0,Everton,Burnley,2,3,1,1819
0,0,10,0,6.3,157,191,1,0,4.2,16.0,2018-12-29T15:00:00Z,90,3,0,0,0,0,20,0,76332,0,1,20.0,2,-4954,962,5916,52,False,0,Everton,Brighton,2,2,1,1819
0,0,0,0,0.0,157,205,0,0,0.0,0.0,2019-01-01T12:30:00Z,0,11,0,0,0,0,21,0,73470,1,0,0.0,0,-3196,959,4155,52,True,0,Everton,Leicester,3,3,1,1819
0,0,24,1,3.0,157,216,0,0,1.9,10.0,2019-01-13T14:15:00Z,90,2,0,0,0,0,22,0,66589,0,2,6.0,6,-7093,602,7695,52,True,0,Everton,Bournemouth,3,2,1,1819
0,0,18,0,20.3,157,228,2,0,3.9,16.6,2019-01-19T15:00:00Z,90,16,0,0,0,0,23,0,64525,1,2,2.0,1,-2306,1180,3486,52,False,0,Everton,Southampton,2,2,1,1819
0,1,24,1,5.3,157,234,0,0,2.9,17.6,2019-01-29T19:45:00Z,90,10,0,0,0,0,24,0,63502,1,0,6.0,7,-1281,1213,2494,52,False,0,Everton,Huddersfield,2,2,1,1819
0,0,8,0,16.8,157,246,3,0,2.7,10.0,2019-02-02T15:00:00Z,72,20,0,0,0,0,25,0,91186,3,1,0.0,1,20438,22235,1797,52,True,0,Everton,Wolves,3,3,1,1819
0,0,0,0,0.0,157,266,0,0,0.0,0.0,2019-02-06T19:45:00Z,0,13,0,0,0,0,25,0,91186,2,0,0.0,0,20438,22235,1797,52,True,0,Everton,Man City,3,4,1,1819
0,0,0,0,0.0,157,259,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,18,0,0,0,0,26,0,76282,0,1,0.0,0,-7780,514,8294,52,False,0,Everton,Watford,2,3,1,1819
1,2,37,1,36.0,157,272,0,0,9.0,32.8,2019-02-26T19:45:00Z,90,5,0,0,0,0,28,0,65902,3,0,21.0,11,-1578,431,2009,52,False,0,Everton,Cardiff,2,2,1,1819
0,0,19,1,5.3,157,284,0,0,1.8,13.0,2019-03-03T16:15:00Z,90,12,0,0,0,0,29,0,65670,0,0,0.0,6,-401,1479,1880,52,True,0,Everton,Liverpool,3,4,1,1819
0,0,0,0,0.0,157,299,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,15,0,0,0,0,30,0,67561,2,3,0.0,0,1561,2643,1082,52,False,0,Everton,Newcastle,2,3,1,1819
0,2,31,1,21.7,157,304,0,0,8.2,22.8,2019-03-17T16:30:00Z,90,6,0,0,0,0,31,0,72838,0,2,37.0,8,-695,2667,3362,52,True,0,Everton,Chelsea,3,4,1,1819
1,2,35,1,23.3,157,320,0,0,5.4,24.2,2019-03-30T17:30:00Z,90,19,0,0,0,0,32,0,74346,2,0,6.0,11,6236,10047,3811,52,False,0,Everton,West Ham,2,3,1,1819
0,0,21,1,6.1,157,323,0,0,1.7,8.8,2019-04-07T13:05:00Z,90,1,0,0,0,0,33,0,84251,0,1,2.0,6,6810,8014,1204,52,True,0,Everton,Arsenal,3,4,1,1819
0,0,20,0,26.8,157,334,2,0,4.1,13.8,2019-04-13T14:00:00Z,90,9,0,0,0,0,34,0,94286,0,2,0.0,1,10602,13612,3010,52,False,0,Everton,Fulham,2,2,1,1819
0,1,27,1,3.0,157,345,0,0,4.0,18.2,2019-04-21T12:30:00Z,90,14,0,0,0,0,35,0,90759,0,4,19.0,7,-3152,3745,6897,52,True,0,Everton,Man Utd,3,4,1,1819
0,0,22,1,41.9,157,353,0,0,7.6,18.8,2019-04-27T14:00:00Z,90,7,0,0,0,0,36,0,98989,0,0,15.0,6,6811,8527,1716,52,False,0,Everton,Crystal Palace,2,2,1,1819
0,2,34,1,3.2,157,365,0,1,10.7,48.2,2019-05-03T19:00:00Z,90,4,0,0,0,0,37,0,103011,0,2,56.0,14,3757,5433,1676,52,True,0,Everton,Burnley,3,2,1,1819
0,0,0,0,0.0,157,379,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,17,0,0,0,0,38,0,102304,2,2,0.0,0,-1035,7054,8089,52,False,0,Everton,Spurs,2,4,1,1819
0,0,20,1,3.3,144,4,0,0,4.3,20.6,2019-08-10T14:00:00Z,90,7,0,0,0,0,1,0,192717,0,0,19.0,6,0,0,0,55,False,0,Everton,Crystal Palace,2,3,1,1920
0,0,16,1,1.2,144,15,0,0,1.1,7.2,2019-08-17T14:00:00Z,90,18,0,0,0,0,2,0,216643,0,1,3.0,5,5813,18564,12751,55,True,1,Everton,Watford,4,2,1,1920
0,0,14,0,24.1,144,21,2,0,4.1,10.8,2019-08-23T19:00:00Z,90,2,0,0,0,0,3,0,245133,0,2,6.0,0,18101,42442,24341,55,False,1,Everton,Aston Villa,2,2,1,1920
0,0,17,0,14.5,144,35,2,0,4.5,10.0,2019-09-01T13:00:00Z,90,20,0,0,0,0,4,0,227297,2,3,20.0,1,-18720,13339,32059,55,True,0,Everton,Wolves,4,4,1,1920
0,0,13,0,6.8,144,42,3,0,2.4,17.4,2019-09-15T13:00:00Z,90,3,0,0,0,0,5,0,215520,1,3,0.0,1,-15133,11463,26596,55,False,0,Everton,Bournemouth,2,2,1,1920
0,0,15,0,9.1,144,55,1,0,3.1,13.8,2019-09-21T14:00:00Z,70,15,0,0,0,0,6,0,207769,2,0,8.0,2,-9787,5992,15779,55,True,0,Everton,Sheffield Utd,4,3,1,1920
1,2,33,0,12.3,144,65,3,0,8.3,34.4,2019-09-28T16:30:00Z,90,11,0,0,0,0,7,0,171709,3,1,36.0,6,-35421,1068,36489,55,True,0,Everton,Man City,4,4,1,1920
0,0,-4,0,11.8,144,73,1,0,1.5,1.4,2019-10-05T14:00:00Z,55,5,0,0,0,1,8,0,177153,0,1,2.0,-2,2384,9998,7614,54,False,0,Everton,Burnley,2,3,1,1920
0,0,0,0,0.0,144,85,0,0,0.0,0.0,2019-10-19T11:30:00Z,0,19,0,0,0,0,9,0,128374,0,2,0.0,0,-47298,281,47579,54,True,0,Everton,West Ham,4,2,1,1920
0,0,0,0,0.0,144,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,4,0,0,0,0,10,0,127032,2,3,0.0,0,-3159,1389,4548,54,False,0,Everton,Brighton,2,2,1,1920
0,0,0,0,0.0,144,106,0,0,0.0,0.0,2019-11-03T16:30:00Z,0,17,0,0,0,0,11,0,119659,1,1,0.0,0,-7596,1294,8890,54,True,0,Everton,Spurs,4,3,1,1920
0,0,0,0,0.0,144,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,16,0,0,0,0,12,0,114719,2,1,0.0,0,-5320,814,6134,54,False,0,Everton,Southampton,2,2,1,1920
0,0,4,0,21.8,144,126,1,0,3.9,7.2,2019-11-23T15:00:00Z,24,14,0,0,0,0,13,0,108667,2,0,10.0,0,-6350,1042,7392,53,True,1,Everton,Norwich,4,2,1,1920
0,0,0,0,0.0,144,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,9,0,0,0,0,14,0,100955,1,2,0.0,0,-7761,184,7945,53,False,0,Everton,Leicester,2,3,1,1920
0,0,0,0,0.0,144,149,0,0,0.0,0.0,2019-12-04T20:15:00Z,0,10,0,0,0,0,15,0,94787,2,5,0.0,0,-6307,7,6314,53,False,0,Everton,Liverpool,2,5,1,1920
0,0,0,0,0.0,144,154,0,0,0.0,0.0,2019-12-07T12:30:00Z,0,6,0,0,0,0,16,0,89214,1,3,0.0,0,-5636,7,5643,53,True,0,Everton,Chelsea,4,4,1,1920
