assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,531,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,6,0,0,0,0,3,0,0,2,1,0.0,0,0,0,0,45,True,0,Newcastle,Chelsea,3,4,2,1819
0,0,0,0,0.0,531,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,190,1,2,0.0,0,86,121,35,45,False,0,Newcastle,Man City,2,5,2,1819
0,0,0,0,0.0,531,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,268,2,1,0.0,0,42,99,57,45,True,0,Newcastle,Arsenal,3,4,2,1819
0,0,0,0,0.0,531,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,297,0,0,0.0,0,9,48,39,45,False,0,Newcastle,Crystal Palace,2,2,2,1819
0,0,0,0,0.0,531,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,320,2,0,0.0,0,7,46,39,45,True,0,Newcastle,Leicester,3,3,2,1819
0,0,0,0,0.0,531,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,348,2,3,0.0,0,8,43,35,45,False,0,Newcastle,Man Utd,2,4,2,1819
0,0,0,0,0.0,531,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,372,1,0,0.0,0,7,52,45,45,True,0,Newcastle,Brighton,3,2,2,1819
0,0,0,0,0.0,531,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,16,0,0,0,0,10,0,386,0,0,0.0,0,6,22,16,45,False,0,Newcastle,Southampton,2,2,2,1819
0,0,0,0,0.0,531,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,18,0,0,0,0,11,0,383,0,1,0.0,0,-7,30,37,45,True,0,Newcastle,Watford,3,3,2,1819
0,0,0,0,0.0,531,119,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,2,0,0,0,0,12,0,397,1,2,0.0,0,0,20,20,45,True,0,Newcastle,Bournemouth,3,2,2,1819
0,0,0,0,0.0,531,123,0,0,0.0,0.0,2018-11-26T20:30:00Z,0,4,0,0,0,0,13,0,409,2,1,0.0,0,5,37,32,45,False,0,Newcastle,Burnley,2,3,2,1819
