assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,13,0,10.3,12,1,2,0,2.7,16.6,2018-08-12T15:00:00Z,90,13,0,0,0,0,1,0,122791,2,0,0.0,0,0,0,0,55,True,1,Arsenal,Man City,4,4,1,1819
0,0,13,0,0.2,12,14,3,0,2.2,22.0,2018-08-18T16:30:00Z,90,6,0,0,0,0,2,0,120917,2,3,0.0,1,-15695,2039,17734,55,False,0,Arsenal,Chelsea,4,4,1,1819
0,0,10,0,0.2,12,21,1,0,1.8,17.8,2018-08-25T14:00:00Z,90,19,0,0,0,0,3,0,109545,1,3,0.0,1,-15011,3385,18396,54,True,1,Arsenal,West Ham,4,3,1,1819
0,0,12,0,0.8,12,33,2,0,1.4,10.8,2018-09-02T12:30:00Z,90,5,0,0,0,0,4,0,100104,3,2,2.0,1,-11689,1864,13553,54,False,0,Arsenal,Cardiff,4,2,1,1819
0,0,13,0,0.4,12,46,1,0,2.4,19.6,2018-09-15T14:00:00Z,90,15,0,0,0,0,5,0,91179,2,1,4.0,2,-10449,1090,11539,53,False,0,Arsenal,Newcastle,4,3,1,1819
0,0,-1,0,0.2,12,51,0,0,0.6,5.4,2018-09-23T15:00:00Z,38,8,0,0,0,0,6,0,88907,0,2,0.0,0,-3610,1485,5095,53,True,1,Arsenal,Everton,4,2,1,1819
0,0,0,0,0.0,12,61,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,18,0,0,0,0,7,0,80910,0,2,0.0,0,-8438,761,9199,53,True,0,Arsenal,Watford,4,3,1,1819
0,0,0,0,0.0,12,74,0,0,0.0,0.0,2018-10-07T11:00:00Z,0,9,0,0,0,0,8,0,78950,5,1,0.0,0,-2638,1076,3714,52,False,0,Arsenal,Fulham,4,2,1,1819
0,0,0,0,0.0,12,81,0,0,0.0,0.0,2018-10-22T19:00:00Z,0,11,0,0,0,0,9,0,73392,1,3,0.0,0,-5929,896,6825,52,True,0,Arsenal,Leicester,4,3,1,1819
0,0,0,0,0.0,12,93,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,7,0,0,0,0,10,0,70195,2,2,0.0,0,-3543,273,3816,52,False,0,Arsenal,Crystal Palace,4,2,1,1819
0,0,0,0,0.0,12,101,0,0,0.0,0.0,2018-11-03T17:30:00Z,0,12,0,0,0,0,11,0,67697,1,1,0.0,0,-2825,363,3188,51,True,0,Arsenal,Liverpool,4,4,1,1819
0,0,0,0,0.0,12,111,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,20,0,0,0,0,12,0,65145,1,1,0.0,0,-2712,197,2909,51,True,0,Arsenal,Wolves,4,3,1,1819
0,0,18,0,0.3,12,121,1,0,2.4,23.6,2018-11-25T13:30:00Z,90,2,0,0,0,0,13,0,64910,2,1,0.0,1,-680,606,1286,51,False,1,Arsenal,Bournemouth,4,3,1,1819
0,0,11,0,0.0,12,131,2,0,1.7,11.6,2018-12-02T14:05:00Z,90,17,0,0,0,0,14,0,64905,2,4,5.0,1,-204,438,642,51,True,0,Arsenal,Spurs,4,4,1,1819
0,0,19,0,0.4,12,145,2,0,2.0,19.8,2018-12-05T20:00:00Z,90,14,0,0,0,0,15,0,65200,2,2,0.0,1,57,682,625,51,False,0,Arsenal,Man Utd,4,4,1,1819
0,1,22,1,1.5,12,151,0,0,2.3,21.4,2018-12-08T15:00:00Z,90,10,0,0,0,0,16,0,69304,0,1,0.0,6,3261,3946,685,51,True,1,Arsenal,Huddersfield,4,2,1,1819
0,0,0,0,0.0,12,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,16,0,0,0,0,17,0,64988,2,3,0.0,0,-3761,489,4250,51,False,0,Arsenal,Southampton,4,2,1,1819
0,0,19,0,0.6,12,171,1,0,3.3,32.0,2018-12-22T12:30:00Z,90,4,0,0,0,0,18,0,71689,1,3,0.0,1,5653,6722,1069,51,True,1,Arsenal,Burnley,4,2,1,1819
0,0,13,0,1.1,12,181,1,0,1.9,13.8,2018-12-26T17:15:00Z,90,3,0,0,0,0,19,0,73038,1,1,4.0,2,907,2903,1996,51,False,0,Arsenal,Brighton,4,2,1,1819
0,0,12,0,10.1,12,196,5,0,2.7,17.0,2018-12-29T17:30:00Z,90,12,0,0,0,0,20,0,71329,1,5,0.0,-1,-2196,1108,3304,51,False,1,Arsenal,Liverpool,4,5,1,1819
1,0,21,0,10.4,12,201,1,0,6.2,33.4,2019-01-01T15:00:00Z,90,9,0,0,0,0,21,0,72204,1,4,18.0,5,113,2181,2068,51,True,0,Arsenal,Fulham,4,2,1,1819
0,0,14,0,0.3,12,220,1,0,2.1,20.4,2019-01-12T12:30:00Z,90,19,0,0,0,0,22,0,72717,0,1,0.0,2,-410,2120,2530,51,False,0,Arsenal,West Ham,4,3,1,1819
