assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,2,29,1,1.7,615,248,0,1,6.2,37.6,2020-02-02T16:30:00Z,69,11,0,0,0,0,25,0,4461,0,2,23.0,10,4262,4730,468,75,True,0,Spurs,Man City,4,4,2,1920
0,0,12,0,42.3,615,252,2,0,12.5,17.4,2020-02-16T14:00:00Z,90,2,0,0,0,0,26,0,125326,3,2,65.0,2,117021,122401,5380,75,False,0,Spurs,Aston Villa,3,2,2,1920
0,0,5,0,24.8,615,263,2,0,2.8,3.4,2020-02-22T12:30:00Z,77,6,0,0,0,0,27,0,145689,1,2,0.0,2,20650,43970,23320,75,False,0,Spurs,Chelsea,3,4,2,1920
0,0,22,0,13.4,615,278,3,1,7.4,35.6,2020-03-01T14:00:00Z,90,20,0,0,0,0,28,0,148262,3,2,25.0,7,-3380,22987,26367,75,True,0,Spurs,Wolves,4,4,2,1920
0,0,6,0,14.7,615,282,1,0,1.9,1.6,2020-03-07T17:30:00Z,90,5,0,0,0,0,29,0,165476,1,1,3.0,1,21664,42717,21053,75,False,1,Spurs,Burnley,3,3,2,1920
0,3,32,1,29.5,615,298,0,1,8.9,42.6,2020-06-19T19:15:00Z,69,12,0,0,0,0,39,0,74687,1,1,17.0,11,-27354,13638,40992,74,True,0,Spurs,Man Utd,4,4,2,1920
0,0,1,0,1.8,615,309,0,0,1.0,0.0,2020-06-23T19:15:00Z,18,19,0,0,0,0,40,0,151574,0,2,8.0,1,67457,80141,12684,74,True,0,Spurs,West Ham,4,2,2,1920
0,0,6,0,16.6,615,318,1,0,2.4,5.8,2020-07-02T17:00:00Z,55,15,0,0,0,0,41,0,138531,1,3,2.0,1,-8050,14431,22481,75,False,0,Spurs,Sheffield Utd,3,3,2,1920
0,0,3,0,1.3,615,329,0,0,0.2,0.4,2020-07-06T19:00:00Z,12,8,0,0,0,0,42,0,110326,0,1,0.0,1,-27643,8197,35840,74,True,0,Spurs,Everton,4,2,2,1920
0,0,1,0,1.2,615,333,0,0,0.9,5.8,2020-07-09T17:00:00Z,45,3,0,0,0,0,43,0,96161,0,0,2.0,1,-15588,3565,19153,73,False,0,Spurs,Bournemouth,3,2,2,1920
0,0,0,0,20.5,615,348,0,0,2.5,2.2,2020-07-12T15:30:00Z,8,1,0,0,0,0,44,0,77959,1,2,2.0,0,-18333,1397,19730,71,True,1,Spurs,Arsenal,4,3,2,1920
1,0,16,0,17.3,615,358,0,0,3.6,18.8,2020-07-15T17:00:00Z,33,13,0,0,0,0,45,0,69543,3,1,0.0,4,-8923,1021,9944,70,False,0,Spurs,Newcastle,3,2,2,1920
0,0,5,0,0.6,615,368,0,0,0.3,2.2,2020-07-19T15:00:00Z,13,9,0,0,0,0,46,0,69062,0,3,0.0,1,-1367,2462,3829,70,True,0,Spurs,Leicester,4,3,2,1920
0,0,3,0,1.6,615,374,0,0,0.2,0.8,2020-07-26T15:00:00Z,30,7,0,0,0,0,47,0,63023,1,1,0.0,1,-5222,1075,6297,69,False,0,Spurs,Crystal Palace,3,3,2,1920
0,0,2,0,3.3,400,4,0,0,0.6,0.4,2020-09-13T15:30:00Z,30,7,0,0,0,0,1,0,83611,1,0,2.0,1,0,0,0,75,True,0,Spurs,Everton,4,4,2,2021
0,0,2,0,11.4,400,17,1,0,1.1,0.0,2020-09-20T11:00:00Z,6,16,0,0,0,0,2,0,67770,5,2,0.0,1,-25656,3446,29102,74,False,0,Spurs,Southampton,3,2,2,2021
0,0,4,0,18.5,400,26,1,0,4.7,11.0,2020-09-27T13:00:00Z,45,14,0,0,0,0,3,0,44979,1,1,17.0,1,-25569,1458,27027,73,True,0,Spurs,Newcastle,4,2,2,2021
0,0,0,0,0.0,400,35,0,0,0.0,0.0,2020-10-04T15:30:00Z,0,13,0,0,0,0,4,0,39308,6,1,0.0,0,-7795,2206,10001,72,False,0,Spurs,Man Utd,3,4,2,2021
0,0,4,1,1.4,400,47,0,0,0.4,0.0,2020-10-18T15:30:00Z,71,19,0,0,0,0,5,0,30571,3,3,3.0,3,-9284,706,9990,72,True,0,Spurs,West Ham,4,4,2,2021
0,0,0,0,0.0,400,52,0,0,0.0,0.0,2020-10-26T20:00:00Z,0,4,0,0,0,0,6,0,29511,1,0,0.0,0,-1878,850,2728,71,False,0,Spurs,Burnley,3,2,2,2021
0,0,0,0,0.0,400,67,0,0,0.0,0.0,2020-11-01T19:15:00Z,0,3,0,0,0,0,7,0,28520,1,2,0.0,0,-1508,511,2019,71,True,0,Spurs,Brighton,4,3,2,2021
0,0,0,0,0.0,400,77,0,0,0.0,0.0,2020-11-08T12:00:00Z,0,18,0,0,0,0,8,0,27447,1,0,0.0,0,-1404,419,1823,71,False,0,Spurs,West Brom,3,2,2,2021
0,0,7,1,1.7,400,87,0,0,0.7,3.4,2020-11-21T17:30:00Z,72,12,0,0,0,0,9,0,25986,0,2,2.0,3,-1733,265,1998,70,True,0,Spurs,Man City,4,4,2,2021
0,0,-2,1,3.5,400,91,0,0,2.2,0.0,2020-11-29T16:30:00Z,88,5,0,0,0,0,10,0,26478,0,0,24.0,2,44,741,697,70,False,1,Spurs,Chelsea,3,4,2,2021
0,0,4,1,10.5,400,106,0,0,2.0,7.8,2020-12-06T16:30:00Z,90,1,0,0,0,0,11,0,27381,0,2,2.0,3,498,1431,933,70,True,0,Spurs,Arsenal,4,3,2,2021
0,0,5,0,3.1,400,110,1,0,0.7,3.8,2020-12-13T14:15:00Z,84,6,0,0,0,0,12,0,28667,1,1,0.0,2,921,2017,1096,70,False,0,Spurs,Crystal Palace,3,3,2,2021
0,0,-5,0,0.7,400,127,1,0,1.3,4.2,2020-12-16T20:00:00Z,75,11,0,0,0,0,13,0,29235,1,2,8.0,2,382,1519,1137,70,False,0,Spurs,Liverpool,3,3,2,2021
