assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,6,0,2.3,164,10,2,0,1.3,6.2,2018-08-11T16:30:00Z,90,20,0,0,0,0,1,0,93127,2,2,4.0,2,0,0,0,65,False,0,Everton,Wolves,2,3,2,1819
1,3,33,0,27.5,164,16,1,1,10.8,52.2,2018-08-18T14:00:00Z,90,16,0,0,0,0,2,0,100102,1,2,28.0,13,-5039,8793,13832,65,True,0,Everton,Southampton,3,2,2,1819
0,0,22,0,16.9,164,22,2,1,8.4,39.6,2018-08-25T14:00:00Z,84,2,0,0,0,0,3,0,199403,2,2,27.0,7,76065,99446,23381,65,False,0,Everton,Bournemouth,2,3,2,1819
0,0,2,0,15.8,164,36,1,0,3.9,1.6,2018-09-01T14:00:00Z,56,10,0,0,0,0,4,0,987895,1,1,22.0,1,737984,772105,34121,68,True,0,Everton,Huddersfield,3,2,2,1819
0,0,6,0,9.1,164,43,3,0,3.8,9.2,2018-09-16T15:00:00Z,76,19,0,0,0,0,5,0,635103,3,1,20.0,2,-324191,27903,352094,67,True,0,Everton,West Ham,3,3,2,1819
0,0,5,0,27.3,164,51,2,0,6.5,18.8,2018-09-23T15:00:00Z,71,1,0,0,0,0,6,0,498414,0,2,19.0,2,-148625,15877,164502,66,False,0,Everton,Arsenal,2,4,2,1819
1,0,21,1,13.3,164,65,0,0,7.2,28.8,2018-09-29T14:00:00Z,90,9,0,0,0,0,7,0,452557,0,3,30.0,6,-52813,22767,75580,66,True,0,Everton,Fulham,3,2,2,1819
0,0,9,0,16.7,164,75,1,0,7.1,12.2,2018-10-06T14:00:00Z,90,11,0,0,0,0,8,0,457375,2,1,42.0,2,1983,34886,32903,66,False,0,Everton,Leicester,2,3,2,1819
0,0,8,1,27.9,164,85,0,0,6.3,13.8,2018-10-21T15:00:00Z,81,7,0,0,0,0,9,0,439279,0,2,21.0,3,-22601,35442,58043,65,True,0,Everton,Crystal Palace,3,2,2,1819
0,0,8,0,2.3,164,97,2,0,4.1,11.0,2018-10-28T16:00:00Z,77,14,0,0,0,0,10,0,377531,1,2,28.0,2,-59743,7383,67126,65,False,0,Everton,Man Utd,2,4,2,1819
0,0,1,0,1.9,164,105,1,0,2.4,2.6,2018-11-03T15:00:00Z,84,3,0,0,0,0,11,0,331183,1,3,19.0,2,-49685,7149,56834,64,True,0,Everton,Brighton,3,2,2,1819
0,0,7,1,1.6,164,113,0,0,1.5,5.6,2018-11-11T14:15:00Z,90,6,0,0,0,0,12,0,277051,0,0,8.0,3,-54704,2402,57106,63,False,0,Everton,Chelsea,2,4,2,1819
1,0,10,1,4.3,164,124,0,0,4.8,3.0,2018-11-24T15:00:00Z,72,5,0,0,0,0,13,0,283015,0,1,41.0,6,1898,23232,21334,63,True,0,Everton,Cardiff,3,2,2,1819
0,0,9,1,10.5,164,137,0,0,3.6,1.6,2018-12-02T16:15:00Z,62,12,0,0,0,0,14,0,271271,0,1,24.0,3,-10631,6420,17051,63,False,0,Everton,Liverpool,2,5,2,1819
0,0,4,0,0.9,164,149,0,0,1.9,2.4,2018-12-05T19:45:00Z,20,15,0,0,0,0,15,0,271159,1,1,16.0,1,-1161,11871,13032,63,True,0,Everton,Newcastle,3,2,2,1819
0,0,0,0,6.0,164,156,2,0,3.6,5.4,2018-12-10T20:00:00Z,65,18,0,0,0,0,16,0,258000,2,2,25.0,2,-12989,4878,17867,63,True,0,Everton,Watford,3,3,2,1819
0,0,2,0,14.8,164,166,1,0,2.5,6.0,2018-12-15T12:30:00Z,33,13,0,0,0,0,17,0,232763,1,3,4.0,1,-25417,1656,27073,62,False,0,Everton,Man City,2,5,2,1819
0,1,26,0,29.1,164,175,6,1,9.9,44.0,2018-12-23T16:00:00Z,90,17,0,0,0,0,18,0,216772,6,2,26.0,8,-17331,1233,18564,62,True,0,Everton,Spurs,3,4,2,1819
0,0,14,0,15.7,164,182,1,0,5.5,10.2,2018-12-26T15:00:00Z,90,4,0,0,0,0,19,0,215705,5,1,29.0,2,-2344,6872,9216,61,False,0,Everton,Burnley,2,3,2,1819
0,0,5,0,13.3,164,191,1,0,3.4,11.0,2018-12-29T15:00:00Z,90,3,0,0,0,0,20,0,211561,0,1,10.0,2,-4582,6907,11489,61,False,0,Everton,Brighton,2,2,2,1819
0,0,7,0,13.5,164,205,1,0,3.3,9.8,2019-01-01T12:30:00Z,69,11,0,0,0,0,21,0,206863,1,0,10.0,2,-5338,5382,10720,61,True,0,Everton,Leicester,3,3,2,1819
0,0,2,0,0.3,164,216,0,0,0.1,1.0,2019-01-13T14:15:00Z,12,2,0,0,0,0,22,0,201079,0,2,0.0,1,-6804,8053,14857,61,True,0,Everton,Bournemouth,3,2,2,1819
0,0,1,0,1.7,164,228,0,0,0.4,0.2,2019-01-19T15:00:00Z,15,16,0,0,0,0,23,0,190347,1,2,2.0,1,-10964,3060,14024,61,False,0,Everton,Southampton,2,2,2,1819
0,0,0,0,0.0,164,234,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,10,0,0,0,0,24,0,183969,1,0,0.0,0,-7132,2841,9973,60,False,0,Everton,Huddersfield,2,2,2,1819
0,0,0,0,2.7,164,246,2,0,2.9,5.2,2019-02-02T15:00:00Z,59,20,0,0,0,0,25,0,184095,3,1,21.0,1,-1503,4995,6498,60,True,0,Everton,Wolves,3,3,2,1819
