assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,137,3,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,9,0,0,0,0,1,0,12383,2,0,0.0,0,0,0,0,45,False,0,Crystal Palace,Fulham,2,2,0,1819
0,0,0,0,0.0,137,15,0,0,0.0,0.0,2018-08-20T19:00:00Z,0,12,0,0,0,0,2,0,11333,2,0,0.0,0,-1698,61,1759,45,True,0,Crystal Palace,Liverpool,2,4,0,1819
0,0,0,0,0.0,137,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,18,0,0,0,0,3,0,10149,1,2,0.0,0,-1523,208,1731,44,False,0,Crystal Palace,Watford,2,3,0,1819
0,0,0,0,0.0,137,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,16,0,0,0,0,4,0,9620,2,0,0.0,0,-891,291,1182,44,True,0,Crystal Palace,Southampton,2,2,0,1819
0,0,0,0,0.0,137,44,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,10,0,0,0,0,5,0,8794,1,0,0.0,0,-938,118,1056,44,False,0,Crystal Palace,Huddersfield,2,2,0,1819
0,0,0,0,0.0,137,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,15,0,0,0,0,6,0,8251,0,0,0.0,0,-610,81,691,43,True,0,Crystal Palace,Newcastle,2,2,0,1819
0,0,0,0,0.0,137,62,0,0,0.0,0.0,2018-10-01T19:00:00Z,0,2,0,0,0,0,7,0,8121,1,2,0.0,0,-312,186,498,43,False,0,Crystal Palace,Bournemouth,2,3,0,1819
0,0,0,0,0.0,137,73,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,20,0,0,0,0,8,0,8084,1,0,0.0,0,-173,221,394,43,True,0,Crystal Palace,Wolves,2,3,0,1819
0,0,0,0,0.0,137,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,8,0,0,0,0,9,0,7927,0,2,0.0,0,-313,171,484,43,False,0,Crystal Palace,Everton,2,3,0,1819
0,0,0,0,0.0,137,93,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,1,0,0,0,0,10,0,7767,2,2,0.0,0,-195,93,288,43,True,0,Crystal Palace,Arsenal,2,4,0,1819
0,0,0,0,0.0,137,104,0,0,0.0,0.0,2018-11-04T16:00:00Z,0,6,0,0,0,0,11,0,7605,1,3,0.0,0,-192,70,262,43,False,0,Crystal Palace,Chelsea,2,4,0,1819
0,0,0,0,0.0,137,114,0,0,0.0,0.0,2018-11-10T17:30:00Z,0,17,0,0,0,0,12,0,7500,1,0,0.0,0,-125,64,189,43,True,0,Crystal Palace,Spurs,2,4,0,1819
0,0,0,0,0.0,137,126,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,14,0,0,0,0,13,0,7405,0,0,0.0,0,-140,56,196,43,False,0,Crystal Palace,Man Utd,2,4,0,1819
0,0,0,0,0.0,137,134,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,4,0,0,0,0,14,0,7477,0,2,0.0,0,32,147,115,42,True,0,Crystal Palace,Burnley,2,2,0,1819
0,0,0,0,0.0,137,142,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,3,0,0,0,0,15,0,7530,1,3,0.0,0,-1,145,146,42,False,0,Crystal Palace,Brighton,2,2,0,1819
0,0,0,0,0.0,137,160,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,19,0,0,0,0,16,0,7579,2,3,0.0,0,-12,147,159,42,False,0,Crystal Palace,West Ham,2,3,0,1819
0,0,22,1,0.0,137,162,0,0,1.7,17.4,2018-12-15T15:00:00Z,90,11,0,0,0,0,17,2,7672,0,1,0.0,5,18,207,189,42,True,1,Crystal Palace,Leicester,2,3,0,1819
0,0,13,0,0.0,137,177,2,0,1.6,15.8,2018-12-22T15:00:00Z,90,13,0,0,0,0,18,3,11418,3,2,0.0,1,3086,3596,510,42,False,1,Crystal Palace,Man City,2,5,0,1819
0,2,28,1,0.0,137,183,0,0,2.7,26.6,2018-12-26T15:00:00Z,90,5,0,0,0,0,19,4,24420,0,0,0.0,9,10681,11853,1172,42,True,0,Crystal Palace,Cardiff,2,2,0,1819
0,0,17,0,0.0,137,193,1,0,1.8,18.4,2018-12-30T12:00:00Z,90,6,0,0,0,0,20,3,35092,1,0,0.0,3,10583,13483,2900,42,True,0,Crystal Palace,Chelsea,2,4,0,1819
0,0,22,1,0.0,137,210,0,0,0.6,5.6,2019-01-02T19:45:00Z,90,20,0,0,0,0,21,1,47499,2,0,0.0,6,12689,17392,4703,42,False,0,Crystal Palace,Wolves,2,3,0,1819
0,0,4,0,0.0,137,215,0,0,0.0,0.0,2019-01-12T15:00:00Z,44,18,0,0,0,0,22,0,105696,2,1,0.0,1,55250,63501,8251,42,True,0,Crystal Palace,Watford,2,3,0,1819
0,0,0,0,0.0,137,225,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,12,0,0,0,0,23,0,88113,3,4,0.0,0,-16023,7437,23460,42,False,0,Crystal Palace,Liverpool,2,5,0,1819
0,0,14,0,0.0,137,239,1,0,1.6,16.0,2019-01-30T19:45:00Z,90,16,0,0,0,0,24,3,75698,1,1,0.0,3,-12882,1108,13990,42,False,0,Crystal Palace,Southampton,2,2,0,1819
0,0,21,1,0.0,137,245,0,0,0.1,1.4,2019-02-02T15:00:00Z,90,9,0,0,0,0,25,0,82253,0,2,0.0,6,5662,8024,2362,42,True,0,Crystal Palace,Fulham,2,2,0,1819
0,0,11,0,0.0,137,252,1,0,1.7,17.2,2019-02-09T15:00:00Z,90,19,0,0,0,0,26,3,91976,1,1,0.0,3,9540,11767,2227,42,True,0,Crystal Palace,West Ham,2,3,0,1819
0,0,17,0,0.0,137,267,1,0,2.7,26.6,2019-02-23T17:30:00Z,90,11,0,0,0,0,27,4,96561,4,1,0.0,3,4585,7492,2907,42,False,0,Crystal Palace,Leicester,2,3,0,1819
0,0,9,0,0.0,137,273,3,0,0.5,4.6,2019-02-27T20:00:00Z,90,14,0,0,0,0,28,1,100383,3,1,0.0,1,3486,5747,2261,42,True,0,Crystal Palace,Man Utd,2,4,0,1819
0,0,0,0,0.0,137,283,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,4,0,0,0,0,29,0,107200,3,1,0.0,0,6557,8438,1881,42,False,0,Crystal Palace,Burnley,2,3,0,1819
0,0,10,0,0.0,137,294,2,0,0.7,7.2,2019-03-09T12:30:00Z,90,3,0,0,0,0,30,1,101328,2,1,0.0,1,-5874,1898,7772,42,True,0,Crystal Palace,Brighton,2,2,0,1819
0,2,33,1,0.0,137,315,0,0,4.3,42.8,2019-03-30T15:00:00Z,90,10,0,0,0,0,32,5,99208,0,2,0.0,9,4202,8769,4567,42,True,0,Crystal Palace,Huddersfield,2,2,0,1819
0,0,27,0,0.0,137,307,2,0,6.3,63.2,2019-04-03T18:45:00Z,90,17,0,0,0,0,32,8,99208,0,2,0.0,3,4202,8769,4567,42,False,0,Crystal Palace,Spurs,2,4,0,1819
0,3,32,1,0.0,137,326,0,0,3.2,32.2,2019-04-06T14:00:00Z,90,15,0,0,0,0,33,5,116285,1,0,0.0,10,10919,12935,2016,42,False,0,Crystal Palace,Newcastle,2,3,0,1819
0,0,17,0,0.0,137,333,3,0,2.3,23.0,2019-04-14T13:05:00Z,90,13,0,0,0,0,34,4,108447,3,1,0.0,2,-5527,10521,16048,42,True,0,Crystal Palace,Man City,2,4,0,1819
0,0,14,0,0.0,137,341,2,0,1.9,18.6,2019-04-21T15:00:00Z,90,1,0,0,0,0,35,3,112091,3,2,0.0,2,3270,11722,8452,42,False,0,Crystal Palace,Arsenal,2,4,0,1819
0,1,26,1,0.0,137,353,0,0,2.2,22.2,2019-04-27T14:00:00Z,90,8,0,0,0,0,36,3,125344,0,0,0.0,8,12020,14086,2066,42,True,0,Crystal Palace,Everton,2,2,0,1819
0,0,22,0,0.0,137,363,2,0,5.0,50.4,2019-05-04T16:30:00Z,90,5,0,0,0,0,37,6,151931,3,2,0.0,3,25464,27267,1803,43,False,0,Crystal Palace,Cardiff,2,2,0,1819
