assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,16,0,1.0,215,6,2,0,2.0,18.6,2018-08-10T19:00:00Z,90,14,0,0,0,0,1,0,62679,1,2,0.0,1,0,0,0,45,False,0,Leicester,Man Utd,3,4,1,1819
0,0,0,0,0.0,215,17,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,20,0,0,0,0,2,0,85583,0,2,0.0,0,4693,11009,6316,45,True,0,Leicester,Wolves,3,3,1,1819
0,0,17,0,0.1,215,28,1,0,1.7,16.8,2018-08-25T14:00:00Z,90,16,0,0,0,0,3,0,73766,2,1,0.0,2,-13009,1847,14856,45,False,0,Leicester,Southampton,3,2,1,1819
0,0,7,0,0.3,215,37,2,0,2.5,22.8,2018-09-01T11:30:00Z,90,12,0,0,0,0,4,0,70738,2,1,2.0,1,-5234,1481,6715,45,True,0,Leicester,Liverpool,3,4,1,1819
0,0,3,0,0.7,215,41,4,0,1.5,12.0,2018-09-15T14:00:00Z,68,2,0,0,0,1,5,0,68522,2,4,2.0,-3,-3586,1881,5467,45,False,0,Leicester,Bournemouth,3,3,1,1819
0,0,0,0,0.0,215,57,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,10,0,0,0,0,6,0,55059,1,3,0.0,0,-13351,108,13459,45,True,0,Leicester,Huddersfield,3,2,1,1819
0,1,26,1,10.7,215,68,0,0,4.6,13.2,2018-09-29T14:00:00Z,90,15,0,0,0,0,7,0,53408,2,0,22.0,7,-2378,458,2836,45,False,0,Leicester,Newcastle,3,3,1,1819
0,0,1,0,0.3,215,75,2,0,0.8,8.0,2018-10-06T14:00:00Z,62,8,0,0,0,1,8,0,54350,2,1,0.0,-2,348,1481,1133,45,True,0,Leicester,Everton,3,2,1,1819
0,0,0,0,0.0,215,81,0,0,0.0,0.0,2018-10-22T19:00:00Z,0,1,0,0,0,0,9,0,46469,1,3,0.0,0,-7652,147,7799,45,False,0,Leicester,Arsenal,3,4,1,1819
0,0,0,0,0.0,215,95,0,0,0.0,0.0,2018-10-27T16:30:00Z,0,19,0,0,0,0,10,0,43858,1,1,0.0,0,-2845,40,2885,45,True,0,Leicester,West Ham,3,3,1,1819
0,1,25,1,0.4,215,103,0,0,2.7,23.0,2018-11-03T15:00:00Z,90,5,0,0,0,0,11,0,43440,1,0,4.0,7,-692,474,1166,45,False,0,Leicester,Cardiff,3,2,1,1819
0,0,19,1,0.1,215,116,0,0,4.1,18.8,2018-11-10T15:00:00Z,90,4,0,0,0,0,12,0,47601,0,0,22.0,5,3227,3941,714,45,True,1,Leicester,Burnley,3,2,1,1819
0,0,16,0,10.1,215,122,1,0,4.5,24.8,2018-11-24T15:00:00Z,90,3,0,0,0,0,13,0,49960,1,1,10.0,2,2090,3151,1061,45,False,0,Leicester,Brighton,3,2,1,1819
0,0,25,1,0.0,215,136,0,0,1.8,15.6,2018-12-01T15:00:00Z,90,18,0,0,0,0,14,0,50514,0,2,2.0,6,416,1262,846,45,True,0,Leicester,Watford,3,3,1,1819
0,0,8,0,0.3,215,144,1,0,5.4,14.6,2018-12-05T19:45:00Z,90,9,0,0,0,0,15,0,53582,1,1,39.0,2,2515,3361,846,45,False,0,Leicester,Fulham,3,2,1,1819
0,0,14,0,0.3,215,157,2,0,1.5,14.8,2018-12-08T19:45:00Z,90,17,0,0,0,0,16,0,53692,2,0,0.0,1,140,1488,1348,45,True,0,Leicester,Spurs,3,4,1,1819
0,0,11,0,0.8,215,162,1,0,1.4,13.6,2018-12-15T15:00:00Z,90,7,0,0,0,0,17,0,55185,0,1,0.0,2,886,2264,1378,45,False,0,Leicester,Crystal Palace,3,2,1,1819
0,0,22,1,0.1,215,174,0,0,2.0,12.0,2018-12-22T15:00:00Z,90,6,0,0,0,0,18,0,54425,1,0,8.0,6,-918,877,1795,45,False,0,Leicester,Chelsea,3,4,1,1819
0,0,12,0,10.3,215,185,1,0,3.8,25.4,2018-12-26T15:00:00Z,90,13,0,0,0,0,19,0,60003,1,2,2.0,2,4503,6014,1511,45,True,0,Leicester,Man City,3,4,1,1819
0,0,0,0,0.0,215,195,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,5,0,0,0,0,20,0,70141,1,0,0.0,0,8442,10292,1850,45,True,0,Leicester,Cardiff,3,2,1,1819
0,0,0,0,0.0,215,205,0,0,0.0,0.0,2019-01-01T12:30:00Z,0,8,0,0,0,0,21,0,61255,1,0,0.0,0,-7576,344,7920,45,False,0,Leicester,Everton,3,3,1,1819
0,0,11,0,0.9,215,217,2,0,6.2,9.6,2019-01-12T15:00:00Z,90,16,0,0,0,0,22,0,58396,2,1,51.0,1,-3346,1267,4613,45,True,0,Leicester,Southampton,3,2,1,1819
0,0,23,0,0.9,215,230,4,1,7.8,44.2,2019-01-19T12:30:00Z,90,20,0,0,0,0,23,0,56434,3,4,33.0,6,-2243,762,3005,45,False,0,Leicester,Wolves,3,3,1,1819
0,0,0,0,0.0,215,237,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,12,0,0,0,0,24,0,56760,1,1,0.0,0,-175,1687,1862,45,False,0,Leicester,Liverpool,3,5,1,1819
0,0,0,0,0.0,215,247,0,0,0.0,0.0,2019-02-03T14:05:00Z,0,14,0,0,0,0,25,0,55718,1,0,0.0,0,-942,427,1369,45,True,0,Leicester,Man Utd,3,4,1,1819
0,0,0,0,0.0,215,258,0,0,0.0,0.0,2019-02-10T13:30:00Z,0,17,0,0,0,0,26,0,54825,1,3,0.0,0,-1277,476,1753,45,False,0,Leicester,Spurs,3,4,1,1819
0,0,0,0,0.0,215,267,0,0,0.0,0.0,2019-02-23T17:30:00Z,0,7,0,0,0,0,27,0,54197,4,1,0.0,0,-866,892,1758,45,True,0,Leicester,Crystal Palace,3,2,1,1819
0,0,0,0,0.0,215,275,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,3,0,0,0,0,28,0,53904,1,2,0.0,0,-459,596,1055,45,True,0,Leicester,Brighton,3,2,1,1819
0,0,16,0,0.9,215,288,2,0,3.1,26.0,2019-03-03T12:00:00Z,90,18,0,0,0,0,29,0,52788,1,2,4.0,1,-1159,369,1528,45,False,0,Leicester,Watford,3,3,1,1819
0,0,0,0,0.0,215,296,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,9,0,0,0,0,30,0,52967,1,3,0.0,0,41,912,871,45,True,0,Leicester,Fulham,3,2,1,1819
0,2,27,0,0.0,215,303,1,1,9.1,57.6,2019-03-16T15:00:00Z,84,4,0,0,0,0,31,0,54627,2,1,33.0,10,98,914,816,45,False,0,Leicester,Burnley,3,3,1,1819
0,3,41,1,0.3,215,317,0,1,6.7,45.4,2019-03-30T15:00:00Z,90,2,0,0,0,0,32,0,59317,0,2,21.0,15,5742,7634,1892,45,True,0,Leicester,Bournemouth,3,2,1,1819
0,0,12,0,0.4,215,324,1,0,5.1,13.0,2019-04-06T14:00:00Z,90,10,0,0,0,0,33,0,129535,4,1,38.0,2,57931,59946,2015,45,False,0,Leicester,Huddersfield,3,2,1,1819
0,0,13,0,1.2,215,335,1,0,2.2,21.2,2019-04-12T19:00:00Z,90,15,0,0,0,0,34,0,129499,1,0,0.0,2,9662,19289,9627,46,True,0,Leicester,Newcastle,3,2,1,1819
0,0,0,0,0.0,215,349,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,19,0,0,0,0,35,0,123829,2,2,0.0,0,-5402,8381,13783,46,False,0,Leicester,West Ham,3,3,1,1819
0,0,0,0,0.0,215,355,0,0,0.0,0.0,2019-04-28T11:00:00Z,0,1,0,0,0,0,36,0,117266,0,3,0.0,0,-7291,2163,9454,46,True,0,Leicester,Arsenal,3,4,1,1819
0,0,0,0,0.0,215,367,0,0,0.0,0.0,2019-05-06T19:00:00Z,0,13,0,0,0,0,37,0,107663,0,1,0.0,0,-9523,738,10261,45,False,0,Leicester,Man City,3,5,1,1819
0,0,0,0,0.0,215,375,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,6,0,0,0,0,38,0,101880,0,0,0.0,0,-5415,473,5888,45,True,0,Leicester,Chelsea,3,4,1,1819
0,0,0,0,0.0,165,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,20,0,0,0,0,1,0,84689,0,0,0.0,0,0,0,0,45,True,0,Leicester,Wolves,3,4,1,1920
0,0,0,0,0.0,165,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,80900,1,1,0.0,0,-10493,1943,12436,45,False,0,Leicester,Chelsea,3,4,1,1920
0,0,5,0,0.0,165,27,0,0,0.9,9.0,2019-08-24T14:00:00Z,12,15,0,0,0,0,3,0,72215,2,1,0.0,1,-10580,1536,12116,44,False,0,Leicester,Sheffield Utd,3,3,1,1920
0,0,0,0,0.0,165,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,3,0,0,0,0,4,0,66267,1,3,0.0,0,-7571,2222,9793,44,True,0,Leicester,Bournemouth,3,2,1,1920
0,0,0,0,0.0,165,45,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,12,0,0,0,0,5,0,58936,0,1,0.0,0,-8014,1784,9798,43,False,0,Leicester,Man Utd,3,4,1,1920
0,0,0,0,0.0,165,56,0,0,0.0,0.0,2019-09-21T11:30:00Z,0,17,0,0,0,0,6,0,59957,1,2,0.0,0,-387,3076,3463,43,True,0,Leicester,Spurs,3,3,1,1920
0,0,0,0,0.0,165,66,0,0,0.0,0.0,2019-09-29T15:30:00Z,0,13,0,0,0,0,7,0,58216,0,5,0.0,0,-2603,2179,4782,43,True,0,Leicester,Newcastle,3,2,1,1920
