assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
1,0,17,1,48.3,124,4,0,0,9.7,26.4,2018-08-11T14:00:00Z,75,10,0,0,0,0,1,0,411692,3,0,22.0,6,0,0,0,75,False,0,Chelsea,Huddersfield,4,2,2,1819
0,0,12,0,19.8,124,14,2,0,2.8,4.2,2018-08-18T16:30:00Z,60,1,0,0,0,0,2,0,481292,2,3,4.0,2,14911,53970,39059,75,True,0,Chelsea,Arsenal,4,4,2,1819
0,0,5,0,18.3,124,27,1,0,2.9,4.6,2018-08-26T15:00:00Z,21,15,0,0,0,0,3,0,424725,2,1,6.0,1,-66451,26637,93088,75,False,0,Chelsea,Newcastle,4,3,2,1819
0,0,16,1,54.3,124,34,0,0,10.0,18.6,2018-09-01T14:00:00Z,64,2,0,0,0,0,4,0,350334,0,2,27.0,3,-80983,12249,93232,74,True,0,Chelsea,Bournemouth,4,2,2,1819
1,1,32,0,23.3,124,42,0,1,7.2,39.8,2018-09-15T14:00:00Z,22,5,0,0,0,0,5,0,320690,1,4,9.0,10,-36832,15706,52538,74,True,0,Chelsea,Cardiff,4,2,2,1819
0,0,21,1,73.8,124,60,0,0,14.1,22.2,2018-09-23T12:30:00Z,90,19,0,0,0,0,6,0,350234,0,0,45.0,3,21258,43339,22081,74,False,0,Chelsea,West Ham,4,3,2,1819
0,0,11,1,15.1,124,64,0,0,4.2,5.6,2018-09-29T16:30:00Z,72,12,0,0,0,0,7,0,338027,1,1,21.0,3,-13164,16609,29773,74,True,0,Chelsea,Liverpool,4,4,2,1819
0,0,18,1,58.1,124,78,0,0,10.7,15.8,2018-10-07T13:15:00Z,74,16,0,0,0,0,8,0,347360,3,0,33.0,3,4068,25331,21263,74,False,0,Chelsea,Southampton,4,2,2,1819
1,1,28,0,52.3,124,84,2,0,10.0,24.8,2018-10-20T11:30:00Z,72,14,0,0,0,0,9,0,331320,2,2,23.0,6,-17648,15087,32735,74,True,0,Chelsea,Man Utd,4,4,2,1819
0,0,29,1,32.3,124,92,0,1,13.1,40.2,2018-10-28T13:30:00Z,90,4,0,0,0,0,10,0,374549,4,0,58.0,7,35043,49608,14565,74,False,1,Chelsea,Burnley,4,3,2,1819
0,0,20,0,74.5,124,104,1,0,12.0,24.8,2018-11-04T16:00:00Z,63,7,0,0,0,0,11,0,402540,1,3,21.0,2,26982,45338,18356,74,True,0,Chelsea,Crystal Palace,4,2,2,1819
