assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,506,10,0,0,0.0,0.0,2018-08-11T16:30:00Z,0,20,0,0,0,0,1,0,102500,2,2,0.0,0,0,0,0,55,False,0,Everton,Wolves,2,3,1,1819
0,0,0,0,0.0,506,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,16,0,0,0,0,2,0,87199,1,2,0.0,0,-22835,4088,26923,55,True,0,Everton,Southampton,3,2,1,1819
0,0,0,0,0.0,506,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,2,0,0,0,0,3,0,60894,2,2,0.0,0,-27368,657,28025,55,False,0,Everton,Bournemouth,2,3,1,1819
0,0,0,0,0.0,506,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,10,0,0,0,0,4,0,49019,1,1,0.0,0,-12943,305,13248,55,True,0,Everton,Huddersfield,3,2,1,1819
0,0,0,0,0.0,506,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,19,0,0,0,0,5,0,40816,3,1,0.0,0,-8630,284,8914,54,True,0,Everton,West Ham,3,3,1,1819
0,0,0,0,0.0,506,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,1,0,0,0,0,6,0,37070,0,2,0.0,0,-4050,321,4371,54,False,0,Everton,Arsenal,2,4,1,1819
0,0,0,0,0.0,506,65,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,9,0,0,0,0,7,0,33986,0,3,0.0,0,-3208,193,3401,54,True,0,Everton,Fulham,3,2,1,1819
0,0,0,0,0.0,506,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,11,0,0,0,0,8,0,31399,2,1,0.0,0,-2658,65,2723,54,False,0,Everton,Leicester,2,3,1,1819
0,0,0,0,0.0,506,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,7,0,0,0,0,9,0,29351,0,2,0.0,0,-2178,324,2502,54,True,0,Everton,Crystal Palace,3,2,1,1819
0,0,0,0,0.0,506,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,14,0,0,0,0,10,0,28857,1,2,0.0,0,-658,231,889,54,False,0,Everton,Man Utd,2,4,1,1819
0,0,3,0,0.0,506,105,0,0,0.1,0.8,2018-11-03T15:00:00Z,1,3,0,0,0,0,11,0,28414,1,3,0.0,1,-624,423,1047,54,True,0,Everton,Brighton,3,2,1,1819
