assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,382,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,3,0,0,0,0,1,0,11219,0,2,0.0,0,0,0,0,45,True,0,Watford,Brighton,3,2
0,0,0,0,0.0,382,12,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,4,0,0,0,0,2,0,10139,3,1,0.0,0,-1611,98,1709,45,False,0,Watford,Burnley,3,3
0,0,0,0,0.0,382,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,7,0,0,0,0,3,0,8785,1,2,0.0,0,-1537,149,1686,44,True,0,Watford,Crystal Palace,3,2
0,0,3,0,0.0,382,39,0,0,0.0,0.0,2018-09-02T15:00:00Z,1,17,0,0,0,0,4,0,7718,1,2,0.0,1,-1141,75,1216,44,True,0,Watford,Spurs,3,4
0,0,0,0,0.0,382,49,0,0,0.0,0.0,2018-09-15T16:30:00Z,0,14,0,0,0,0,5,0,7289,2,1,0.0,0,-571,242,813,43,True,0,Watford,Man Utd,3,4
0,0,0,0,0.0,382,56,0,0,0.0,0.0,2018-09-22T11:30:00Z,0,9,0,0,0,0,6,0,6994,1,1,0.0,0,-391,178,569,43,False,0,Watford,Fulham,3,2
0,0,0,0,0.0,382,61,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,1,0,0,0,0,7,0,6651,0,2,0.0,0,-371,83,454,43,False,0,Watford,Arsenal,3,4
0,0,6,0,10.6,382,80,0,0,2.1,10.6,2018-10-06T14:00:00Z,35,2,0,0,0,0,8,0,6428,4,0,0.0,1,-259,60,319,43,True,0,Watford,Bournemouth,3,2
0,0,23,1,0.0,382,90,0,0,1.5,15.2,2018-10-20T14:00:00Z,90,20,0,0,0,0,9,0,6278,2,0,0.0,6,-187,158,345,42,False,0,Watford,Wolves,3,3
0,0,26,1,0.4,382,100,0,0,1.9,17.0,2018-10-27T14:00:00Z,90,10,0,0,0,0,10,0,8198,0,3,2.0,6,1530,1915,385,42,True,0,Watford,Huddersfield,3,2
0,0,10,0,0.3,382,108,1,0,4.5,20.6,2018-11-03T15:00:00Z,90,15,0,0,0,0,11,0,10418,0,1,24.0,2,1940,2485,545,42,False,0,Watford,Newcastle,3,3
0,0,13,0,0.1,382,120,1,0,1.1,8.4,2018-11-10T15:00:00Z,90,16,0,0,0,0,12,0,12685,1,1,2.0,2,1974,2754,780,42,False,0,Watford,Southampton,3,2
0,0,7,0,0.7,382,128,3,0,1.5,14.6,2018-11-24T15:00:00Z,90,12,0,0,0,0,13,0,15607,3,0,0.0,1,2645,4148,1503,42,True,0,Watford,Liverpool,3,4
0,0,14,0,0.8,382,136,2,0,2.0,17.0,2018-12-01T15:00:00Z,90,11,0,0,0,0,14,0,16117,0,2,2.0,1,683,1411,728,42,False,0,Watford,Leicester,3,3
0,0,0,0,0.0,382,146,0,0,0.0,0.0,2018-12-04T20:00:00Z,0,13,0,0,0,0,15,0,15733,2,1,0.0,0,-299,615,914,42,True,0,Watford,Man City,3,4
0,0,3,0,0.0,382,156,1,0,0.0,0.2,2018-12-10T20:00:00Z,1,8,0,0,0,0,16,0,15156,2,2,0.0,1,-615,201,816,42,False,0,Watford,Everton,3,3
