assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,240,5,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,19,0,0,0,0,1,0,22078,0,4,0.0,0,0,0,0,45,True,0,Liverpool,West Ham,5,3
0,0,0,0,0.0,240,15,0,0,0.0,0.0,2018-08-20T19:00:00Z,0,7,0,0,0,0,2,0,23454,2,0,0.0,0,-3273,965,4238,45,False,0,Liverpool,Crystal Palace,4,2
0,0,0,0,0.0,240,25,0,0,0.0,0.0,2018-08-25T16:30:00Z,0,3,0,0,0,0,3,0,21173,0,1,0.0,0,-3113,509,3622,44,True,0,Liverpool,Brighton,5,2
0,0,0,0,0.0,240,37,0,0,0.0,0.0,2018-09-01T11:30:00Z,0,11,0,0,0,0,4,0,19066,2,1,0.0,0,-2595,280,2875,44,False,0,Liverpool,Leicester,4,3
0,0,0,0,0.0,240,48,0,0,0.0,0.0,2018-09-15T11:30:00Z,0,17,0,0,0,0,5,0,17896,2,1,0.0,0,-1625,271,1896,43,False,0,Liverpool,Spurs,4,4
0,0,0,0,0.0,240,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,16,0,0,0,0,6,0,17373,0,3,0.0,0,-835,205,1040,43,True,0,Liverpool,Southampton,5,2
0,0,0,0,0.0,240,64,0,0,0.0,0.0,2018-09-29T16:30:00Z,0,6,0,0,0,0,7,0,16901,1,1,0.0,0,-649,338,987,43,False,0,Liverpool,Chelsea,4,4
0,0,0,0,0.0,240,76,0,0,0.0,0.0,2018-10-07T15:30:00Z,0,13,0,0,0,0,8,0,16377,0,0,0.0,0,-620,118,738,43,True,0,Liverpool,Man City,5,4
0,0,0,0,0.0,240,86,0,0,0.0,0.0,2018-10-20T16:30:00Z,0,10,0,0,0,0,9,0,16158,1,0,0.0,0,-412,202,614,42,False,0,Liverpool,Huddersfield,4,2
0,0,13,0,39.3,240,96,1,0,6.1,16.6,2018-10-27T14:00:00Z,90,5,0,0,0,0,10,0,16030,1,4,5.0,2,-239,175,414,42,True,0,Liverpool,Cardiff,5,2
