assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,102,2,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,2,0,0,0,0,1,0,66660,0,2,0.0,0,0,0,0,45,False,0,Cardiff,Bournemouth,2,3
0,0,0,0,0.0,102,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,15,0,0,0,0,2,0,52659,0,0,0.0,0,-15056,301,15357,45,True,0,Cardiff,Newcastle,2,2
0,0,0,0,0.0,102,24,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,10,0,0,0,0,3,0,42414,0,0,0.0,0,-10629,171,10800,45,False,0,Cardiff,Huddersfield,2,2
0,0,0,0,0.0,102,33,0,0,0.0,0.0,2018-09-02T12:30:00Z,0,1,0,0,0,0,4,0,37138,3,2,0.0,0,-5679,710,6389,44,True,0,Cardiff,Arsenal,2,4
0,0,0,0,0.0,102,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,6,0,0,0,0,5,0,32064,1,4,0.0,0,-5251,390,5641,44,False,0,Cardiff,Chelsea,2,4
0,0,0,0,0.0,102,54,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,13,0,0,0,0,6,0,28168,5,0,0.0,0,-3985,162,4147,44,True,0,Cardiff,Man City,2,4
0,0,0,0,0.0,102,63,0,0,0.0,0.0,2018-09-30T15:00:00Z,0,4,0,0,0,0,7,0,25918,2,1,0.0,0,-2290,88,2378,44,True,0,Cardiff,Burnley,2,2
0,0,0,0,0.0,102,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,17,0,0,0,0,8,0,24540,0,1,0.0,0,-1397,106,1503,44,False,0,Cardiff,Spurs,2,4
0,0,9,0,10.5,102,83,2,0,2.2,9.8,2018-10-20T14:00:00Z,76,9,0,0,0,0,9,0,22975,2,4,2.0,1,-1610,201,1811,44,True,1,Cardiff,Fulham,2,2
0,0,9,0,1.3,102,96,2,0,2.0,18.2,2018-10-27T14:00:00Z,72,12,0,0,0,0,10,0,22282,1,4,0.0,2,-741,214,955,44,False,0,Cardiff,Liverpool,2,5
0,0,10,0,1.3,102,103,1,0,1.5,14.0,2018-11-03T15:00:00Z,90,11,0,0,0,0,11,0,22143,1,0,0.0,2,-223,559,782,44,True,0,Cardiff,Leicester,2,3
0,0,19,0,33.2,102,112,1,0,6.0,14.8,2018-11-10T12:30:00Z,90,3,0,0,0,0,12,0,22263,1,2,12.0,2,44,670,626,44,True,0,Cardiff,Brighton,2,2
