assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,96,2,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,2,0,0,0,0,1,0,47860,0,2,0.0,0,0,0,0,40,False,0,Cardiff,Bournemouth,2,3
0,0,0,0,0.0,96,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,15,0,0,0,0,2,0,47359,0,0,0.0,0,-3577,1072,4649,40,True,0,Cardiff,Newcastle,2,2
0,0,0,0,0.0,96,24,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,10,0,0,0,0,3,0,44373,0,0,0.0,0,-3932,1194,5126,40,False,0,Cardiff,Huddersfield,2,2
0,0,0,0,0.0,96,33,0,0,0.0,0.0,2018-09-02T12:30:00Z,0,1,0,0,0,0,4,0,41877,3,2,0.0,0,-2966,612,3578,40,True,0,Cardiff,Arsenal,2,4
0,0,5,0,1.0,96,42,2,0,1.0,8.6,2018-09-15T14:00:00Z,45,6,0,0,0,0,5,0,41124,1,4,0.0,0,-1518,1719,3237,39,False,0,Cardiff,Chelsea,2,4
0,0,2,0,0.2,96,54,2,0,0.2,1.4,2018-09-22T14:00:00Z,39,13,0,0,0,0,6,0,42766,5,0,0.0,0,671,3376,2705,39,True,0,Cardiff,Man City,2,4
0,0,0,0,0.0,96,63,0,0,0.0,0.0,2018-09-30T15:00:00Z,0,4,0,0,0,0,7,0,42997,2,1,0.0,0,-99,1730,1829,39,True,0,Cardiff,Burnley,2,2
0,0,0,0,0.0,96,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,17,0,0,0,0,8,0,43171,0,1,0.0,0,-101,1362,1463,39,False,0,Cardiff,Spurs,2,4
0,0,4,0,0.3,96,83,0,0,0.3,2.2,2018-10-20T14:00:00Z,13,9,0,0,0,0,9,0,42923,2,4,0.0,1,-465,1512,1977,39,True,0,Cardiff,Fulham,2,2
0,0,0,0,0.0,96,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,12,0,0,0,0,10,0,47218,1,4,0.0,0,2972,4641,1669,39,False,0,Cardiff,Liverpool,2,5
