assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,21,1,0.0,24,2,0,0,1.0,10.0,2018-08-11T14:00:00Z,90,5,0,0,0,0,1,1,220212,0,2,0.0,6,0,0,0,45,True,0,Bournemouth,Cardiff,3,2
0,0,16,0,0.0,24,20,1,0,2.6,25.6,2018-08-18T14:00:00Z,90,19,0,0,0,0,2,4,250753,2,1,0.0,3,3152,12926,9774,45,False,0,Bournemouth,West Ham,2,3
0,0,4,0,0.0,24,22,2,0,0.0,0.0,2018-08-25T14:00:00Z,90,8,0,0,0,0,3,1,260020,2,2,0.0,1,853,20007,19154,45,True,0,Bournemouth,Everton,3,2
0,0,18,0,0.0,24,34,2,0,3.6,35.6,2018-09-01T14:00:00Z,90,6,0,0,0,0,4,4,255193,0,2,0.0,2,-8140,8282,16422,45,False,0,Bournemouth,Chelsea,2,4
0,0,20,0,0.0,24,41,2,0,3.9,38.8,2018-09-15T14:00:00Z,90,11,0,0,0,0,5,5,261224,2,4,0.0,2,1741,19472,17731,45,True,0,Bournemouth,Leicester,3,3
0,0,10,0,0.0,24,53,4,0,0.7,7.0,2018-09-22T14:00:00Z,90,4,0,0,0,0,6,1,266485,0,4,0.0,0,3063,13190,10127,45,False,0,Bournemouth,Burnley,2,3
0,0,10,0,0.0,24,62,1,0,0.7,6.8,2018-10-01T19:00:00Z,90,7,0,0,0,0,7,1,257515,1,2,0.0,2,-8874,2003,10877,45,True,0,Bournemouth,Crystal Palace,3,2
0,0,25,1,0.0,24,80,0,0,1.5,14.6,2018-10-06T14:00:00Z,90,18,0,0,0,0,8,2,249791,4,0,0.0,6,-7968,1168,9136,45,False,0,Bournemouth,Watford,2,3
0,2,29,1,0.0,24,82,0,0,2.1,21.0,2018-10-20T14:00:00Z,90,16,0,0,0,0,9,4,255762,0,0,0.0,9,2659,10335,7676,45,True,0,Bournemouth,Southampton,3,2
0,0,22,1,0.0,24,94,0,0,0.6,6.2,2018-10-27T14:00:00Z,90,9,0,0,0,0,10,1,256493,3,0,0.0,6,463,5945,5482,45,False,0,Bournemouth,Fulham,2,2
0,0,15,0,0.0,24,102,2,0,2.9,29.2,2018-11-03T12:30:00Z,90,14,0,0,0,0,11,4,252291,2,1,0.0,2,-4639,4076,8715,45,True,0,Bournemouth,Man Utd,3,4
0,0,18,0,0.0,24,119,2,0,4.4,44.4,2018-11-10T15:00:00Z,90,15,0,0,0,0,12,5,258599,1,2,0.0,2,3948,8113,4165,45,False,0,Bournemouth,Newcastle,2,3
0,0,14,0,0.0,24,121,2,0,2.3,22.6,2018-11-25T13:30:00Z,90,1,0,0,0,0,13,3,241037,2,1,0.0,2,-15874,1168,17042,45,True,0,Bournemouth,Arsenal,3,4
