assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,11,0,0.0,190,4,3,0,1.3,13.2,2018-08-11T14:00:00Z,90,6,0,0,0,0,1,1,124117,3,0,0.0,1,0,0,0,40,True,0,Huddersfield,Chelsea,2,4
0,0,23,0,0.0,190,18,6,0,5.8,57.8,2018-08-19T12:30:00Z,90,13,0,0,0,0,2,9,217613,1,6,0.0,2,44907,52896,7989,40,False,0,Huddersfield,Man City,2,5
0,0,5,0,0.0,190,24,0,0,0.7,7.4,2018-08-25T14:00:00Z,12,5,0,0,0,0,3,1,350586,0,0,0.0,1,106819,122992,16173,40,True,0,Huddersfield,Cardiff,2,2
0,0,0,0,0.0,190,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,8,0,0,0,0,4,0,376955,1,1,0.0,0,25066,51565,26499,40,False,0,Huddersfield,Everton,2,3
0,0,0,0,0.0,190,44,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,7,0,0,0,0,5,0,406351,1,0,0.0,0,23531,50620,27089,40,True,0,Huddersfield,Crystal Palace,2,2
0,0,0,0,0.0,190,57,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,11,0,0,0,0,6,0,437693,1,3,0.0,0,24556,35607,11051,40,False,0,Huddersfield,Leicester,2,3
0,0,0,0,0.0,190,66,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,17,0,0,0,0,7,0,445048,2,0,0.0,0,5638,16127,10489,40,True,0,Huddersfield,Spurs,2,4
0,0,0,0,0.0,190,72,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,4,0,0,0,0,8,0,448612,1,1,0.0,0,1536,13507,11971,40,False,0,Huddersfield,Burnley,2,3
0,0,0,0,0.0,190,86,0,0,0.0,0.0,2018-10-20T16:30:00Z,0,12,0,0,0,0,9,0,457957,1,0,0.0,0,7058,20100,13042,40,True,0,Huddersfield,Liverpool,2,4
0,0,0,0,0.0,190,100,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,18,0,0,0,0,10,0,464459,0,3,0.0,0,4418,13204,8786,40,False,0,Huddersfield,Watford,2,3
0,0,0,0,0.0,190,106,0,0,0.0,0.0,2018-11-05T20:00:00Z,0,9,0,0,0,0,11,0,469633,0,1,0.0,0,3885,13450,9565,40,True,0,Huddersfield,Fulham,2,2
0,0,0,0,0.0,190,115,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,19,0,0,0,0,12,0,477652,1,1,0.0,0,5815,12395,6580,40,True,0,Huddersfield,West Ham,2,3
0,0,0,0,0.0,190,130,0,0,0.0,0.0,2018-11-25T16:00:00Z,0,20,0,0,0,0,13,0,485133,2,0,0.0,0,5909,13068,7159,40,False,0,Huddersfield,Wolves,2,3
0,0,0,0,0.0,190,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,3,0,0,0,0,14,0,489223,2,1,0.0,0,4232,8477,4245,40,True,0,Huddersfield,Brighton,2,2
0,0,0,0,0.0,190,141,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,2,0,0,0,0,15,0,495091,1,2,0.0,0,4536,9920,5384,40,False,0,Huddersfield,Bournemouth,2,3
0,0,0,0,0.0,190,151,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,1,0,0,0,0,16,0,499419,0,1,0.0,0,2219,9303,7084,40,False,0,Huddersfield,Arsenal,2,4
0,0,0,0,0.0,190,164,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,15,0,0,0,0,17,0,506427,1,0,0.0,0,5633,11522,5889,40,True,0,Huddersfield,Newcastle,2,2
0,0,0,0,0.0,190,176,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,16,0,0,0,0,18,0,509769,3,1,0.0,0,2725,8861,6136,40,True,0,Huddersfield,Southampton,2,2
0,0,0,0,0.0,190,187,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,14,0,0,0,0,19,0,513540,1,3,0.0,0,2759,10096,7337,40,False,0,Huddersfield,Man Utd,2,4
0,0,0,0,0.0,190,194,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,9,0,0,0,0,20,0,507595,0,1,0.0,0,-4816,4652,9468,40,False,0,Huddersfield,Fulham,2,2
0,0,0,0,0.0,190,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,4,0,0,0,0,21,0,481634,2,1,0.0,0,-26042,2016,28058,40,True,0,Huddersfield,Burnley,2,2
0,0,0,0,0.0,190,213,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,5,0,0,0,0,22,0,456284,0,0,0.0,0,-26023,2662,28685,40,False,0,Huddersfield,Cardiff,2,2
0,0,0,0,0.0,190,224,0,0,0.0,0.0,2019-01-20T13:30:00Z,0,13,0,0,0,0,23,0,426480,3,0,0.0,0,-29873,2264,32137,40,True,0,Huddersfield,Man City,2,4
0,0,0,0,0.0,190,234,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,8,0,0,0,0,24,0,413212,1,0,0.0,0,-13809,641,14450,40,True,0,Huddersfield,Everton,2,2
0,0,0,0,0.0,190,244,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,6,0,0,0,0,25,0,397748,0,5,0.0,0,-13306,336,13642,40,False,0,Huddersfield,Chelsea,2,4
0,0,11,0,0.0,190,254,2,0,1.9,19.4,2019-02-09T15:00:00Z,90,1,0,0,0,0,26,2,388724,2,1,0.0,1,-11429,497,11926,40,True,0,Huddersfield,Arsenal,2,4
0,0,0,0,0.0,190,269,0,0,0.0,0.0,2019-02-23T15:00:00Z,0,15,0,0,0,0,27,0,375950,0,2,0.0,0,-10802,1428,12230,40,False,0,Huddersfield,Newcastle,2,3
0,0,0,0,0.0,190,274,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,20,0,0,0,0,28,0,372357,0,1,0.0,0,-6107,503,6610,40,True,0,Huddersfield,Wolves,2,3
0,0,0,0,0.0,190,282,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,3,0,0,0,0,29,0,366997,0,1,0.0,0,-5461,389,5850,40,False,0,Huddersfield,Brighton,2,2
0,0,0,0,0.0,190,295,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,2,0,0,0,0,30,0,360990,2,0,0.0,0,-6039,403,6442,40,True,0,Huddersfield,Bournemouth,2,2
0,0,0,0,0.0,190,309,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,19,0,0,0,0,31,0,401606,3,4,0.0,0,-1073,4460,5533,39,False,0,Huddersfield,West Ham,2,3
0,0,17,0,0.0,190,315,2,0,1.9,19.0,2019-03-30T15:00:00Z,90,7,0,0,0,0,32,4,403840,0,2,0.0,2,3543,13186,9643,39,False,0,Huddersfield,Crystal Palace,2,2
0,0,20,0,0.0,190,324,4,0,3.5,35.2,2019-04-06T14:00:00Z,90,11,0,0,0,0,33,6,376596,4,1,0.0,2,2608,7485,4877,39,True,0,Huddersfield,Leicester,2,3
0,0,11,0,0.0,190,339,4,0,0.6,6.0,2019-04-13T11:30:00Z,90,17,0,0,0,0,34,1,348473,0,4,0.0,0,-19941,11304,31245,39,False,0,Huddersfield,Spurs,2,4
0,0,0,0,0.0,190,346,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,18,0,0,0,0,35,0,357787,2,1,0.0,0,3924,13598,9674,39,True,0,Huddersfield,Watford,2,3
0,0,0,0,0.0,190,356,0,0,0.0,0.0,2019-04-26T19:00:00Z,0,12,0,0,0,0,36,0,352311,0,5,0.0,0,-830,5775,6605,39,False,0,Huddersfield,Liverpool,2,5
0,0,0,0,0.0,190,366,0,0,0.0,0.0,2019-05-05T13:00:00Z,0,14,0,0,0,0,37,0,343931,1,1,0.0,0,-7909,2278,10187,39,True,0,Huddersfield,Man Utd,2,4
0,0,0,0,0.0,190,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,16,0,0,0,0,38,0,333775,1,1,0.0,0,-9979,2487,12466,39,False,0,Huddersfield,Southampton,2,2
