assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,174,10,0,0,0.0,0.0,2018-08-11T16:30:00Z,0,20,0,0,0,0,1,0,2914,2,2,0.0,0,0,0,0,45,False,0,Everton,Wolves,2,3
0,0,0,0,0.0,174,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,16,0,0,0,0,2,0,3139,1,2,0.0,0,-253,144,397,45,True,0,Everton,Southampton,3,2
0,0,0,0,0.0,174,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,2,0,0,0,0,3,0,3036,2,2,0.0,0,-251,198,449,45,False,0,Everton,Bournemouth,2,3
0,0,0,0,0.0,174,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,10,0,0,0,0,4,0,2899,1,1,0.0,0,-234,87,321,45,True,0,Everton,Huddersfield,3,2
0,0,0,0,0.0,174,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,19,0,0,0,0,5,0,3005,3,1,0.0,0,-45,233,278,44,True,0,Everton,West Ham,3,3
0,0,0,0,0.0,174,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,1,0,0,0,0,6,0,2946,0,2,0.0,0,-97,131,228,44,False,0,Everton,Arsenal,2,4
0,0,0,0,0.0,174,65,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,9,0,0,0,0,7,0,2880,0,3,0.0,0,-95,84,179,44,True,0,Everton,Fulham,3,2
0,0,0,0,0.0,174,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,11,0,0,0,0,8,0,2879,2,1,0.0,0,-37,80,117,44,False,0,Everton,Leicester,2,3
0,0,0,0,0.0,174,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,7,0,0,0,0,9,0,2735,0,2,0.0,0,-150,66,216,44,True,0,Everton,Crystal Palace,3,2
0,0,0,0,0.0,174,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,14,0,0,0,0,10,0,2620,1,2,0.0,0,-127,17,144,44,False,0,Everton,Man Utd,2,4
0,0,0,0,0.0,174,105,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,3,0,0,0,0,11,0,2633,1,3,0.0,0,-29,92,121,43,True,0,Everton,Brighton,3,2
0,0,0,0,0.0,174,113,0,0,0.0,0.0,2018-11-11T14:15:00Z,0,6,0,0,0,0,12,0,2945,0,0,0.0,0,173,294,121,43,False,0,Everton,Chelsea,2,4
