assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,6,0,0.2,192,4,3,0,2.0,20.2,2018-08-11T14:00:00Z,90,6,0,0,0,0,1,0,164951,3,0,0.0,0,0,0,0,45,True,1,Huddersfield,Chelsea,2,4
0,0,7,0,10.7,192,18,6,0,4.4,29.0,2018-08-19T12:30:00Z,90,13,0,0,0,0,2,0,147672,1,6,4.0,-2,-18060,324,18384,45,False,1,Huddersfield,Man City,2,5
0,3,28,1,0.9,192,24,0,0,2.7,24.4,2018-08-25T14:00:00Z,90,5,0,0,0,0,3,0,131277,0,0,2.0,9,-17388,1315,18703,45,True,0,Huddersfield,Cardiff,2,2
0,0,10,0,0.3,192,36,1,0,1.2,6.0,2018-09-01T14:00:00Z,90,8,0,0,0,0,4,0,132527,1,1,6.0,2,-1092,5451,6543,45,False,0,Huddersfield,Everton,2,3
0,0,9,0,0.4,192,44,1,0,1.8,8.6,2018-09-15T14:00:00Z,90,7,0,0,0,0,5,0,126168,1,0,9.0,2,-6614,1935,8549,44,True,0,Huddersfield,Crystal Palace,2,2
0,0,19,0,10.6,192,57,3,0,2.7,14.0,2018-09-22T14:00:00Z,90,11,0,0,0,0,6,0,121056,1,3,2.0,1,-5505,1324,6829,44,False,0,Huddersfield,Leicester,2,3
0,0,12,0,0.0,192,66,2,0,0.8,7.6,2018-09-29T14:00:00Z,70,17,0,0,0,0,7,0,114819,2,0,0.0,1,-6243,340,6583,44,True,0,Huddersfield,Spurs,2,4
0,0,23,0,0.0,192,72,1,1,7.3,49.8,2018-10-06T14:00:00Z,90,4,0,0,0,0,8,0,103902,1,1,23.0,8,-10788,45,10833,44,False,0,Huddersfield,Burnley,2,3
0,0,19,0,0.2,192,86,1,0,2.8,24.0,2018-10-20T16:30:00Z,90,12,0,0,0,0,9,0,105373,1,0,4.0,2,249,4768,4519,43,True,0,Huddersfield,Liverpool,2,4
0,0,12,0,0.3,192,100,3,0,1.4,13.4,2018-10-27T14:00:00Z,90,18,0,0,0,0,10,0,105831,0,3,0.0,1,342,3155,2813,43,False,0,Huddersfield,Watford,2,3
1,2,29,1,0.3,192,106,0,0,1.2,7.8,2018-11-05T20:00:00Z,90,9,0,0,0,0,11,0,106829,0,1,4.0,11,579,4105,3526,43,True,0,Huddersfield,Fulham,2,2
0,0,10,0,0.0,192,115,1,0,2.1,21.2,2018-11-10T15:00:00Z,90,19,0,0,0,0,12,0,119030,1,1,0.0,2,10601,13250,2649,43,True,0,Huddersfield,West Ham,2,3
0,2,32,1,0.3,192,130,0,0,2.6,25.8,2018-11-25T16:00:00Z,90,20,0,0,0,0,13,0,128876,2,0,0.0,8,9530,13562,4032,43,False,0,Huddersfield,Wolves,2,3
0,0,11,0,0.0,192,135,2,0,1.6,16.2,2018-12-01T15:00:00Z,90,3,0,0,0,0,14,0,166724,2,1,0.0,1,34347,37182,2835,43,True,0,Huddersfield,Brighton,2,2
0,0,10,0,1.9,192,141,2,0,2.7,16.8,2018-12-04T19:45:00Z,90,2,0,0,0,0,15,0,175310,1,2,8.0,1,9368,16721,7353,43,False,0,Huddersfield,Bournemouth,2,3
0,0,7,0,1.3,192,151,1,0,0.9,7.6,2018-12-08T15:00:00Z,90,1,0,0,0,0,16,0,180400,0,1,0.0,2,5459,12492,7033,43,False,0,Huddersfield,Arsenal,2,4
0,0,8,0,1.2,192,164,1,0,1.8,4.4,2018-12-15T15:00:00Z,90,15,0,0,0,0,17,0,206695,1,0,12.0,2,23574,29650,6076,44,True,0,Huddersfield,Newcastle,2,2
0,0,8,0,0.5,192,176,3,0,1.1,4.0,2018-12-22T15:00:00Z,90,16,0,0,0,0,18,0,215693,3,1,6.0,1,9217,15955,6738,44,True,0,Huddersfield,Southampton,2,2
0,0,10,0,0.4,192,187,3,0,1.5,12.4,2018-12-26T15:00:00Z,90,14,0,0,0,0,19,0,204365,1,3,2.0,1,-10059,3004,13063,44,False,0,Huddersfield,Man Utd,2,4
0,0,15,0,0.0,192,194,1,0,3.6,18.8,2018-12-29T15:00:00Z,90,9,0,0,0,0,20,0,196435,0,1,17.0,2,-8592,3130,11722,44,False,0,Huddersfield,Fulham,2,2
0,0,-5,0,0.0,192,206,2,0,3.7,3.2,2019-01-02T19:45:00Z,40,4,0,0,0,1,21,0,191829,2,1,34.0,-3,-5393,3851,9244,44,True,0,Huddersfield,Burnley,2,2
0,0,22,1,0.1,192,213,0,0,1.9,17.0,2019-01-12T15:00:00Z,90,5,0,0,0,0,22,0,171070,0,0,2.0,5,-20602,1006,21608,43,False,1,Huddersfield,Cardiff,2,2
0,0,12,0,0.5,192,224,3,0,2.8,25.8,2019-01-20T13:30:00Z,90,13,0,0,0,0,23,0,159254,3,0,2.0,1,-12059,2036,14095,43,True,0,Huddersfield,Man City,2,4
0,0,13,0,1.4,192,234,1,0,1.5,13.6,2019-01-29T19:45:00Z,90,8,0,0,0,0,24,0,154244,1,0,0.0,2,-5385,1299,6684,43,True,0,Huddersfield,Everton,2,2
0,0,16,0,0.0,192,244,5,0,3.5,35.4,2019-02-02T15:00:00Z,90,6,0,0,0,0,25,0,149345,0,5,0.0,0,-3905,1167,5072,43,False,0,Huddersfield,Chelsea,2,4
0,0,12,0,0.5,192,254,2,0,1.8,17.2,2019-02-09T15:00:00Z,90,1,0,0,0,0,26,0,145599,2,1,0.0,0,-4832,853,5685,43,True,1,Huddersfield,Arsenal,2,4
0,0,16,0,0.8,192,269,2,0,4.1,33.8,2019-02-23T15:00:00Z,90,15,0,0,0,0,27,0,142990,0,2,6.0,1,-2074,3048,5122,42,False,0,Huddersfield,Newcastle,2,3
0,0,22,1,0.6,192,274,0,0,2.0,19.0,2019-02-26T19:45:00Z,90,20,0,0,0,0,28,0,144765,0,1,0.0,6,818,3926,3108,42,True,0,Huddersfield,Wolves,2,3
0,0,16,0,0.6,192,282,1,0,1.6,15.0,2019-03-02T15:00:00Z,90,3,0,0,0,0,29,0,149761,0,1,0.0,2,4812,7243,2431,42,False,0,Huddersfield,Brighton,2,2
0,0,10,0,0.8,192,295,2,0,0.8,7.6,2019-03-09T15:00:00Z,90,2,0,0,0,0,30,0,153611,2,0,0.0,1,3757,6841,3084,42,True,0,Huddersfield,Bournemouth,2,2
0,0,0,0,0.0,192,309,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,19,0,0,0,0,31,0,181028,3,4,0.0,0,5036,7981,2945,42,False,0,Huddersfield,West Ham,2,3
0,0,19,0,0.6,192,315,2,0,3.8,20.0,2019-03-30T15:00:00Z,90,7,0,0,0,0,32,0,145703,0,2,17.0,1,-7907,3047,10954,42,False,0,Huddersfield,Crystal Palace,2,2
