assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,290,6,0,0,0.0,0.0,2018-08-10T19:00:00Z,0,11,0,0,0,0,1,0,868,1,2,0.0,0,0,0,0,50,True,0,Man Utd,Leicester,4,3
0,0,0,0,0.0,290,11,0,0,0.0,0.0,2018-08-19T15:00:00Z,0,3,0,0,0,0,2,0,691,2,3,0.0,0,-244,16,260,50,False,0,Man Utd,Brighton,4,2
0,0,0,0,0.0,290,26,0,0,0.0,0.0,2018-08-27T19:00:00Z,0,17,0,0,0,0,3,0,632,3,0,0.0,0,-98,14,112,50,True,0,Man Utd,Spurs,4,4
0,0,0,0,0.0,290,32,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,4,0,0,0,0,4,0,589,2,0,0.0,0,-65,5,70,50,False,0,Man Utd,Burnley,4,3
0,0,0,0,0.0,290,49,0,0,0.0,0.0,2018-09-15T16:30:00Z,0,18,0,0,0,0,5,0,562,2,1,0.0,0,-43,8,51,50,False,0,Man Utd,Watford,4,3
0,0,0,0,0.0,290,59,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,20,0,0,0,0,6,0,554,1,1,0.0,0,-10,6,16,50,True,0,Man Utd,Wolves,4,3
0,0,0,0,0.0,290,69,0,0,0.0,0.0,2018-09-29T11:30:00Z,0,19,0,0,0,0,7,0,556,1,3,0.0,0,-13,1,14,50,False,0,Man Utd,West Ham,4,3
0,0,0,0,0.0,290,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,15,0,0,0,0,8,0,554,2,3,0.0,0,-4,3,7,50,True,0,Man Utd,Newcastle,4,2
0,0,0,0,0.0,290,84,0,0,0.0,0.0,2018-10-20T11:30:00Z,0,6,0,0,0,0,9,0,561,2,2,0.0,0,-12,3,15,50,False,0,Man Utd,Chelsea,4,4
0,0,0,0,0.0,290,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,8,0,0,0,0,10,0,561,1,2,0.0,0,-3,4,7,50,True,0,Man Utd,Everton,4,2
0,0,0,0,0.0,290,102,0,0,0.0,0.0,2018-11-03T12:30:00Z,0,2,0,0,0,0,11,0,563,2,1,0.0,0,-3,6,9,50,False,0,Man Utd,Bournemouth,4,3
0,0,0,0,0.0,290,118,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,13,0,0,0,0,12,0,564,1,3,0.0,0,0,5,5,50,False,0,Man Utd,Man City,4,5
0,0,0,0,0.0,290,126,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,7,0,0,0,0,13,0,563,0,0,0.0,0,-3,8,11,50,True,0,Man Utd,Crystal Palace,4,2
0,0,0,0,0.0,290,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,16,0,0,0,0,14,0,563,2,2,0.0,0,-2,2,4,50,False,0,Man Utd,Southampton,4,2
0,0,0,0,0.0,290,145,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,1,0,0,0,0,15,0,567,2,2,0.0,0,3,5,2,50,True,0,Man Utd,Arsenal,4,4
0,0,0,0,0.0,290,158,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,9,0,0,0,0,16,0,567,1,4,0.0,0,-2,2,4,50,True,0,Man Utd,Fulham,4,2
0,0,0,0,0.0,290,165,0,0,0.0,0.0,2018-12-16T16:00:00Z,0,12,0,0,0,0,17,0,564,1,3,0.0,0,-6,4,10,50,False,0,Man Utd,Liverpool,4,5
0,0,0,0,0.0,290,173,0,0,0.0,0.0,2018-12-22T17:30:00Z,0,5,0,0,0,0,18,0,563,5,1,0.0,0,-3,1,4,50,False,0,Man Utd,Cardiff,4,2
0,0,0,0,0.0,290,187,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,10,0,0,0,0,19,0,562,1,3,0.0,0,-3,6,9,50,True,0,Man Utd,Huddersfield,4,2
0,0,0,0,0.0,290,197,0,0,0.0,0.0,2018-12-30T16:30:00Z,0,2,0,0,0,0,20,0,559,1,4,0.0,0,-3,1,4,50,True,0,Man Utd,Bournemouth,4,2
0,0,0,0,0.0,290,208,0,0,0.0,0.0,2019-01-02T20:00:00Z,0,15,0,0,0,0,21,0,558,2,0,0.0,0,-3,1,4,50,False,0,Man Utd,Newcastle,4,3
0,0,0,0,0.0,290,219,0,0,0.0,0.0,2019-01-13T16:30:00Z,0,17,0,0,0,0,22,0,548,1,0,0.0,0,-11,3,14,50,False,0,Man Utd,Spurs,4,4
0,0,0,0,0.0,290,226,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,3,0,0,0,0,23,0,549,1,2,0.0,0,0,3,3,50,True,0,Man Utd,Brighton,4,2
0,0,0,0,0.0,290,235,0,0,0.0,0.0,2019-01-29T20:00:00Z,0,4,0,0,0,0,24,0,550,2,2,0.0,0,0,2,2,50,True,0,Man Utd,Burnley,4,2
0,0,0,0,0.0,290,247,0,0,0.0,0.0,2019-02-03T14:05:00Z,0,11,0,0,0,0,25,0,551,1,0,0.0,0,0,2,2,50,False,0,Man Utd,Leicester,4,3
