assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,26,0,2.5,472,5,0,1,8.8,35.0,2018-08-12T12:30:00Z,3,19,0,0,0,0,1,0,47395,0,4,50.0,5,0,0,0,60,True,0,Liverpool,West Ham,5,3
0,0,3,0,0.0,472,15,0,0,0.0,0.0,2018-08-20T19:00:00Z,1,7,0,0,0,0,2,0,76130,2,0,0.0,1,6948,14106,7158,60,False,0,Liverpool,Crystal Palace,4,2
0,0,3,0,1.2,472,25,0,0,1.6,0.0,2018-08-25T16:30:00Z,10,3,0,0,0,0,3,0,70189,0,1,16.0,1,-9894,5930,15824,60,True,0,Liverpool,Brighton,5,2
0,0,0,0,0.0,472,37,0,0,0.0,0.0,2018-09-01T11:30:00Z,0,11,0,0,0,0,4,0,60471,2,1,0.0,0,-11957,1729,13686,59,False,0,Liverpool,Leicester,4,3
0,0,1,0,0.0,472,48,1,0,0.3,1.0,2018-09-15T11:30:00Z,7,17,0,0,0,0,5,0,53519,2,1,2.0,1,-9414,1655,11069,59,False,0,Liverpool,Spurs,4,4
0,0,0,0,0.0,472,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,16,0,0,0,0,6,0,55573,0,3,0.0,0,-98,4324,4422,58,True,0,Liverpool,Southampton,5,2
0,2,27,0,0.0,472,64,0,1,4.0,33.0,2018-09-29T16:30:00Z,4,6,0,0,0,0,7,0,53582,1,1,7.0,7,-3045,2146,5191,58,False,0,Liverpool,Chelsea,4,4
0,0,3,0,0.8,472,76,0,0,2.4,6.6,2018-10-07T15:30:00Z,18,13,0,0,0,0,8,0,69199,0,0,17.0,1,11694,14631,2937,58,True,0,Liverpool,Man City,5,4
0,0,5,1,37.8,472,86,0,0,5.2,5.4,2018-10-20T16:30:00Z,90,10,0,0,0,0,9,0,82986,1,0,9.0,1,9900,16897,6997,58,False,1,Liverpool,Huddersfield,4,2
0,0,0,0,0.0,472,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,5,0,0,0,0,10,0,85484,1,4,0.0,0,1824,10616,8792,58,True,0,Liverpool,Cardiff,5,2
