assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,473,2,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,5,0,0,0,0,1,0,1514,0,2,0.0,0,0,0,0,45,True,0,Bournemouth,Cardiff,3,2
0,0,0,0,0.0,473,20,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,19,0,0,0,0,2,0,1378,2,1,0.0,0,-219,33,252,45,False,0,Bournemouth,West Ham,2,3
0,0,0,0,0.0,473,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,8,0,0,0,0,3,0,1209,2,2,0.0,0,-194,50,244,45,True,0,Bournemouth,Everton,3,2
0,0,23,0,43.7,473,34,2,0,7.2,25.4,2018-09-01T14:00:00Z,90,6,0,0,0,0,4,0,1311,0,2,3.0,1,1,124,123,45,False,0,Bournemouth,Chelsea,2,4
0,0,7,0,6.3,473,41,2,0,2.2,11.8,2018-09-15T14:00:00Z,90,11,0,0,0,0,5,0,5098,2,4,4.0,1,3013,4252,1239,45,True,0,Bournemouth,Leicester,3,3
0,0,7,0,11.1,473,53,2,0,2.9,8.8,2018-09-22T14:00:00Z,45,4,0,0,0,0,6,0,5803,0,4,9.0,0,615,1099,484,45,False,0,Bournemouth,Burnley,2,3
0,0,0,0,0.0,473,62,0,0,0.0,0.0,2018-10-01T19:00:00Z,0,7,0,0,0,0,7,0,5234,1,2,0.0,0,-575,117,692,45,True,0,Bournemouth,Crystal Palace,3,2
0,0,0,0,0.0,473,80,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,18,0,0,0,0,8,0,4746,4,0,0.0,0,-517,32,549,45,False,0,Bournemouth,Watford,2,3
0,0,0,0,0.0,473,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,16,0,0,0,0,9,0,3867,0,0,0.0,0,-956,62,1018,45,True,0,Bournemouth,Southampton,3,2
0,0,0,0,0.0,473,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,9,0,0,0,0,10,0,3223,3,0,0.0,0,-690,25,715,44,False,0,Bournemouth,Fulham,2,2
0,0,0,0,0.0,473,102,0,0,0.0,0.0,2018-11-03T12:30:00Z,0,14,0,0,0,0,11,0,2716,2,1,0.0,0,-528,28,556,43,True,0,Bournemouth,Man Utd,3,4
