assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,371,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,15,0,0,0,0,1,0,15635,2,1,0.0,0,0,0,0,60,False,0,Spurs,Newcastle,4,3
0,0,0,0,0.0,371,19,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,9,0,0,0,0,2,0,15477,1,3,0.0,0,-3679,921,4600,59,True,0,Spurs,Fulham,4,2
0,0,0,0,0.0,371,26,0,0,0.0,0.0,2018-08-27T19:00:00Z,0,14,0,0,0,0,3,0,13758,3,0,0.0,0,-3030,730,3760,58,False,0,Spurs,Man Utd,4,4
0,0,3,0,0.3,371,39,0,0,0.2,0.0,2018-09-02T15:00:00Z,9,18,0,0,0,0,4,0,13231,1,2,2.0,1,-1643,755,2398,58,False,0,Spurs,Watford,4,3
0,0,0,0,0.0,371,48,0,0,0.0,0.0,2018-09-15T11:30:00Z,0,12,0,0,0,0,5,0,13361,2,1,0.0,0,-656,861,1517,58,True,0,Spurs,Liverpool,4,4
0,0,0,0,0.0,371,52,0,0,0.0,0.0,2018-09-22T16:30:00Z,0,3,0,0,0,0,6,0,13318,2,1,0.0,0,-510,523,1033,57,False,0,Spurs,Brighton,4,2
0,0,0,0,0.0,371,66,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,10,0,0,0,0,7,0,13137,2,0,0.0,0,-503,369,872,57,False,0,Spurs,Huddersfield,4,2
0,0,0,0,0.0,371,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,5,0,0,0,0,8,0,12962,0,1,0.0,0,-410,278,688,57,True,0,Spurs,Cardiff,4,2
0,0,2,0,1.6,371,89,0,0,0.4,0.0,2018-10-20T14:00:00Z,4,19,0,0,0,0,9,0,12856,1,0,4.0,1,-403,304,707,57,False,0,Spurs,West Ham,4,3
0,0,0,0,0.0,371,99,0,0,0.0,0.0,2018-10-29T20:00:00Z,0,13,0,0,0,0,10,0,12967,1,0,0.0,0,-78,300,378,57,True,0,Spurs,Man City,4,4
0,0,0,0,0.0,371,110,0,0,0.0,0.0,2018-11-03T19:45:00Z,0,20,0,0,0,0,11,0,13075,3,2,0.0,0,-96,411,507,57,False,0,Spurs,Wolves,4,3
0,0,0,0,0.0,371,114,0,0,0.0,0.0,2018-11-10T17:30:00Z,0,7,0,0,0,0,12,0,13084,1,0,0.0,0,-159,329,488,56,False,0,Spurs,Crystal Palace,4,2
0,0,0,0,0.0,371,127,0,0,0.0,0.0,2018-11-24T17:30:00Z,0,6,0,0,0,0,13,0,13296,1,3,0.0,0,-46,367,413,56,True,0,Spurs,Chelsea,4,4
0,0,0,0,0.0,371,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,1,0,0,0,0,14,0,13332,2,4,0.0,0,-80,170,250,56,False,0,Spurs,Arsenal,4,4
0,0,0,0,0.0,371,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,16,0,0,0,0,15,0,13355,1,3,0.0,0,-54,222,276,56,True,0,Spurs,Southampton,4,2
0,0,0,0,0.0,371,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,11,0,0,0,0,16,0,13314,2,0,0.0,0,-125,151,276,56,False,0,Spurs,Leicester,4,3
0,0,3,0,10.3,371,168,0,0,1.5,2.2,2018-12-15T15:00:00Z,8,4,0,0,0,0,17,0,13630,0,1,2.0,1,69,438,369,56,True,0,Spurs,Burnley,4,2
0,0,0,0,0.0,371,175,0,0,0.0,0.0,2018-12-23T16:00:00Z,0,8,0,0,0,0,18,0,13761,6,2,0.0,0,-48,254,302,56,False,0,Spurs,Everton,4,3
