assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,232,6,0,0,0.0,0.0,2018-08-10T19:00:00Z,0,14,0,0,0,0,1,0,3158,1,2,0.0,0,0,0,0,50,False,0,Leicester,Man Utd,3,4
0,0,0,0,0.0,232,17,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,20,0,0,0,0,2,0,2772,0,2,0.0,0,-602,48,650,49,True,0,Leicester,Wolves,3,3
0,0,0,0,0.0,232,28,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,16,0,0,0,0,3,0,2490,2,1,0.0,0,-431,88,519,49,False,0,Leicester,Southampton,3,2
0,0,0,0,0.0,232,37,0,0,0.0,0.0,2018-09-01T11:30:00Z,0,12,0,0,0,0,4,0,2430,2,1,0.0,0,-202,132,334,48,True,0,Leicester,Liverpool,3,4
0,0,0,0,0.0,232,41,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,2,0,0,0,0,5,0,2407,2,4,0.0,0,-149,124,273,48,False,0,Leicester,Bournemouth,3,3
0,0,0,0,0.0,232,57,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,10,0,0,0,0,6,0,2318,1,3,0.0,0,-118,43,161,48,True,0,Leicester,Huddersfield,3,2
0,0,0,0,0.0,232,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,15,0,0,0,0,7,0,2231,2,0,0.0,0,-104,23,127,48,False,0,Leicester,Newcastle,3,3
0,0,0,0,0.0,232,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,8,0,0,0,0,8,0,2376,2,1,0.0,0,-7,104,111,47,True,0,Leicester,Everton,3,2
0,0,0,0,0.0,232,81,0,0,0.0,0.0,2018-10-22T19:00:00Z,0,1,0,0,0,0,9,0,2616,1,3,0.0,0,-16,181,197,47,False,0,Leicester,Arsenal,3,4
0,0,0,0,0.0,232,95,0,0,0.0,0.0,2018-10-27T16:30:00Z,0,19,0,0,0,0,10,0,2554,1,1,0.0,0,-84,36,120,47,True,0,Leicester,West Ham,3,3
0,0,0,0,0.0,232,103,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,5,0,0,0,0,11,0,2488,1,0,0.0,0,-80,33,113,47,False,0,Leicester,Cardiff,3,2
0,0,0,0,0.0,232,116,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,4,0,0,0,0,12,0,2450,0,0,0.0,0,-54,29,83,47,True,0,Leicester,Burnley,3,2
0,0,0,0,0.0,232,122,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,3,0,0,0,0,13,0,2398,1,1,0.0,0,-63,24,87,47,False,0,Leicester,Brighton,3,2
0,0,0,0,0.0,232,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,18,0,0,0,0,14,0,2391,0,2,0.0,0,-25,17,42,47,True,0,Leicester,Watford,3,3
0,0,4,0,15.8,232,144,1,0,2.3,7.4,2018-12-05T19:45:00Z,54,9,0,0,0,0,15,0,2393,1,1,0.0,1,-3,29,32,46,False,0,Leicester,Fulham,3,2
0,0,0,0,0.0,232,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,17,0,0,0,0,16,0,2397,2,0,0.0,0,-12,30,42,46,True,0,Leicester,Spurs,3,4
0,0,0,0,0.0,232,162,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,7,0,0,0,0,17,0,2384,0,1,0.0,0,-25,30,55,46,False,0,Leicester,Crystal Palace,3,2
0,0,0,0,0.0,232,174,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,6,0,0,0,0,18,0,2385,1,0,0.0,0,-15,27,42,46,False,0,Leicester,Chelsea,3,4
0,0,0,0,0.0,232,185,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,13,0,0,0,0,19,0,2390,1,2,0.0,0,-12,37,49,46,True,0,Leicester,Man City,3,4
0,0,0,0,0.0,232,195,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,5,0,0,0,0,20,0,2389,1,0,0.0,0,-9,35,44,46,True,0,Leicester,Cardiff,3,2
0,0,0,0,0.0,232,205,0,0,0.0,0.0,2019-01-01T12:30:00Z,0,8,0,0,0,0,21,0,2373,1,0,0.0,0,-28,25,53,46,False,0,Leicester,Everton,3,3
0,0,0,0,0.0,232,217,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,16,0,0,0,0,22,0,2336,2,1,0.0,0,-54,39,93,46,True,0,Leicester,Southampton,3,2
0,0,0,0,0.0,232,230,0,0,0.0,0.0,2019-01-19T12:30:00Z,0,20,0,0,0,0,23,0,2244,3,4,0.0,0,-91,13,104,46,False,0,Leicester,Wolves,3,3
0,0,0,0,0.0,232,237,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,12,0,0,0,0,24,0,2174,1,1,0.0,0,-72,1,73,46,False,0,Leicester,Liverpool,3,5
0,0,0,0,0.0,232,247,0,0,0.0,0.0,2019-02-03T14:05:00Z,0,14,0,0,0,0,25,0,2156,1,0,0.0,0,-20,0,20,46,True,0,Leicester,Man Utd,3,4
