assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,10,0,0.6,51,9,2,0,0.7,6.2,2018-08-11T14:00:00Z,64,18,0,0,0,0,1,0,8038,0,2,0.0,1,0,0,0,45,False,0,Brighton,Watford,2,3
0,0,11,0,0.8,51,11,2,0,0.7,6.6,2018-08-19T15:00:00Z,90,14,0,0,0,0,2,0,8613,2,3,0.0,1,-492,137,629,45,True,0,Brighton,Man Utd,2,4
0,0,17,0,5.4,51,25,1,0,2.1,16.0,2018-08-25T16:30:00Z,90,12,0,0,0,0,3,0,8857,0,1,0.0,2,-238,489,727,45,False,0,Brighton,Liverpool,2,5
0,0,11,0,1.5,51,31,2,0,1.6,14.2,2018-09-01T14:00:00Z,90,9,0,0,0,0,4,0,9890,2,2,0.0,1,469,1173,704,45,True,0,Brighton,Fulham,2,2
0,0,8,0,16.8,51,47,2,0,2.2,5.4,2018-09-17T19:00:00Z,90,16,0,0,0,0,5,0,9494,2,2,0.0,1,-562,259,821,45,False,0,Brighton,Southampton,2,2
0,0,3,0,0.3,51,52,2,0,0.8,8.0,2018-09-22T16:30:00Z,90,17,0,0,0,0,6,0,9242,2,1,0.0,1,-359,174,533,45,True,0,Brighton,Spurs,2,4
0,0,12,0,14.2,51,67,2,0,2.9,15.2,2018-09-29T14:00:00Z,90,13,0,0,0,0,7,0,9051,0,2,0.0,1,-287,126,413,45,False,0,Brighton,Man City,2,5
0,0,24,1,1.3,51,71,0,0,1.1,10.0,2018-10-05T19:00:00Z,90,19,0,0,0,0,8,0,9015,0,1,0.0,6,-126,202,328,45,True,0,Brighton,West Ham,2,3
0,0,14,1,1.8,51,88,0,0,0.2,0.2,2018-10-20T14:00:00Z,90,15,0,0,0,0,9,0,8860,1,0,0.0,6,-257,370,627,45,False,0,Brighton,Newcastle,2,3
0,0,26,1,4.6,51,91,0,0,2.4,19.4,2018-10-27T14:00:00Z,90,20,0,0,0,0,10,0,9425,0,1,0.0,6,419,656,237,45,True,0,Brighton,Wolves,2,3
