assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,373,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,3,0,0,0,0,1,0,22758,0,2,0.0,0,0,0,0,45,True,0,Watford,Brighton,3,2
0,0,0,0,0.0,373,12,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,4,0,0,0,0,2,0,23020,3,1,0.0,0,-1871,201,2072,45,False,0,Watford,Burnley,3,3
0,0,0,0,0.0,373,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,7,0,0,0,0,3,0,21757,1,2,0.0,0,-1812,186,1998,45,True,0,Watford,Crystal Palace,3,2
0,0,0,0,0.0,373,39,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,17,0,0,0,0,4,0,20888,1,2,0.0,0,-1309,230,1539,45,True,0,Watford,Spurs,3,4
0,0,0,0,0.0,373,49,0,0,0.0,0.0,2018-09-15T16:30:00Z,0,14,0,0,0,0,5,0,20431,2,1,0.0,0,-1049,325,1374,44,True,0,Watford,Man Utd,3,4
0,0,0,0,0.0,373,56,0,0,0.0,0.0,2018-09-22T11:30:00Z,0,9,0,0,0,0,6,0,20017,1,1,0.0,0,-690,183,873,44,False,0,Watford,Fulham,3,2
0,0,0,0,0.0,373,61,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,1,0,0,0,0,7,0,19529,0,2,0.0,0,-650,128,778,44,False,0,Watford,Arsenal,3,4
0,0,0,0,0.0,373,80,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,2,0,0,0,0,8,0,19140,4,0,0.0,0,-491,116,607,44,True,0,Watford,Bournemouth,3,2
0,0,0,0,0.0,373,90,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,20,0,0,0,0,9,0,18689,2,0,0.0,0,-561,97,658,44,False,0,Watford,Wolves,3,3
0,0,0,0,0.0,373,100,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,10,0,0,0,0,10,0,18422,0,3,0.0,0,-360,83,443,44,True,0,Watford,Huddersfield,3,2
0,0,0,0,0.0,373,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,15,0,0,0,0,11,0,18076,0,1,0.0,0,-411,91,502,44,False,0,Watford,Newcastle,3,3
0,0,0,0,0.0,373,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,16,0,0,0,0,12,0,17933,1,1,0.0,0,-233,139,372,43,False,0,Watford,Southampton,3,2
0,0,0,0,0.0,373,128,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,12,0,0,0,0,13,0,17847,3,0,0.0,0,-188,139,327,43,True,0,Watford,Liverpool,3,4
0,0,0,0,0.0,373,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,11,0,0,0,0,14,0,17773,0,2,0.0,0,-111,70,181,43,False,0,Watford,Leicester,3,3
0,0,0,0,0.0,373,146,0,0,0.0,0.0,2018-12-04T20:00:00Z,0,13,0,0,0,0,15,0,17692,2,1,0.0,0,-119,74,193,43,True,0,Watford,Man City,3,4
0,0,0,0,0.0,373,156,0,0,0.0,0.0,2018-12-10T20:00:00Z,0,8,0,0,0,0,16,0,17598,2,2,0.0,0,-147,61,208,43,False,0,Watford,Everton,3,3
0,0,0,0,0.0,373,169,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,5,0,0,0,0,17,0,17543,2,3,0.0,0,-139,113,252,43,True,0,Watford,Cardiff,3,2
0,0,0,0,0.0,373,179,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,19,0,0,0,0,18,0,17450,2,0,0.0,0,-146,78,224,43,False,0,Watford,West Ham,3,3
0,0,0,0,0.0,373,190,0,0,0.0,0.0,2018-12-26T19:30:00Z,0,6,0,0,0,0,19,0,17402,2,1,0.0,0,-120,76,196,43,True,0,Watford,Chelsea,3,4
0,0,0,0,0.0,373,200,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,15,0,0,0,0,20,0,17293,1,1,0.0,0,-170,91,261,43,True,0,Watford,Newcastle,3,2
0,0,0,0,0.0,373,202,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,2,0,0,0,0,21,0,17092,3,3,0.0,0,-243,70,313,43,False,0,Watford,Bournemouth,3,3
0,0,0,0,0.0,373,215,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,7,0,0,0,0,22,0,16943,2,1,0.0,0,-233,110,343,43,False,0,Watford,Crystal Palace,3,2
0,0,0,0,0.0,373,229,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,4,0,0,0,0,23,0,16785,0,0,0.0,0,-202,100,302,43,True,0,Watford,Burnley,3,2
0,0,0,0,0.0,373,240,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,17,0,0,0,0,24,0,16694,1,2,0.0,0,-143,71,214,43,False,0,Watford,Spurs,3,4
0,0,0,0,0.0,373,241,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,3,0,0,0,0,25,0,16624,0,0,0.0,0,-86,39,125,43,False,0,Watford,Brighton,3,2
0,0,0,0,0.0,373,259,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,8,0,0,0,0,26,0,16557,0,1,0.0,0,-106,57,163,43,True,0,Watford,Everton,3,2
0,0,0,0,0.0,373,264,0,0,0.0,0.0,2019-02-22T19:45:00Z,0,5,0,0,0,0,27,0,16507,5,1,0.0,0,-119,115,234,43,False,0,Watford,Cardiff,3,2
