assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,3,0,0.0,419,5,1,0,0.0,0.0,2018-08-12T12:30:00Z,28,12,0,0,0,0,1,0,118570,0,4,0.0,1,0,0,0,65,False,0,West Ham,Liverpool,3,5
1,0,15,0,4.0,419,20,2,0,4.8,4.0,2018-08-18T14:00:00Z,66,2,0,0,0,0,2,0,120170,2,1,40.0,5,-12977,4164,17141,65,True,0,West Ham,Bournemouth,3,2
0,0,0,0,1.3,419,21,2,0,1.0,0.2,2018-08-25T14:00:00Z,31,1,0,0,0,0,3,0,117891,1,3,8.0,1,-8490,6330,14820,65,False,0,West Ham,Arsenal,3,4
0,0,6,0,10.0,419,40,1,0,1.2,2.4,2018-09-01T14:00:00Z,15,20,0,0,0,0,4,0,105324,1,0,0.0,1,-15224,3863,19087,64,True,0,West Ham,Wolves,3,3
0,0,0,0,0.0,419,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,8,0,0,0,0,5,0,90038,3,1,0.0,0,-17315,2031,19346,64,False,0,West Ham,Everton,3,3
0,0,0,0,0.0,419,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,6,0,0,0,0,6,0,76267,0,0,0.0,0,-14255,185,14440,63,True,0,West Ham,Chelsea,3,4
0,0,0,0,0.0,419,69,0,0,0.0,0.0,2018-09-29T11:30:00Z,0,14,0,0,0,0,7,0,68379,1,3,0.0,0,-8307,105,8412,63,True,0,West Ham,Man Utd,3,4
0,0,0,0,0.0,419,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,0,3,0,0,0,0,8,0,64130,0,1,0.0,0,-4486,72,4558,62,False,0,West Ham,Brighton,3,2
0,0,3,0,4.7,419,89,0,0,0.5,0.6,2018-10-20T14:00:00Z,33,17,0,0,0,0,9,0,60924,1,0,0.0,1,-3533,256,3789,62,True,0,West Ham,Spurs,3,4
0,0,4,1,0.7,419,95,0,0,0.8,5.4,2018-10-27T16:30:00Z,60,11,0,0,0,0,10,0,60745,1,1,2.0,2,-515,696,1211,62,False,0,West Ham,Leicester,3,3
0,1,27,0,10.5,419,109,1,1,8.1,35.6,2018-11-03T15:00:00Z,29,4,0,0,0,0,11,0,61769,2,4,35.0,6,617,2150,1533,62,True,0,West Ham,Burnley,3,2
0,0,-6,0,1.4,419,115,0,0,4.9,3.4,2018-11-10T15:00:00Z,45,10,0,0,0,0,12,0,63482,1,1,44.0,1,1322,2749,1427,62,False,0,West Ham,Huddersfield,3,2
0,0,10,0,15.8,419,129,1,0,2.3,5.4,2018-11-24T15:00:00Z,35,13,0,0,0,0,13,0,62767,4,0,2.0,1,-1059,1116,2175,62,True,0,West Ham,Man City,3,4
0,3,49,1,6.3,419,139,0,2,11.4,65.2,2018-12-01T15:00:00Z,90,15,0,0,0,0,14,0,62668,3,0,42.0,13,-328,805,1133,62,False,0,West Ham,Newcastle,3,3
0,0,5,1,3.8,419,147,0,0,0.2,0.0,2018-12-04T19:45:00Z,63,5,0,0,0,0,15,0,116574,1,3,0.0,2,49681,52048,2367,62,True,0,West Ham,Cardiff,3,2
1,0,34,0,2.0,419,160,1,1,9.3,35.4,2018-12-08T15:00:00Z,74,7,0,0,0,0,16,0,201627,2,3,56.0,9,83433,94953,11520,63,True,0,West Ham,Crystal Palace,3,2
1,0,18,1,15.3,419,163,0,0,4.4,18.2,2018-12-15T17:30:00Z,72,9,0,0,0,0,17,0,441052,2,0,10.0,5,228798,237946,9148,64,False,0,West Ham,Fulham,3,2
0,0,0,0,0.6,419,179,1,0,6.3,6.8,2018-12-22T15:00:00Z,74,18,0,0,0,0,18,0,469043,2,0,56.0,2,34714,59659,24945,65,True,0,West Ham,Watford,3,3
0,0,0,0,0.0,419,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,16,0,0,0,0,19,0,342014,2,1,0.0,0,-123011,13407,136418,64,False,0,West Ham,Southampton,3,2
0,0,0,0,0.0,419,192,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,4,0,0,0,0,20,0,245563,0,2,0.0,0,-97656,2776,100432,63,False,0,West Ham,Burnley,3,3
0,0,0,0,0.0,419,209,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,3,0,0,0,0,21,0,166277,2,2,0.0,0,-82027,519,82546,62,True,0,West Ham,Brighton,3,2
0,0,0,0,0.0,419,220,0,0,0.0,0.0,2019-01-12T12:30:00Z,0,1,0,0,0,0,22,0,108767,0,1,0.0,0,-58647,267,58914,61,True,0,West Ham,Arsenal,3,4
0,0,3,0,3.6,419,222,1,0,1.8,3.2,2019-01-19T15:00:00Z,24,2,0,0,0,0,23,0,93102,0,2,11.0,1,-16271,629,16900,61,False,0,West Ham,Bournemouth,3,3
0,0,1,0,0.0,419,236,2,0,0.7,5.0,2019-01-29T19:45:00Z,13,20,0,0,0,0,24,0,90247,0,3,2.0,1,-3479,1755,5234,61,False,0,West Ham,Wolves,3,3
0,0,-2,0,1.9,419,250,1,0,3.3,0.0,2019-02-04T20:00:00Z,78,12,0,0,0,0,25,0,87055,1,1,35.0,1,-3172,716,3888,61,True,1,West Ham,Liverpool,3,4
0,0,2,1,2.4,419,252,0,0,3.6,2.6,2019-02-09T15:00:00Z,67,7,0,0,0,0,26,0,87204,1,1,31.0,2,-488,2969,3457,61,False,0,West Ham,Crystal Palace,3,2
0,3,30,0,7.8,419,270,1,1,9.9,32.2,2019-02-22T19:45:00Z,63,9,0,0,0,0,27,0,89263,1,3,59.0,9,1062,3804,2742,61,True,0,West Ham,Fulham,3,2
0,0,0,0,0.0,419,278,0,0,0.0,0.0,2019-02-27T20:00:00Z,0,13,0,0,0,0,28,0,89889,0,1,0.0,0,880,2763,1883,61,False,0,West Ham,Man City,3,5
1,0,9,1,1.6,419,289,0,0,5.4,0.0,2019-03-02T17:30:00Z,69,15,0,0,0,0,29,0,94272,0,2,53.0,5,4153,6399,2246,61,True,0,West Ham,Newcastle,3,2
0,0,0,0,3.4,419,292,2,0,0.4,1.0,2019-03-09T15:00:00Z,90,5,0,0,0,0,30,0,108099,0,2,0.0,1,13322,16005,2683,61,False,1,West Ham,Cardiff,3,2
0,3,53,0,2.5,419,309,1,2,10.5,66.8,2019-03-16T15:00:00Z,45,10,0,0,0,0,31,0,149754,3,4,36.0,12,15174,19575,4401,61,True,0,West Ham,Huddersfield,3,2
0,0,1,0,0.1,419,320,0,0,0.3,3.2,2019-03-30T17:30:00Z,45,8,0,0,0,0,32,0,116662,2,0,0.0,1,-4925,10842,15767,61,True,0,West Ham,Everton,3,2
0,0,5,0,0.2,419,322,1,0,0.1,1.0,2019-04-08T19:00:00Z,45,6,0,0,0,0,33,0,114833,0,2,0.0,1,-4463,2923,7386,61,False,0,West Ham,Chelsea,3,4
0,0,6,0,12.1,419,337,1,0,2.2,3.4,2019-04-13T16:30:00Z,72,14,0,0,0,0,34,0,105790,1,2,6.0,2,-9215,896,10111,61,False,0,West Ham,Man Utd,3,4
0,0,0,0,0.0,419,349,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,11,0,0,0,0,35,0,98106,2,2,0.0,0,-7569,1178,8747,61,True,0,West Ham,Leicester,3,3
0,0,0,0,0.0,419,359,0,0,0.0,0.0,2019-04-27T11:30:00Z,0,17,0,0,0,0,36,0,93401,1,0,0.0,0,-5031,73,5104,61,False,0,West Ham,Spurs,3,4
0,0,0,0,0.0,419,369,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,16,0,0,0,0,37,0,94074,0,3,0.0,0,371,2495,2124,61,True,0,West Ham,Southampton,3,2
0,0,0,0,0.0,419,380,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,18,0,0,0,0,38,0,91700,4,1,0.0,0,-2237,505,2742,61,False,0,West Ham,Watford,3,3
