assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,12,0,15.9,98,2,2,0,4.0,16.4,2018-08-11T14:00:00Z,90,2,0,0,0,0,1,0,17494,0,2,8.0,2,0,0,0,50,False,0,Cardiff,Bournemouth,2,3
0,0,20,1,54.0,98,13,0,0,9.5,33.4,2018-08-18T11:30:00Z,90,15,0,0,0,0,2,0,16072,0,0,8.0,3,-1789,558,2347,50,True,0,Cardiff,Newcastle,2,2
0,0,18,1,17.2,98,24,0,0,4.8,12.6,2018-08-25T14:00:00Z,90,10,0,0,0,0,3,0,14013,0,0,18.0,3,-2390,977,3367,49,False,0,Cardiff,Huddersfield,2,2
0,0,7,0,3.5,98,33,3,0,1.9,7.6,2018-09-02T12:30:00Z,90,1,0,0,0,0,4,0,16171,3,2,8.0,2,1105,4254,3149,49,True,0,Cardiff,Arsenal,2,4
0,0,13,0,15.1,98,42,4,0,3.2,16.0,2018-09-15T14:00:00Z,90,6,0,0,0,0,5,0,14574,1,4,1.0,2,-1757,1379,3136,49,False,0,Cardiff,Chelsea,2,4
0,0,0,0,1.3,98,54,5,0,1.2,10.8,2018-09-22T14:00:00Z,90,13,0,0,0,0,6,0,12993,5,0,0.0,1,-1710,586,2296,49,True,1,Cardiff,Man City,2,4
0,0,14,0,22.7,98,63,2,0,5.3,12.4,2018-09-30T15:00:00Z,78,4,0,0,0,0,7,0,11893,2,1,18.0,2,-1142,216,1358,49,True,0,Cardiff,Burnley,2,2
0,0,-3,0,2.8,98,79,1,0,0.1,0.0,2018-10-06T14:00:00Z,57,17,0,0,0,1,8,0,11013,0,1,0.0,-2,-887,124,1011,48,False,0,Cardiff,Spurs,2,4
0,0,0,0,0.0,98,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,9,0,0,0,0,9,0,8333,2,4,0.0,0,-2665,36,2701,48,True,0,Cardiff,Fulham,2,2
0,0,0,0,0.0,98,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,12,0,0,0,0,10,0,7294,1,4,0.0,0,-1104,16,1120,47,False,0,Cardiff,Liverpool,2,5
0,0,0,0,0.0,98,103,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,11,0,0,0,0,11,0,6400,1,0,0.0,0,-906,28,934,47,True,0,Cardiff,Leicester,2,3
0,0,7,0,6.1,98,112,1,0,2.4,5.6,2018-11-10T12:30:00Z,75,3,0,0,0,0,12,0,6196,1,2,12.0,2,-245,53,298,47,True,0,Cardiff,Brighton,2,2
0,0,13,0,24.4,98,124,1,0,3.1,6.4,2018-11-24T15:00:00Z,90,8,0,0,0,0,13,0,5967,0,1,0.0,2,-244,39,283,47,False,0,Cardiff,Everton,2,3
0,0,15,0,33.9,98,132,1,0,6.8,11.8,2018-11-30T20:00:00Z,90,20,0,0,0,0,14,0,5927,1,2,22.0,2,-55,55,110,47,True,0,Cardiff,Wolves,2,3
0,0,-6,0,1.9,98,147,3,0,3.1,9.0,2018-12-04T19:45:00Z,63,19,0,1,0,0,15,0,5825,1,3,20.0,-1,-109,68,177,47,False,1,Cardiff,West Ham,2,3
0,0,3,0,0.0,98,154,0,0,0.0,0.0,2018-12-08T15:00:00Z,1,16,0,0,0,0,16,0,5737,0,1,0.0,1,-134,99,233,47,True,0,Cardiff,Southampton,2,2
0,0,0,0,0.0,98,169,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,18,0,0,0,0,17,0,5651,2,3,0.0,0,-189,63,252,47,False,0,Cardiff,Watford,2,3
0,0,2,0,0.2,98,173,1,0,0.3,3.2,2018-12-22T17:30:00Z,7,14,0,0,0,0,18,0,5541,5,1,0.0,1,-175,52,227,47,True,0,Cardiff,Man Utd,2,4
0,0,12,1,6.4,98,183,0,0,3.3,19.4,2018-12-26T15:00:00Z,90,7,0,0,0,0,19,0,5421,0,0,7.0,3,-136,59,195,47,False,0,Cardiff,Crystal Palace,2,2
0,0,0,0,0.0,98,195,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,11,0,0,0,0,20,0,5403,1,0,0.0,0,-52,147,199,47,False,0,Cardiff,Leicester,2,3
0,0,2,0,1.0,98,203,0,0,0.4,3.0,2019-01-01T17:30:00Z,31,17,0,0,0,0,21,0,5300,3,0,0.0,1,-113,46,159,46,True,0,Cardiff,Spurs,2,4
0,0,2,0,0.5,98,213,0,0,0.1,0.2,2019-01-12T15:00:00Z,26,10,0,0,0,0,22,0,5192,0,0,0.0,1,-121,67,188,46,True,0,Cardiff,Huddersfield,2,2
0,0,11,0,16.8,98,227,3,0,2.5,8.4,2019-01-19T15:00:00Z,90,15,0,0,0,0,23,0,5067,0,3,0.0,2,-126,29,155,46,False,0,Cardiff,Newcastle,2,3
0,0,10,0,73.8,98,231,2,0,10.9,14.6,2019-01-29T19:45:00Z,90,1,0,0,0,0,24,0,5027,1,2,21.0,1,-57,33,90,46,False,1,Cardiff,Arsenal,2,4
0,0,7,1,25.3,98,243,0,0,3.3,6.0,2019-02-02T17:30:00Z,90,2,0,0,0,0,25,0,5018,0,2,2.0,3,-9,56,65,46,True,0,Cardiff,Bournemouth,2,2
0,0,7,0,20.4,98,257,1,0,3.1,8.6,2019-02-09T15:00:00Z,90,16,0,0,0,0,26,0,5065,2,1,2.0,2,31,100,69,46,False,0,Cardiff,Southampton,2,2
0,0,14,0,50.6,98,264,3,0,7.6,17.0,2019-02-22T19:45:00Z,66,18,0,0,0,0,27,0,5067,5,1,8.0,2,-7,83,90,46,True,0,Cardiff,Watford,2,3
