assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,558,144,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,9,0,0,0,0,15,0,0,1,1,0.0,0,0,0,0,40,False,0,Leicester,Fulham,3,2
0,0,0,0,0.0,558,157,0,0,0.0,0.0,2018-12-08T19:45:00Z,0,17,0,0,0,0,16,0,147,2,0,0.0,0,91,103,12,40,True,0,Leicester,Spurs,3,4
0,0,0,0,0.0,558,162,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,7,0,0,0,0,17,0,387,0,1,0.0,0,138,186,48,40,False,0,Leicester,Crystal Palace,3,2
0,0,0,0,0.0,558,174,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,6,0,0,0,0,18,0,476,1,0,0.0,0,43,114,71,40,False,0,Leicester,Chelsea,3,4
0,0,0,0,0.0,558,185,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,13,0,0,0,0,19,0,624,1,2,0.0,0,57,123,66,40,True,0,Leicester,Man City,3,4
0,0,0,0,0.0,558,195,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,5,0,0,0,0,20,0,765,1,0,0.0,0,78,131,53,40,True,0,Leicester,Cardiff,3,2
0,0,0,0,0.0,558,205,0,0,0.0,0.0,2019-01-01T12:30:00Z,0,8,0,0,0,0,21,0,889,1,0,0.0,0,57,132,75,40,False,0,Leicester,Everton,3,3
0,0,0,0,0.0,558,217,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,16,0,0,0,0,22,0,1046,2,1,0.0,0,45,164,119,40,True,0,Leicester,Southampton,3,2
0,0,0,0,0.0,558,230,0,0,0.0,0.0,2019-01-19T12:30:00Z,0,20,0,0,0,0,23,0,1129,3,4,0.0,0,24,128,104,40,False,0,Leicester,Wolves,3,3
0,0,0,0,0.0,558,237,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,12,0,0,0,0,24,0,1279,1,1,0.0,0,65,154,89,40,False,0,Leicester,Liverpool,3,5
0,0,0,0,0.0,558,247,0,0,0.0,0.0,2019-02-03T14:05:00Z,0,14,0,0,0,0,25,0,1276,1,0,0.0,0,-35,72,107,40,True,0,Leicester,Man Utd,3,4
0,0,0,0,0.0,558,258,0,0,0.0,0.0,2019-02-10T13:30:00Z,0,17,0,0,0,0,26,0,1101,1,3,0.0,0,-158,9,167,40,False,0,Leicester,Spurs,3,4
0,0,0,0,0.0,558,267,0,0,0.0,0.0,2019-02-23T17:30:00Z,0,7,0,0,0,0,27,0,1008,4,1,0.0,0,-101,7,108,40,True,0,Leicester,Crystal Palace,3,2
0,0,0,0,0.0,558,275,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,3,0,0,0,0,28,0,990,1,2,0.0,0,-24,4,28,40,True,0,Leicester,Brighton,3,2
0,0,0,0,0.0,558,288,0,0,0.0,0.0,2019-03-03T12:00:00Z,0,18,0,0,0,0,29,0,963,1,2,0.0,0,-25,6,31,40,False,0,Leicester,Watford,3,3
0,0,0,0,0.0,558,296,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,9,0,0,0,0,30,0,938,1,3,0.0,0,-29,1,30,40,True,0,Leicester,Fulham,3,2
0,0,0,0,0.0,558,303,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,4,0,0,0,0,31,0,978,2,1,0.0,0,-8,9,17,40,False,0,Leicester,Burnley,3,3
0,0,0,0,0.0,558,317,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,2,0,0,0,0,32,0,916,0,2,0.0,0,-13,6,19,40,True,0,Leicester,Bournemouth,3,2
0,0,0,0,0.0,558,324,0,0,0.0,0.0,2019-04-06T14:00:00Z,0,10,0,0,0,0,33,0,911,4,1,0.0,0,-7,5,12,40,False,0,Leicester,Huddersfield,3,2
0,0,0,0,0.0,558,335,0,0,0.0,0.0,2019-04-12T19:00:00Z,0,15,0,0,0,0,34,0,902,1,0,0.0,0,-11,5,16,40,True,0,Leicester,Newcastle,3,2
0,0,0,0,0.0,558,349,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,19,0,0,0,0,35,0,895,2,2,0.0,0,-8,9,17,40,False,0,Leicester,West Ham,3,3
0,0,0,0,0.0,558,355,0,0,0.0,0.0,2019-04-28T11:00:00Z,0,1,0,0,0,0,36,0,888,0,3,0.0,0,-10,4,14,40,True,0,Leicester,Arsenal,3,4
0,0,0,0,0.0,558,367,0,0,0.0,0.0,2019-05-06T19:00:00Z,0,13,0,0,0,0,37,0,887,0,1,0.0,0,-1,10,11,40,False,0,Leicester,Man City,3,5
0,0,0,0,0.0,558,375,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,6,0,0,0,0,38,0,882,0,0,0.0,0,-12,7,19,40,True,0,Leicester,Chelsea,3,4
