assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,342,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,4,0,0,0,0,1,0,4891,0,0,0.0,0,0,0,0,45,True,0,Southampton,Burnley,2,2
0,0,0,0,0.0,342,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,8,0,0,0,0,2,0,4953,1,2,0.0,0,-446,137,583,45,False,0,Southampton,Everton,2,3
0,0,0,0,0.0,342,28,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,11,0,0,0,0,3,0,4051,2,1,0.0,0,-955,107,1062,45,True,0,Southampton,Leicester,2,3
0,0,0,0,0.0,342,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,7,0,0,0,0,4,0,3383,2,0,0.0,0,-700,9,709,45,False,0,Southampton,Crystal Palace,2,2
0,0,0,0,0.0,342,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,3,0,0,0,0,5,0,2995,2,2,0.0,0,-406,15,421,45,True,0,Southampton,Brighton,2,2
0,0,0,0,0.0,342,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,2766,0,3,0.0,0,-241,8,249,45,False,0,Southampton,Liverpool,2,5
0,0,0,0,0.0,342,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,20,0,0,0,0,7,0,2629,0,2,0.0,0,-147,2,149,45,False,0,Southampton,Wolves,2,3
0,0,0,0,0.0,342,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,2523,3,0,0.0,0,-111,1,112,45,True,0,Southampton,Chelsea,2,4
0,0,0,0,0.0,342,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,2,0,0,0,0,9,0,2406,0,0,0.0,0,-115,6,121,45,False,0,Southampton,Bournemouth,2,3
0,0,0,0,0.0,342,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,15,0,0,0,0,10,0,2341,0,0,0.0,0,-68,5,73,45,True,0,Southampton,Newcastle,2,2
0,0,0,0,0.0,342,107,0,0,0.0,0.0,2018-11-04T15:00:00Z,0,13,0,0,0,0,11,0,2267,1,6,0.0,0,-73,2,75,45,False,0,Southampton,Man City,2,5
0,0,0,0,0.0,342,120,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,18,0,0,0,0,12,0,2234,1,1,0.0,0,-39,4,43,45,True,0,Southampton,Watford,2,3
0,0,0,0,0.0,342,125,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,9,0,0,0,0,13,0,2188,2,3,0.0,0,-45,4,49,45,False,0,Southampton,Fulham,2,2
0,0,0,0,0.0,342,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,14,0,0,0,0,14,0,2166,2,2,0.0,0,-26,3,29,45,True,0,Southampton,Man Utd,2,4
0,0,0,0,0.0,342,150,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,17,0,0,0,0,15,0,2138,1,3,0.0,0,-28,0,28,45,False,0,Southampton,Spurs,2,4
0,0,0,0,0.0,342,154,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,5,0,0,0,0,16,0,2104,0,1,0.0,0,-34,0,34,45,False,0,Southampton,Cardiff,2,2
0,0,0,0,0.0,342,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,1,0,0,0,0,17,0,2078,2,3,0.0,0,-30,0,30,45,True,0,Southampton,Arsenal,2,4
0,0,0,0,0.0,342,176,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,10,0,0,0,0,18,0,2045,3,1,0.0,0,-32,4,36,45,False,0,Southampton,Huddersfield,2,2
0,0,0,0,0.0,342,188,0,0,0.0,0.0,2018-12-27T19:45:00Z,0,19,0,0,0,0,19,0,2023,2,1,0.0,0,-27,4,31,45,True,0,Southampton,West Ham,2,3
0,0,0,0,0.0,342,198,0,0,0.0,0.0,2018-12-30T14:15:00Z,0,13,0,0,0,0,20,0,1990,3,1,0.0,0,-30,0,30,45,True,0,Southampton,Man City,2,4
0,0,0,0,0.0,342,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,6,0,0,0,0,21,0,1974,0,0,0.0,0,-18,4,22,45,False,0,Southampton,Chelsea,2,4
0,0,0,0,0.0,342,217,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,11,0,0,0,0,22,0,1947,2,1,0.0,0,-29,3,32,45,False,0,Southampton,Leicester,2,3
0,0,0,0,0.0,342,228,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,8,0,0,0,0,23,0,2013,1,2,0.0,0,47,97,50,44,True,0,Southampton,Everton,2,2
0,0,0,0,0.0,342,239,0,0,0.0,0.0,2019-01-30T19:45:00Z,0,7,0,0,0,0,24,0,2069,1,1,0.0,0,37,86,49,44,True,0,Southampton,Crystal Palace,2,2
0,0,0,0,0.0,342,242,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,4,0,0,0,0,25,0,2131,1,1,0.0,0,30,59,29,44,False,0,Southampton,Burnley,2,3
0,0,0,0,0.0,342,257,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,5,0,0,0,0,26,0,2224,2,1,0.0,0,87,136,49,44,True,0,Southampton,Cardiff,2,2
0,0,0,0,0.0,342,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,2387,0,2,0.0,0,61,132,71,44,False,0,Southampton,Arsenal,2,4
0,0,0,0,0.0,342,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,2372,0,2,0.0,0,29,65,36,44,True,0,Southampton,Fulham,2,2
0,0,0,0,0.0,342,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,2400,2,3,0.0,0,18,65,47,44,False,0,Southampton,Man Utd,2,4
0,0,6,0,2.6,342,300,0,0,3.5,5.4,2019-03-09T15:00:00Z,45,17,0,0,0,0,30,0,2432,1,2,27.0,1,12,65,53,44,True,0,Southampton,Spurs,2,4
0,0,3,0,1.1,342,312,0,0,0.3,2.0,2019-03-30T15:00:00Z,1,3,0,0,0,0,32,0,2467,1,0,0.0,1,3,49,46,44,False,0,Southampton,Brighton,2,2
0,0,0,0,0.5,342,327,2,0,0.3,0.2,2019-04-05T19:00:00Z,28,12,0,0,0,0,33,0,2439,3,1,2.0,1,-3,26,29,44,True,0,Southampton,Liverpool,2,4
1,0,14,0,13.9,342,338,1,0,3.5,14.2,2019-04-13T14:00:00Z,60,20,0,0,0,0,34,0,2438,1,3,7.0,5,-3,39,42,44,True,0,Southampton,Wolves,2,3
0,0,1,0,0.4,342,348,2,0,2.0,0.0,2019-04-20T16:30:00Z,45,15,0,0,0,0,35,0,2891,1,3,20.0,1,374,449,75,44,False,0,Southampton,Newcastle,2,3
0,0,0,0,0.0,342,308,1,0,0.0,0.0,2019-04-23T18:45:00Z,23,18,0,0,0,0,35,0,2891,1,1,0.0,1,374,449,75,44,False,0,Southampton,Watford,2,3
0,0,0,0,0.0,342,358,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,2,0,0,0,0,36,0,2798,3,3,0.0,0,-30,60,90,44,True,0,Southampton,Bournemouth,2,2
0,0,0,0,0.0,342,369,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,19,0,0,0,0,37,0,2737,0,3,0.0,0,-65,22,87,44,False,0,Southampton,West Ham,2,3
0,0,3,0,0.0,342,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,6,10,0,0,0,0,38,0,2717,1,1,0.0,1,-19,51,70,44,True,0,Southampton,Huddersfield,2,2
