assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,65,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,18,0,0,0,0,1,0,5404,0,2,0.0,0,0,0,0,55,False,0,Brighton,Watford,2,3
0,0,3,0,0.0,65,11,1,0,0.0,0.0,2018-08-19T15:00:00Z,1,14,0,0,0,0,2,0,6710,2,3,0.0,1,-615,379,994,55,True,0,Brighton,Man Utd,2,4
0,0,3,0,0.2,65,25,0,0,0.1,0.4,2018-08-25T16:30:00Z,15,12,0,0,0,0,3,0,6677,0,1,0.0,1,-615,439,1054,55,False,0,Brighton,Liverpool,2,5
0,0,1,0,1.6,65,31,0,0,2.2,3.0,2018-09-01T14:00:00Z,16,9,0,0,0,0,4,0,6613,2,2,17.0,1,-402,366,768,54,True,0,Brighton,Fulham,2,2
0,0,-3,0,10.3,65,47,0,0,4.8,3.0,2018-09-17T19:00:00Z,14,16,0,0,0,0,5,0,6372,2,2,35.0,0,-415,263,678,54,False,1,Brighton,Southampton,2,2
0,0,2,0,1.3,65,52,0,0,0.6,0.2,2018-09-22T16:30:00Z,11,17,0,0,0,0,6,0,6236,2,1,4.0,1,-248,155,403,54,True,0,Brighton,Spurs,2,4
0,0,1,0,0.6,65,67,2,0,0.0,0.0,2018-09-29T14:00:00Z,72,13,0,0,0,0,7,0,6075,0,2,4.0,2,-252,89,341,54,False,0,Brighton,Man City,2,5
0,0,2,0,0.1,65,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,4,19,0,0,0,0,8,0,6142,0,1,0.0,1,-28,196,224,54,True,0,Brighton,West Ham,2,3
0,0,8,1,23.5,65,88,0,0,4.8,2.4,2018-10-20T14:00:00Z,74,15,0,0,0,0,9,0,6083,1,0,22.0,2,-166,138,304,53,False,0,Brighton,Newcastle,2,3
0,0,0,0,0.0,65,91,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,20,0,0,0,0,10,0,6386,0,1,0.0,0,207,439,232,53,True,0,Brighton,Wolves,2,3
0,0,0,0,0.0,65,105,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,8,0,0,0,0,11,0,6198,1,3,0.0,0,-213,137,350,53,False,0,Brighton,Everton,2,3
0,0,0,0,0.0,65,112,0,0,0.0,0.0,2018-11-10T12:30:00Z,0,5,0,0,0,0,12,0,6109,1,2,0.0,0,-136,126,262,53,False,0,Brighton,Cardiff,2,2
