assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,10.8,210,4,1,0,1.8,0.0,2018-08-11T14:00:00Z,45,6,0,0,0,0,1,0,67727,3,0,8.0,1,0,0,0,55,True,0,Huddersfield,Chelsea,2,4
0,0,3,0,0.8,210,18,3,0,0.3,2.4,2018-08-19T12:30:00Z,45,13,0,0,0,0,2,0,59774,1,6,0.0,1,-8248,460,8708,55,False,0,Huddersfield,Man City,2,5
0,0,3,0,0.0,210,24,0,0,0.0,0.0,2018-08-25T14:00:00Z,10,5,0,0,0,0,3,0,51129,0,0,0.0,1,-9156,932,10088,54,True,0,Huddersfield,Cardiff,2,2
0,0,3,0,0.0,210,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,1,8,0,0,0,0,4,0,43408,1,1,0.0,1,-8090,429,8519,54,False,0,Huddersfield,Everton,2,3
0,0,2,0,11.6,210,44,0,0,1.5,1.6,2018-09-15T14:00:00Z,12,7,0,0,0,0,5,0,37816,1,0,2.0,1,-5943,582,6525,53,True,0,Huddersfield,Crystal Palace,2,2
1,0,9,0,13.2,210,57,3,0,6.8,22.2,2018-09-22T14:00:00Z,90,11,0,0,0,0,6,0,34022,1,3,33.0,5,-3923,362,4285,53,False,0,Huddersfield,Leicester,2,3
0,0,6,0,12.2,210,66,2,0,2.5,2.8,2018-09-29T14:00:00Z,90,17,0,0,0,0,7,0,33025,2,0,10.0,2,-1258,1169,2427,53,True,0,Huddersfield,Spurs,2,4
0,0,-5,0,11.5,210,72,1,0,3.8,0.0,2018-10-06T14:00:00Z,58,4,0,0,0,0,8,0,32408,1,1,28.0,0,-836,1362,2198,52,False,1,Huddersfield,Burnley,2,3
0,0,4,0,2.8,210,86,1,0,7.9,6.8,2018-10-20T16:30:00Z,90,12,0,0,0,0,9,0,29973,1,0,69.0,2,-2470,915,3385,52,True,0,Huddersfield,Liverpool,2,4
0,0,1,0,11.0,210,100,2,0,2.4,1.0,2018-10-27T14:00:00Z,62,18,0,0,0,0,10,0,30056,0,3,12.0,2,-119,1501,1620,52,False,0,Huddersfield,Watford,2,3
0,0,-2,0,4.3,210,106,0,0,0.5,0.2,2018-11-05T20:00:00Z,34,9,0,0,0,0,11,0,32636,0,1,0.0,1,2277,4341,2064,52,True,0,Huddersfield,Fulham,2,2
0,0,2,0,0.0,210,115,0,0,0.4,0.0,2018-11-10T15:00:00Z,1,19,0,0,0,0,12,0,30227,1,1,6.0,1,-2171,618,2789,52,True,0,Huddersfield,West Ham,2,3
0,0,0,0,0.0,210,130,0,0,0.0,0.0,2018-11-25T16:00:00Z,0,20,0,0,0,0,13,0,28573,2,0,0.0,0,-1735,619,2354,52,False,0,Huddersfield,Wolves,2,3
0,0,-1,0,0.0,210,135,1,0,0.0,0.0,2018-12-01T15:00:00Z,41,3,0,0,0,0,14,0,27406,2,1,0.0,1,-1242,370,1612,51,True,0,Huddersfield,Brighton,2,2
0,0,-2,0,5.2,210,141,2,0,5.6,0.0,2018-12-04T19:45:00Z,90,2,0,0,0,0,15,0,27109,1,2,53.0,2,-369,875,1244,51,False,0,Huddersfield,Bournemouth,2,3
0,0,-2,0,2.4,210,151,1,0,2.8,0.0,2018-12-08T15:00:00Z,90,1,0,0,0,0,16,0,26570,0,1,26.0,2,-551,661,1212,51,False,0,Huddersfield,Arsenal,2,4
0,0,2,0,12.0,210,164,1,0,6.8,1.2,2018-12-15T15:00:00Z,90,15,0,0,0,0,17,0,29928,1,0,55.0,2,2867,4171,1304,51,True,0,Huddersfield,Newcastle,2,2
0,0,0,0,0.0,210,176,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,16,0,0,0,0,18,0,29367,3,1,0.0,0,-399,1451,1850,51,True,0,Huddersfield,Southampton,2,2
0,0,0,0,10.6,210,187,2,0,3.9,1.2,2018-12-26T15:00:00Z,72,14,0,0,0,0,19,0,27770,1,3,27.0,2,-1603,745,2348,51,False,0,Huddersfield,Man Utd,2,4
0,0,-1,0,0.6,210,194,1,0,0.9,0.0,2018-12-29T15:00:00Z,25,9,0,0,0,0,20,0,29252,0,1,10.0,1,1079,2512,1433,51,False,0,Huddersfield,Fulham,2,2
0,0,3,0,0.0,210,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,7,4,0,0,0,0,21,0,29228,2,1,0.0,1,27,1908,1881,51,True,0,Huddersfield,Burnley,2,2
0,0,3,0,0.3,210,213,0,0,2.0,3.0,2019-01-12T15:00:00Z,3,5,0,0,0,0,22,0,28655,0,0,17.0,1,-740,1963,2703,51,False,0,Huddersfield,Cardiff,2,2
0,0,0,0,0.0,210,224,0,0,0.0,0.0,2019-01-20T13:30:00Z,0,13,0,0,0,0,23,0,27434,3,0,0.0,0,-1276,1044,2320,51,True,0,Huddersfield,Man City,2,4
0,0,3,0,0.5,210,234,0,0,0.1,0.0,2019-01-29T19:45:00Z,3,8,0,0,0,0,24,0,26880,1,0,0.0,1,-671,839,1510,51,True,0,Huddersfield,Everton,2,2
0,0,0,0,0.0,210,244,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,6,0,0,0,0,25,0,26347,0,5,0.0,0,-564,525,1089,51,False,0,Huddersfield,Chelsea,2,4
0,0,2,0,11.5,210,254,0,0,1.9,0.0,2019-02-09T15:00:00Z,24,1,0,0,0,0,26,0,25743,2,1,8.0,1,-657,648,1305,51,True,0,Huddersfield,Arsenal,2,4
0,0,7,0,3.0,210,269,2,0,2.9,9.2,2019-02-23T15:00:00Z,75,15,0,0,0,0,27,0,25613,0,2,17.0,2,-174,896,1070,51,False,0,Huddersfield,Newcastle,2,3
0,0,0,0,0.0,210,274,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,20,0,0,0,0,28,0,26232,0,1,0.0,0,494,994,500,51,True,0,Huddersfield,Wolves,2,3
0,0,0,0,0.0,210,282,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,3,0,0,0,0,29,0,26175,0,1,0.0,0,-79,661,740,51,False,0,Huddersfield,Brighton,2,2
