assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,322,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,97,2,1,0.0,0,0,0,0,50,True,0,Newcastle,Spurs,3,4
0,0,0,0,0.0,322,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,81,0,0,0.0,0,-25,4,29,50,False,0,Newcastle,Cardiff,2,2
0,0,0,0,0.0,322,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,6,0,0,0,0,3,0,73,2,1,0.0,0,-8,4,12,50,True,0,Newcastle,Chelsea,3,4
0,0,0,0,0.0,322,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,71,1,2,0.0,0,-6,2,8,50,False,0,Newcastle,Man City,2,5
0,0,0,0,0.0,322,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,72,2,1,0.0,0,-1,3,4,50,True,0,Newcastle,Arsenal,3,4
0,0,0,0,0.0,322,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,70,0,0,0.0,0,-2,3,5,50,False,0,Newcastle,Crystal Palace,2,2
0,0,0,0,0.0,322,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,72,2,0,0.0,0,2,3,1,50,True,0,Newcastle,Leicester,3,3
0,0,0,0,0.0,322,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,72,2,3,0.0,0,0,3,3,50,False,0,Newcastle,Man Utd,2,4
0,0,0,0,0.0,322,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,71,1,0,0.0,0,-1,1,2,50,True,0,Newcastle,Brighton,3,2
0,0,0,0,0.0,322,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,16,0,0,0,0,10,0,74,0,0,0.0,0,2,3,1,50,False,0,Newcastle,Southampton,2,2
0,0,0,0,0.0,322,108,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,18,0,0,0,0,11,0,72,0,1,0.0,0,-1,1,2,50,True,0,Newcastle,Watford,3,3
0,0,0,0,0.0,322,119,0,0,0.0,0.0,2018-11-10T15:00:00Z,0,2,0,0,0,0,12,0,74,1,2,0.0,0,1,1,0,50,True,0,Newcastle,Bournemouth,3,2
0,0,0,0,0.0,322,123,0,0,0.0,0.0,2018-11-26T20:30:00Z,0,4,0,0,0,0,13,0,73,2,1,0.0,0,-2,0,2,50,False,0,Newcastle,Burnley,2,3
0,0,0,0,0.0,322,139,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,19,0,0,0,0,14,0,73,3,0,0.0,0,0,2,2,50,True,0,Newcastle,West Ham,3,3
0,0,0,0,0.0,322,149,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,8,0,0,0,0,15,0,72,1,1,0.0,0,-1,0,1,50,False,0,Newcastle,Everton,2,3
0,0,0,0,0.0,322,159,0,0,0.0,0.0,2018-12-09T16:00:00Z,0,20,0,0,0,0,16,0,74,2,1,0.0,0,1,1,0,50,True,0,Newcastle,Wolves,3,3
0,0,0,0,0.0,322,164,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,10,0,0,0,0,17,0,77,1,0,0.0,0,2,3,1,50,False,0,Newcastle,Huddersfield,2,2
0,0,0,0,0.0,322,178,0,0,0.0,0.0,2018-12-22T15:00:00Z,0,9,0,0,0,0,18,0,75,0,0,0.0,0,-2,0,2,50,True,0,Newcastle,Fulham,3,2
0,0,0,0,0.0,322,186,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,12,0,0,0,0,19,0,79,0,4,0.0,0,1,1,0,50,False,0,Newcastle,Liverpool,2,5
0,0,0,0,0.0,322,200,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,18,0,0,0,0,20,0,78,1,1,0.0,0,-1,0,1,50,False,0,Newcastle,Watford,2,3
0,0,0,0,0.0,322,208,0,0,0.0,0.0,2019-01-02T20:00:00Z,0,14,0,0,0,0,21,0,79,2,0,0.0,0,1,1,0,50,True,0,Newcastle,Man Utd,3,4
0,0,0,0,0.0,322,214,0,0,0.0,0.0,2019-01-12T17:30:00Z,0,6,0,0,0,0,22,0,78,1,2,0.0,0,-1,2,3,50,False,0,Newcastle,Chelsea,2,4
0,0,0,0,0.0,322,227,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,5,0,0,0,0,23,0,78,0,3,0.0,0,0,1,1,50,True,0,Newcastle,Cardiff,3,2
0,0,0,0,0.0,322,238,0,0,0.0,0.0,2019-01-29T20:00:00Z,0,13,0,0,0,0,24,0,79,1,2,0.0,0,0,1,1,50,True,0,Newcastle,Man City,3,4
0,0,0,0,0.0,322,249,0,0,0.0,0.0,2019-02-02T12:30:00Z,0,17,0,0,0,0,25,0,78,0,1,0.0,0,0,3,3,50,False,0,Newcastle,Spurs,2,4
0,0,0,0,0.0,322,260,0,0,0.0,0.0,2019-02-11T20:00:00Z,0,20,0,0,0,0,26,0,80,1,1,0.0,0,2,6,4,50,False,0,Newcastle,Wolves,2,3
0,0,0,0,0.0,322,269,0,0,0.0,0.0,2019-02-23T15:00:00Z,0,10,0,0,0,0,27,0,79,0,2,0.0,0,-1,5,6,50,True,0,Newcastle,Huddersfield,3,2
0,0,0,0,0.0,322,279,0,0,0.0,0.0,2019-02-26T20:00:00Z,0,4,0,0,0,0,28,0,76,0,2,0.0,0,-3,2,5,50,True,0,Newcastle,Burnley,3,2
0,0,0,0,0.0,322,289,0,0,0.0,0.0,2019-03-02T17:30:00Z,0,19,0,0,0,0,29,0,77,0,2,0.0,0,1,2,1,50,False,0,Newcastle,West Ham,2,3
0,0,0,0,0.0,322,299,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,8,0,0,0,0,30,0,76,2,3,0.0,0,-1,1,2,50,True,0,Newcastle,Everton,3,2
0,0,0,0,0.0,322,301,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,2,0,0,0,0,31,0,79,2,2,0.0,0,1,1,0,50,False,0,Newcastle,Bournemouth,2,3
0,0,0,0,0.0,322,311,0,0,0.0,0.0,2019-04-01T19:00:00Z,0,1,0,0,0,0,32,0,79,0,2,0.0,0,0,2,2,50,False,0,Newcastle,Arsenal,2,4
0,0,0,0,0.0,322,326,0,0,0.0,0.0,2019-04-06T14:00:00Z,0,7,0,0,0,0,33,0,77,1,0,0.0,0,0,0,0,50,True,0,Newcastle,Crystal Palace,3,2
0,0,0,0,0.0,322,335,0,0,0.0,0.0,2019-04-12T19:00:00Z,0,11,0,0,0,0,34,0,78,1,0,0.0,0,-1,0,1,50,False,0,Newcastle,Leicester,2,3
0,0,0,0,0.0,322,348,0,0,0.0,0.0,2019-04-20T16:30:00Z,0,16,0,0,0,0,35,0,78,1,3,0.0,0,1,1,0,50,True,0,Newcastle,Southampton,3,2
0,0,0,0,0.0,322,351,0,0,0.0,0.0,2019-04-27T16:30:00Z,0,3,0,0,0,0,36,0,78,1,1,0.0,0,0,2,2,50,False,0,Newcastle,Brighton,2,2
0,0,0,0,0.0,322,368,0,0,0.0,0.0,2019-05-04T18:45:00Z,0,12,0,0,0,0,37,0,80,3,2,0.0,0,2,2,0,50,True,0,Newcastle,Liverpool,3,4
0,0,0,0,0.0,322,374,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,9,0,0,0,0,38,0,81,4,0,0.0,0,1,3,2,50,False,0,Newcastle,Fulham,2,2
