assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,6,0,58.3,346,8,0,0,9.6,12.0,2018-08-12T12:30:00Z,34,4,0,0,0,0,1,0,23886,0,0,26.0,1,0,0,0,65,True,0,Southampton,Burnley,2,2
0,0,0,0,0.0,346,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,8,0,0,0,0,2,0,18895,1,2,0.0,0,-6071,429,6500,65,False,0,Southampton,Everton,2,3
0,0,9,0,27.5,346,28,1,0,7.0,14.8,2018-08-25T14:00:00Z,78,11,0,0,0,0,3,0,12622,2,1,28.0,2,-6452,80,6532,64,True,0,Southampton,Leicester,2,3
0,0,5,1,29.8,346,35,0,0,6.2,6.0,2018-09-01T14:00:00Z,72,7,0,0,0,0,4,0,11847,2,0,26.0,3,-1166,273,1439,64,False,0,Southampton,Crystal Palace,2,2
0,0,8,0,5.9,346,47,1,0,2.3,2.4,2018-09-17T19:00:00Z,75,3,0,0,0,0,5,0,13026,2,2,15.0,2,705,1939,1234,64,True,0,Southampton,Brighton,2,2
0,0,0,0,0.0,346,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,11670,0,3,0.0,0,-1406,208,1614,64,False,0,Southampton,Liverpool,2,5
0,0,9,1,25.1,346,70,0,0,7.7,18.4,2018-09-29T14:00:00Z,70,20,0,0,0,0,7,0,10384,0,2,33.0,3,-1363,69,1432,63,False,0,Southampton,Wolves,2,3
0,0,0,0,0.0,346,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,10030,3,0,0.0,0,-449,103,552,63,True,0,Southampton,Chelsea,2,4
0,0,8,1,12.9,346,82,0,0,1.7,4.0,2018-10-20T14:00:00Z,90,2,0,0,0,0,9,0,9611,0,0,0.0,3,-534,150,684,63,False,0,Southampton,Bournemouth,2,3
0,0,8,1,27.3,346,98,0,0,6.7,17.6,2018-10-27T14:00:00Z,77,15,0,0,0,0,10,0,9529,0,0,22.0,3,-167,191,358,63,True,0,Southampton,Newcastle,2,2
