assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,14,0,4.4,167,10,2,0,1.6,11.8,2018-08-11T16:30:00Z,90,20,0,0,0,0,1,0,115922,2,2,0.0,2,0,0,0,45,False,0,Everton,Wolves,2,3
1,0,18,0,23.8,167,16,0,0,4.7,21.4,2018-08-18T14:00:00Z,23,16,0,0,0,0,2,0,137872,1,2,2.0,4,3212,15259,12047,45,True,0,Everton,Southampton,3,2
0,0,0,0,0.0,167,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,2,0,0,0,0,3,0,128263,2,2,0.0,0,-11704,22976,34680,45,False,0,Everton,Bournemouth,2,3
0,0,14,0,13.8,167,36,1,0,3.1,17.6,2018-09-01T14:00:00Z,90,10,0,0,0,0,4,0,121415,1,1,0.0,1,-8807,9696,18503,45,True,1,Everton,Huddersfield,3,2
0,0,7,0,12.5,167,43,2,0,1.6,3.0,2018-09-16T15:00:00Z,43,19,0,0,0,0,5,0,121166,3,1,0.0,1,-2159,7771,9930,45,True,0,Everton,West Ham,3,3
0,0,0,0,0.0,167,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,1,0,0,0,0,6,0,113668,0,2,0.0,0,-7655,2035,9690,45,False,0,Everton,Arsenal,2,4
0,0,3,0,0.2,167,65,0,0,0.2,1.6,2018-09-29T14:00:00Z,1,9,0,0,0,0,7,0,105934,0,3,0.0,1,-7947,834,8781,45,True,0,Everton,Fulham,3,2
0,0,3,0,0.1,167,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,1,11,0,0,0,0,8,0,101887,2,1,0.0,1,-4364,834,5198,45,False,0,Everton,Leicester,2,3
0,0,0,0,0.0,167,85,0,0,0.0,0.0,2018-10-21T15:00:00Z,0,7,0,0,0,0,9,0,98995,0,2,0.0,0,-3502,2431,5933,44,True,0,Everton,Crystal Palace,3,2
0,0,0,0,0.0,167,97,0,0,0.0,0.0,2018-10-28T16:00:00Z,0,14,0,0,0,0,10,0,94804,1,2,0.0,0,-4155,867,5022,44,False,0,Everton,Man Utd,2,4
