assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,26,0,0.0,88,2,2,0,3.8,37.8,2018-08-11T14:00:00Z,90,2,0,0,1,0,1,2,12072,0,2,0.0,6,0,0,0,45,False,0,Cardiff,Bournemouth,2,3
0,3,50,1,0.0,88,13,0,0,6.7,67.4,2018-08-18T11:30:00Z,90,15,0,0,1,0,2,6,17141,0,0,0.0,16,1301,2163,862,45,True,0,Cardiff,Newcastle,2,2
0,0,23,1,0.0,88,24,0,0,1.0,10.4,2018-08-25T14:00:00Z,90,10,0,0,0,0,3,1,216003,0,0,0.0,6,138174,155373,17199,45,False,0,Cardiff,Huddersfield,2,2
0,0,23,0,0.0,88,33,3,0,5.8,58.0,2018-09-02T12:30:00Z,90,1,0,0,0,0,4,8,339649,3,2,0.0,3,96061,115691,19630,46,True,0,Cardiff,Arsenal,2,4
0,0,14,0,0.0,88,42,4,0,2.7,27.0,2018-09-15T14:00:00Z,90,6,0,0,0,0,5,3,424594,1,4,0.0,1,63889,88535,24646,46,False,0,Cardiff,Chelsea,2,4
0,0,18,0,0.0,88,54,5,0,3.9,39.0,2018-09-22T14:00:00Z,90,13,0,0,0,0,6,5,451120,5,0,0.0,1,21216,41632,20416,46,True,0,Cardiff,Man City,2,4
0,0,8,0,0.0,88,63,2,0,0.2,2.2,2018-09-30T15:00:00Z,90,4,0,0,0,0,7,0,441576,2,1,0.0,1,-10402,10140,20542,46,True,0,Cardiff,Burnley,2,2
0,0,18,0,0.0,88,79,1,0,3.8,38.0,2018-10-06T14:00:00Z,90,17,0,0,0,0,8,5,415421,0,1,0.0,3,-24740,2734,27474,46,False,0,Cardiff,Spurs,2,4
0,0,12,0,0.0,88,83,2,0,1.5,15.0,2018-10-20T14:00:00Z,90,9,0,0,0,0,9,2,402877,2,4,0.0,1,-14990,4744,19734,46,True,0,Cardiff,Fulham,2,2
0,0,15,0,0.0,88,96,4,0,1.2,12.4,2018-10-27T14:00:00Z,90,12,0,0,0,0,10,2,382393,1,4,0.0,0,-20572,930,21502,46,False,0,Cardiff,Liverpool,2,5
0,0,13,0,0.0,88,103,1,0,2.2,22.0,2018-11-03T15:00:00Z,90,11,0,0,0,0,11,3,360240,1,0,0.0,3,-22989,922,23911,46,True,0,Cardiff,Leicester,2,3
0,0,13,0,0.0,88,112,1,0,1.4,13.8,2018-11-10T12:30:00Z,90,3,0,0,0,0,12,2,355794,1,2,0.0,2,-6383,3506,9889,45,True,0,Cardiff,Brighton,2,2
0,0,18,0,0.0,88,124,1,0,5.0,49.6,2018-11-24T15:00:00Z,90,8,0,0,0,0,13,6,343174,0,1,0.0,3,-11869,809,12678,45,False,1,Cardiff,Everton,2,3
0,0,17,0,0.0,88,132,1,0,2.2,21.8,2018-11-30T20:00:00Z,90,20,0,0,0,0,14,3,340375,1,2,0.0,3,-3997,1376,5373,45,True,0,Cardiff,Wolves,2,3
