assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,24,0,0.0,1,1,2,0,4.7,47.0,2018-08-12T15:00:00Z,90,13,0,0,0,0,1,6,70767,2,0,0.0,3,0,0,0,50,True,0,Arsenal,Man City,4,4
0,0,26,0,0.0,1,14,3,0,5.3,53.0,2018-08-18T16:30:00Z,90,6,0,0,0,0,2,8,90038,2,3,0.0,3,188,6059,5871,50,False,0,Arsenal,Chelsea,4,4
0,0,17,0,0.0,1,21,1,0,2.8,27.8,2018-08-25T14:00:00Z,90,19,0,0,0,0,3,4,107301,1,3,0.0,3,8540,19550,11010,50,True,0,Arsenal,West Ham,4,3
0,0,8,0,0.0,1,33,2,0,0.2,2.4,2018-09-02T12:30:00Z,90,5,0,0,0,0,4,1,123566,3,2,0.0,1,9582,19332,9750,50,False,0,Arsenal,Cardiff,4,2
0,0,13,0,0.0,1,46,1,0,1.4,14.2,2018-09-15T14:00:00Z,90,15,0,0,0,0,5,1,123310,2,1,0.0,2,-3297,8837,12134,50,False,0,Arsenal,Newcastle,4,3
0,3,36,1,0.0,1,51,0,0,4.3,43.4,2018-09-23T15:00:00Z,90,8,0,0,0,0,6,6,124787,0,2,0.0,11,-797,6593,7390,50,True,0,Arsenal,Everton,4,2
0,0,6,0,0.0,1,61,0,0,1.7,17.2,2018-09-29T14:00:00Z,45,18,0,0,0,0,7,1,138891,0,2,0.0,1,9392,13595,4203,50,True,0,Arsenal,Watford,4,3
0,0,0,0,0.0,1,74,0,0,0.0,0.0,2018-10-07T11:00:00Z,0,9,0,0,0,0,8,0,107912,5,1,0.0,0,-28910,924,29834,50,False,0,Arsenal,Fulham,4,2
0,0,0,0,0.0,1,81,0,0,0.0,0.0,2018-10-22T19:00:00Z,0,11,0,0,0,0,9,0,92724,1,3,0.0,0,-16395,336,16731,50,True,0,Arsenal,Leicester,4,3
0,0,0,0,0.0,1,93,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,7,0,0,0,0,10,0,90783,2,2,0.0,0,-2999,1139,4138,50,False,0,Arsenal,Crystal Palace,4,2
0,0,0,0,0.0,1,101,0,0,0.0,0.0,2018-11-03T17:30:00Z,0,12,0,0,0,0,11,0,87892,1,1,0.0,0,-3439,565,4004,50,True,0,Arsenal,Liverpool,4,4
0,0,0,0,0.0,1,111,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,20,0,0,0,0,12,0,85826,1,1,0.0,0,-2784,879,3663,50,True,0,Arsenal,Wolves,4,3
0,0,0,0,0.0,1,121,0,0,0.0,0.0,2018-11-25T13:30:00Z,0,2,0,0,0,0,13,0,83590,2,1,0.0,0,-2721,457,3178,49,False,0,Arsenal,Bournemouth,4,3
0,0,0,0,0.0,1,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,17,0,0,0,0,14,0,82400,2,4,0.0,0,-1529,210,1739,49,True,0,Arsenal,Spurs,4,4
0,0,0,0,0.0,1,145,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,14,0,0,0,0,15,0,81015,2,2,0.0,0,-1607,188,1795,49,False,0,Arsenal,Man Utd,4,4
0,0,0,0,0.0,1,151,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,10,0,0,0,0,16,0,80100,0,1,0.0,0,-1317,604,1921,49,True,0,Arsenal,Huddersfield,4,2
0,0,0,0,0.0,1,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,16,0,0,0,0,17,0,78349,2,3,0.0,0,-2094,299,2393,49,False,0,Arsenal,Southampton,4,2
0,0,0,0,0.0,1,171,0,0,0.0,0.0,2018-12-22T12:30:00Z,0,4,0,0,0,0,18,0,77315,1,3,0.0,0,-1474,281,1755,49,True,0,Arsenal,Burnley,4,2
0,0,0,0,0.0,1,181,0,0,0.0,0.0,2018-12-26T17:15:00Z,0,3,0,0,0,0,19,0,76135,1,1,0.0,0,-1490,239,1729,49,False,0,Arsenal,Brighton,4,2
0,0,0,0,0.0,1,196,0,0,0.0,0.0,2018-12-29T17:30:00Z,0,12,0,0,0,0,20,0,75199,1,5,0.0,0,-1274,193,1467,48,False,0,Arsenal,Liverpool,4,5
0,0,0,0,0.0,1,201,0,0,0.0,0.0,2019-01-01T15:00:00Z,0,9,0,0,0,0,21,0,74203,1,4,0.0,0,-1289,249,1538,48,True,0,Arsenal,Fulham,4,2
0,0,0,0,0.0,1,220,0,0,0.0,0.0,2019-01-12T12:30:00Z,0,19,0,0,0,0,22,0,73210,0,1,0.0,0,-1560,308,1868,48,False,0,Arsenal,West Ham,4,3
0,0,0,0,0.0,1,221,0,0,0.0,0.0,2019-01-19T17:30:00Z,0,6,0,0,0,0,23,0,72299,0,2,0.0,0,-1218,146,1364,48,True,0,Arsenal,Chelsea,4,4
0,0,0,0,0.0,1,231,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,5,0,0,0,0,24,0,71912,1,2,0.0,0,-814,304,1118,48,True,0,Arsenal,Cardiff,4,2
0,0,0,0,0.0,1,248,0,0,0.0,0.0,2019-02-03T16:30:00Z,0,13,0,0,0,0,25,0,71563,1,3,0.0,0,-488,115,603,48,False,0,Arsenal,Man City,4,5
0,0,0,0,0.0,1,254,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,10,0,0,0,0,26,0,71372,2,1,0.0,0,-568,269,837,48,False,0,Arsenal,Huddersfield,4,2
0,0,0,0,0.0,1,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,16,0,0,0,0,27,0,71363,0,2,0.0,0,-552,322,874,48,True,0,Arsenal,Southampton,4,2
0,0,0,0,0.0,1,271,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,2,0,0,0,0,28,0,71180,1,5,0.0,0,-210,88,298,48,True,0,Arsenal,Bournemouth,4,2
0,0,0,0,0.0,1,287,0,0,0.0,0.0,2019-03-02T12:30:00Z,0,17,0,0,0,0,29,0,70975,1,1,0.0,0,-321,79,400,48,False,0,Arsenal,Spurs,4,4
0,0,0,0,0.0,1,291,0,0,0.0,0.0,2019-03-10T16:30:00Z,0,14,0,0,0,0,30,0,70799,0,2,0.0,0,-333,65,398,48,True,0,Arsenal,Man Utd,4,4
0,0,0,0,0.0,1,311,0,0,0.0,0.0,2019-04-01T19:00:00Z,0,15,0,0,0,0,32,0,70711,0,2,0.0,0,-203,114,317,48,True,0,Arsenal,Newcastle,4,2
0,0,0,0,0.0,1,323,0,0,0.0,0.0,2019-04-07T13:05:00Z,0,8,0,0,0,0,33,0,70804,0,1,0.0,0,-88,157,245,47,False,0,Arsenal,Everton,4,3
0,0,0,0,0.0,1,340,0,0,0.0,0.0,2019-04-15T19:00:00Z,0,18,0,0,0,0,34,0,70833,1,0,0.0,0,-100,132,232,47,False,0,Arsenal,Watford,4,3
0,0,0,0,0.0,1,341,0,0,0.0,0.0,2019-04-21T15:00:00Z,0,7,0,0,0,0,35,0,71001,3,2,0.0,0,-33,271,304,47,True,0,Arsenal,Crystal Palace,4,2
0,0,0,0,0.0,1,310,0,0,0.0,0.0,2019-04-24T18:45:00Z,0,20,0,0,0,0,35,0,71001,1,3,0.0,0,-33,271,304,47,False,0,Arsenal,Wolves,4,3
0,0,0,0,0.0,1,355,0,0,0.0,0.0,2019-04-28T11:00:00Z,0,11,0,0,0,0,36,0,70940,0,3,0.0,0,-140,109,249,47,False,0,Arsenal,Leicester,4,3
0,0,0,0,0.0,1,361,0,0,0.0,0.0,2019-05-05T15:30:00Z,0,3,0,0,0,0,37,0,70944,1,1,0.0,0,-112,114,226,47,True,0,Arsenal,Brighton,4,2
0,0,0,0,0.0,1,372,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,4,0,0,0,0,38,0,71135,3,1,0.0,0,25,272,247,47,False,0,Arsenal,Burnley,4,3
