assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,429,10,0,0,0.0,0.0,2018-08-11T16:30:00Z,0,8,0,0,0,0,1,0,5328,2,2,0.0,0,0,0,0,40,True,0,Wolves,Everton,3,2
0,0,0,0,0.0,429,17,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,11,0,0,0,0,2,0,4880,0,2,0.0,0,-847,178,1025,40,False,0,Wolves,Leicester,3,3
0,0,0,0,0.0,429,30,0,0,0.0,0.0,2018-08-25T11:30:00Z,0,13,0,0,0,0,3,0,4499,1,1,0.0,0,-506,156,662,40,True,0,Wolves,Man City,3,4
0,0,0,0,0.0,429,40,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,19,0,0,0,0,4,0,4261,1,0,0.0,0,-315,95,410,40,False,0,Wolves,West Ham,3,3
0,0,0,0,0.0,429,50,0,0,0.0,0.0,2018-09-16T12:30:00Z,0,4,0,0,0,0,5,0,4022,0,1,0.0,0,-269,80,349,40,True,0,Wolves,Burnley,3,2
0,0,0,0,0.0,429,59,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,14,0,0,0,0,6,0,3923,1,1,0.0,0,-145,41,186,40,False,0,Wolves,Man Utd,3,4
0,0,0,0,0.0,429,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,16,0,0,0,0,7,0,3820,0,2,0.0,0,-124,39,163,40,True,0,Wolves,Southampton,3,2
0,0,0,0,0.0,429,73,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,7,0,0,0,0,8,0,3756,1,0,0.0,0,-89,34,123,40,False,0,Wolves,Crystal Palace,3,2
0,0,0,0,0.0,429,90,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,18,0,0,0,0,9,0,3644,2,0,0.0,0,-125,44,169,40,True,0,Wolves,Watford,3,3
0,0,0,0,0.0,429,91,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,3,0,0,0,0,10,0,3610,0,1,0.0,0,-52,25,77,40,False,0,Wolves,Brighton,3,2
0,0,0,0,0.0,429,110,0,0,0.0,0.0,2018-11-03T19:45:00Z,0,17,0,0,0,0,11,0,3554,3,2,0.0,0,-64,21,85,40,True,0,Wolves,Spurs,3,4
0,0,0,0,0.0,429,111,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,1,0,0,0,0,12,0,3522,1,1,0.0,0,-39,31,70,40,False,0,Wolves,Arsenal,3,4
0,0,0,0,0.0,429,130,0,0,0.0,0.0,2018-11-25T16:00:00Z,0,10,0,0,0,0,13,0,3474,2,0,0.0,0,-59,21,80,40,True,0,Wolves,Huddersfield,3,2
0,0,0,0,0.0,429,132,0,0,0.0,0.0,2018-11-30T20:00:00Z,0,5,0,0,0,0,14,0,3463,1,2,0.0,0,-20,18,38,40,False,0,Wolves,Cardiff,3,2
0,0,0,0,0.0,429,148,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,6,0,0,0,0,15,0,3422,1,2,0.0,0,-37,7,44,40,True,0,Wolves,Chelsea,3,4
0,0,0,0,0.0,429,159,0,0,0.0,0.0,2018-12-09T16:00:00Z,0,15,0,0,0,0,16,0,3390,2,1,0.0,0,-39,17,56,40,False,0,Wolves,Newcastle,3,3
0,0,0,0,0.0,429,170,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,2,0,0,0,0,17,0,3353,0,2,0.0,0,-40,24,64,40,True,0,Wolves,Bournemouth,3,2
0,0,0,0,0.0,429,180,0,0,0.0,0.0,2018-12-21T20:00:00Z,0,12,0,0,0,0,18,0,3323,2,0,0.0,0,-33,8,41,40,True,0,Wolves,Liverpool,3,4
0,0,0,0,0.0,429,184,0,0,0.0,0.0,2018-12-26T12:30:00Z,0,9,0,0,0,0,19,0,3284,1,1,0.0,0,-43,11,54,40,False,0,Wolves,Fulham,3,2
0,0,0,0,0.0,429,199,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,17,0,0,0,0,20,0,3251,3,1,0.0,0,-39,13,52,40,False,0,Wolves,Spurs,3,4
0,0,0,0,0.0,429,210,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,7,0,0,0,0,21,0,3206,2,0,0.0,0,-45,13,58,40,True,0,Wolves,Crystal Palace,3,2
0,0,0,0,0.0,429,218,0,0,0.0,0.0,2019-01-14T20:00:00Z,0,13,0,0,0,0,22,0,3173,0,3,0.0,0,-38,23,61,40,False,0,Wolves,Man City,3,5
0,0,0,0,0.0,429,230,0,0,0.0,0.0,2019-01-19T12:30:00Z,0,11,0,0,0,0,23,0,3142,3,4,0.0,0,-41,14,55,40,True,0,Wolves,Leicester,3,3
