assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
1,0,15,0,10.8,26,2,0,0,3.7,22.2,2018-08-11T14:00:00Z,23,5,0,0,0,0,1,0,22164,0,2,4.0,4,0,0,0,45,True,0,Bournemouth,Cardiff,3,2
0,0,5,0,0.3,26,20,0,0,0.8,7.6,2018-08-18T14:00:00Z,12,19,0,0,0,0,2,0,26400,2,1,0.0,1,-17,1882,1899,45,False,0,Bournemouth,West Ham,2,3
0,0,0,0,0.0,26,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,8,0,0,0,0,3,0,24375,2,2,0.0,0,-2527,940,3467,45,True,0,Bournemouth,Everton,3,2
0,0,11,0,1.6,26,34,2,0,3.3,29.8,2018-09-01T14:00:00Z,90,6,0,0,0,0,4,0,21993,0,2,2.0,1,-2756,401,3157,45,False,0,Bournemouth,Chelsea,2,4
0,0,4,0,0.8,26,41,2,0,0.8,7.2,2018-09-15T14:00:00Z,22,11,0,0,0,0,5,0,21405,2,4,0.0,0,-1090,772,1862,44,True,0,Bournemouth,Leicester,3,3
0,0,12,0,12.1,26,53,2,0,2.7,12.4,2018-09-22T14:00:00Z,45,4,0,0,0,0,6,0,20431,0,4,2.0,0,-1122,540,1662,44,False,0,Bournemouth,Burnley,2,3
0,0,16,0,5.7,26,62,1,0,2.3,16.6,2018-10-01T19:00:00Z,90,7,0,0,0,0,7,0,19356,1,2,1.0,2,-1132,238,1370,44,True,0,Bournemouth,Crystal Palace,3,2
0,0,22,1,13.3,26,80,0,0,2.5,9.6,2018-10-06T14:00:00Z,90,18,0,0,0,0,8,0,18940,4,0,2.0,6,-478,267,745,44,False,0,Bournemouth,Watford,2,3
0,0,23,1,15.8,26,82,0,0,3.5,15.6,2018-10-20T14:00:00Z,90,16,0,0,0,0,9,0,20365,0,0,4.0,6,1031,1819,788,44,True,0,Bournemouth,Southampton,3,2
0,0,27,1,16.1,26,94,0,0,4.3,20.2,2018-10-27T14:00:00Z,90,9,0,0,0,0,10,0,22140,3,0,7.0,6,1540,2242,702,44,False,0,Bournemouth,Fulham,2,2
0,0,13,0,15.5,26,102,2,0,5.6,38.0,2018-11-03T12:30:00Z,90,14,0,0,0,0,11,0,21797,2,1,2.0,1,-246,1589,1835,44,True,0,Bournemouth,Man Utd,3,4
0,0,13,0,2.2,26,119,2,0,2.1,17.2,2018-11-10T15:00:00Z,90,15,0,0,0,0,12,0,24355,1,2,2.0,1,1979,2700,721,44,False,0,Bournemouth,Newcastle,2,3
