assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,324,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,12763,2,1,0.0,0,0,0,0,50,True,0,Newcastle,Spurs,3,4
0,0,0,0,0.0,324,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,11138,0,0,0.0,0,-2152,113,2265,50,False,0,Newcastle,Cardiff,2,2
0,0,4,0,5.3,324,27,2,0,1.8,4.4,2018-08-26T15:00:00Z,90,6,0,0,0,0,3,0,9186,2,1,8.0,2,-2157,121,2278,49,True,0,Newcastle,Chelsea,3,4
0,0,13,0,11.3,324,38,2,0,2.8,16.8,2018-09-01T16:30:00Z,90,13,0,0,0,0,4,0,8573,1,2,0.0,2,-787,182,969,49,False,0,Newcastle,Man City,2,5
0,0,0,0,0.0,324,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,8208,2,1,0.0,0,-506,211,717,49,True,0,Newcastle,Arsenal,3,4
0,0,0,0,0.0,324,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,7632,0,0,0.0,0,-628,130,758,48,False,0,Newcastle,Crystal Palace,2,2
0,0,0,0,0.0,324,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,7141,2,0,0.0,0,-523,54,577,48,True,0,Newcastle,Leicester,3,3
0,0,0,0,0.0,324,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,6805,2,3,0.0,0,-358,34,392,48,False,0,Newcastle,Man Utd,2,4
0,0,0,0,0.0,324,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,6529,1,0,0.0,0,-322,148,470,47,True,0,Newcastle,Brighton,3,2
0,0,3,0,0.6,324,98,0,0,0.3,0.8,2018-10-27T14:00:00Z,14,16,0,0,0,0,10,0,6234,0,0,2.0,1,-308,43,351,47,False,0,Newcastle,Southampton,2,2
1,0,16,0,15.5,324,108,0,0,4.5,21.0,2018-11-03T15:00:00Z,39,18,0,0,0,0,11,0,6073,0,1,8.0,4,-183,53,236,47,True,0,Newcastle,Watford,3,3
0,0,14,0,43.8,324,119,1,0,5.8,14.0,2018-11-10T15:00:00Z,90,2,0,0,0,0,12,0,6356,1,2,0.0,2,193,383,190,47,True,0,Newcastle,Bournemouth,3,2
0,0,16,0,23.8,324,123,1,0,3.9,15.6,2018-11-26T20:30:00Z,90,4,0,0,0,0,13,0,6565,2,1,0.0,2,149,382,233,47,False,0,Newcastle,Burnley,2,3
0,0,17,0,15.4,324,139,3,0,2.8,12.4,2018-12-01T15:00:00Z,90,19,0,0,0,0,14,0,6758,3,0,0.0,2,176,341,165,47,True,0,Newcastle,West Ham,3,3
0,0,12,0,28.7,324,149,1,0,3.7,8.2,2018-12-05T19:45:00Z,90,8,0,0,0,0,15,0,6822,1,1,0.0,2,58,257,199,47,False,0,Newcastle,Everton,2,3
0,1,20,0,49.1,324,159,2,0,6.7,18.2,2018-12-09T16:00:00Z,90,20,0,0,0,0,16,0,6924,2,1,0.0,2,50,283,233,47,True,1,Newcastle,Wolves,3,3
0,0,11,1,10.6,324,164,0,0,2.0,7.8,2018-12-15T15:00:00Z,71,10,0,0,0,0,17,0,6921,1,0,2.0,3,-16,257,273,47,False,0,Newcastle,Huddersfield,2,2
0,0,13,1,8.4,324,178,0,0,1.8,4.6,2018-12-22T15:00:00Z,90,9,0,0,0,0,18,0,7196,0,0,5.0,3,212,487,275,47,True,0,Newcastle,Fulham,3,2
0,0,0,0,0.0,324,186,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,12,0,0,0,0,19,0,6382,0,4,0.0,0,-778,89,867,47,False,0,Newcastle,Liverpool,2,5
0,0,0,0,0.0,324,200,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,18,0,0,0,0,20,0,5933,1,1,0.0,0,-463,21,484,47,False,0,Newcastle,Watford,2,3
0,0,0,0,0.0,324,208,0,0,0.0,0.0,2019-01-02T20:00:00Z,0,14,0,0,0,0,21,0,5697,2,0,0.0,0,-251,18,269,47,True,0,Newcastle,Man Utd,3,4
0,0,0,0,0.0,324,214,0,0,0.0,0.0,2019-01-12T17:30:00Z,0,6,0,0,0,0,22,0,5424,1,2,0.0,0,-272,24,296,47,False,0,Newcastle,Chelsea,2,4
0,0,0,0,0.0,324,227,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,5,0,0,0,0,23,0,5320,0,3,0.0,0,-130,98,228,47,True,0,Newcastle,Cardiff,3,2
0,0,0,0,0.0,324,238,0,0,0.0,0.0,2019-01-29T20:00:00Z,0,13,0,0,0,0,24,0,5139,1,2,0.0,0,-188,12,200,47,True,0,Newcastle,Man City,3,4
0,0,0,0,0.0,324,249,0,0,0.0,0.0,2019-02-02T12:30:00Z,0,17,0,0,0,0,25,0,5061,0,1,0.0,0,-77,3,80,47,False,0,Newcastle,Spurs,2,4
0,0,0,0,0.0,324,260,0,0,0.0,0.0,2019-02-11T20:00:00Z,0,20,0,0,0,0,26,0,5006,1,1,0.0,0,-74,22,96,47,False,0,Newcastle,Wolves,2,3
0,0,0,0,0.0,324,269,0,0,0.0,0.0,2019-02-23T15:00:00Z,0,10,0,0,0,0,27,0,5060,0,2,0.0,0,19,72,53,47,True,0,Newcastle,Huddersfield,3,2
0,0,0,0,0.0,324,279,0,0,0.0,0.0,2019-02-26T20:00:00Z,0,4,0,0,0,0,28,0,5060,0,2,0.0,0,-6,27,33,47,True,0,Newcastle,Burnley,3,2
0,0,0,0,0.0,324,289,0,0,0.0,0.0,2019-03-02T17:30:00Z,0,19,0,0,0,0,29,0,5049,0,2,0.0,0,-19,17,36,47,False,0,Newcastle,West Ham,2,3
0,0,8,0,5.3,324,299,2,0,1.0,4.2,2019-03-09T15:00:00Z,78,8,0,0,0,0,30,0,5045,2,3,0.0,2,-12,33,45,47,True,0,Newcastle,Everton,3,2
0,0,0,0,0.0,324,301,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,2,0,0,0,0,31,0,5314,2,2,0.0,0,63,104,41,47,False,0,Newcastle,Bournemouth,2,3
0,0,4,0,0.0,324,311,1,0,0.6,3.0,2019-04-01T19:00:00Z,23,1,0,0,0,0,32,0,5075,0,2,3.0,1,-50,18,68,47,False,0,Newcastle,Arsenal,2,4
