assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
1,3,38,1,14.0,145,3,0,0,6.0,46.0,2018-08-11T14:00:00Z,90,9,0,0,0,0,1,0,652304,2,0,0.0,12,0,0,0,40,False,0,Crystal Palace,Fulham,2,2,1,7.0,3,6.0,2,0,1.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,-1,0,12.3,145,15,2,0,2.9,12.4,2018-08-20T19:00:00Z,74,12,0,0,0,1,2,0,1110097,2,0,4.0,-2,282492,296156,13664,41,True,0,Crystal Palace,Liverpool,2,4,1,9.208333333333334,3,6.0,-2,1,1.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,145,29,0,0,0.0,0.0,2018-08-26T12:30:00Z,0,18,0,0,0,0,3,0,1108869,1,2,0.0,0,-568,133556,134124,41,False,0,Crystal Palace,Watford,2,3,1,5.729166666666668,0,2.9,-1,0,0.5,0.5,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0
0,0,16,0,39.6,145,35,2,0,7.6,36.0,2018-09-01T14:00:00Z,90,16,0,0,0,0,4,0,1249902,2,0,0.0,0,109808,141679,31871,41,True,1,Crystal Palace,Southampton,2,2,1,5.0625,0,0.0,-2,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,54.66666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,1,0,0
0,3,33,1,2.1,145,44,0,0,3.0,28.0,2018-09-15T14:00:00Z,90,10,0,0,0,0,5,0,1302865,1,0,0.0,9,41697,97655,55958,41,False,0,Crystal Palace,Huddersfield,2,2,1,5.0,0,7.6,1,0,0.25,0.25,1.0,0.0,63.5,0.0,0.0,0.0,0.0,0.25,0.25,-0.75,1,0,0
0,3,29,1,12.8,145,55,0,0,5.8,25.0,2018-09-22T14:00:00Z,90,15,0,0,0,0,6,0,1483934,0,0,20.0,9,162857,172819,9962,42,True,0,Crystal Palace,Newcastle,2,2,1,7.0,3,3.0,0,1,0.2,0.4,0.8,0.0,68.8,0.0,0.0,0.0,0.0,0.2,0.2,-0.4,1,0,0
0,0,17,0,4.5,145,62,2,0,2.7,22.0,2018-10-01T19:00:00Z,90,2,0,0,0,0,7,0,1704275,1,2,0.0,1,207809,216136,8327,43,False,0,Crystal Palace,Bournemouth,2,3,1,9.208333333333334,3,5.8,-1,0,0.0,0.4,0.8,0.0,68.8,0.0,0.0,0.0,0.0,0.2,0.2,-0.8,1,0,0
0,0,16,0,8.3,145,73,1,0,3.9,30.8,2018-10-06T14:00:00Z,90,20,0,0,0,0,8,0,1741616,1,0,0.0,2,41460,60804,19344,43,True,0,Crystal Palace,Wolves,2,3,1,4.791666666666667,0,2.7,-1,1,0.0,0.4,0.8,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,14,0,0.6,145,85,2,0,2.4,21.2,2018-10-21T15:00:00Z,90,8,0,0,0,0,9,0,1723511,0,2,2.0,1,-19748,42111,61859,43,False,0,Crystal Palace,Everton,2,3,1,5.0,0,3.9,-2,0,0.0,0.4,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,13,0,1.6,145,93,2,0,3.4,26.8,2018-10-28T13:30:00Z,90,1,0,0,0,0,10,0,1675595,2,2,6.0,1,-45677,15520,61197,43,True,0,Crystal Palace,Arsenal,2,4,1,6.9375,0,2.4,0,1,0.0,0.4,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
