assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,500,10,0,0,0.0,0.0,2018-08-11T16:30:00Z,0,8,0,0,0,0,1,0,34187,2,2,0.0,0,0,0,0,55,True,0,Wolves,Everton,3,2,2,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,11,0,31.6,500,17,0,0,4.9,15.2,2018-08-18T14:00:00Z,45,11,0,0,0,0,2,0,25168,0,2,2.0,1,-10462,799,11261,55,False,0,Wolves,Leicester,3,3,2,6.895833333333332,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,8,0,14.0,500,30,0,0,2.5,9.0,2018-08-25T11:30:00Z,18,13,0,0,0,0,3,0,22411,1,1,2.0,1,-3428,1431,4859,55,True,0,Wolves,Man City,3,4,2,6.895833333333332,0,4.9,0,1,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,2,28,0,20.8,500,40,0,1,9.3,44.4,2018-09-01T14:00:00Z,28,19,0,0,0,0,4,0,22476,1,0,28.0,8,-622,2628,3250,55,False,0,Wolves,West Ham,3,3,2,6.104166666666668,0,2.5,1,0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,7,0,27.0,500,50,0,0,6.4,11.6,2018-09-16T12:30:00Z,24,4,0,0,0,0,5,0,45560,0,1,25.0,1,19455,24901,5446,55,True,0,Wolves,Burnley,3,2,2,5.0,2,9.3,1,1,0.0,0.0,0.0,0.25,22.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1,0,0
0,0,3,0,0.0,500,59,0,0,3.3,8.2,2018-09-22T14:00:00Z,15,14,0,0,0,0,6,0,38209,1,1,25.0,1,-6030,2391,8421,55,False,0,Wolves,Man Utd,3,4,2,6.0625,0,6.4,0,0,0.0,0.0,0.0,0.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,-1,0,1.3,500,70,0,0,0.5,1.8,2018-09-29T14:00:00Z,37,16,0,0,0,0,7,0,35025,0,2,2.0,0,-3731,1987,5718,55,True,1,Wolves,Southampton,3,2,2,7.0,0,3.3,2,1,0.0,0.0,0.0,0.2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,1,0,0.0,500,73,0,0,0.1,1.0,2018-10-06T14:00:00Z,3,7,0,0,0,0,8,0,31909,1,0,0.0,1,-3212,1247,4459,55,False,0,Wolves,Crystal Palace,3,2,2,7.0,0,0.5,1,0,0.0,0.0,0.0,0.2,24.4,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,8,0,4.3,500,90,0,0,1.3,8.4,2018-10-20T14:00:00Z,18,18,0,0,0,0,9,0,28623,2,0,0.0,1,-3602,854,4456,55,True,0,Wolves,Watford,3,3,2,5.0,0,0.1,-2,1,0.0,0.0,0.0,0.2,21.4,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1,0,0
0,0,7,0,16.3,500,91,1,0,3.3,8.0,2018-10-27T14:00:00Z,60,3,0,0,0,0,10,0,25761,0,1,9.0,2,-2980,267,3247,55,False,0,Wolves,Brighton,3,2,2,7.0,0,1.3,-1,0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,3,0,0.3,500,110,0,0,0.4,2.0,2018-11-03T19:45:00Z,6,17,0,0,0,0,11,0,23266,3,2,2.0,1,-2622,237,2859,54,True,0,Wolves,Spurs,3,4,2,6.239583333333332,0,3.3,-1,1,0.0,0.0,0.2,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,2,0,11.5,500,111,1,0,4.4,9.2,2018-11-11T16:30:00Z,15,1,0,0,0,0,12,0,21506,1,1,23.0,1,-1864,166,2030,54,False,0,Wolves,Arsenal,3,4,2,7.864583333333332,0,0.4,0,0,0.0,0.0,0.2,0.0,24.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,4,0,17.7,500,130,1,0,2.8,8.0,2018-11-25T16:00:00Z,45,10,0,0,0,0,13,0,20929,2,0,2.0,1,-697,517,1214,53,True,0,Wolves,Huddersfield,3,2,2,5.0,0,4.4,-2,1,0.0,0.0,0.4,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,2,0,3.3,500,132,1,0,3.5,5.8,2018-11-30T20:00:00Z,72,5,0,0,0,0,14,0,20575,1,2,26.0,2,-427,338,765,53,False,0,Wolves,Cardiff,3,2,2,5.166666666666667,0,2.8,-1,0,0.0,0.0,0.6,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0,0
0,0,0,0,0.0,500,148,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,6,0,0,0,0,15,0,19977,1,2,0.0,0,-606,248,854,53,True,0,Wolves,Chelsea,3,4,2,4.989583333333333,0,3.5,1,1,0.0,0.0,0.8,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,3,0,1.6,500,159,1,0,0.6,0.2,2018-12-09T16:00:00Z,59,15,0,0,0,0,16,0,19327,2,1,4.0,1,-691,152,843,53,False,0,Wolves,Newcastle,3,3,2,3.84375,0,0.0,1,0,0.0,0.0,0.6,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,0,0,0.0,500,170,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,2,0,0,0,0,17,0,18689,0,2,0.0,0,-695,192,887,53,True,0,Wolves,Bournemouth,3,2,2,5.958333333333332,0,0.6,2,1,0.0,0.0,0.8,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,3,0,15.8,500,180,1,0,2.8,0.4,2018-12-21T20:00:00Z,62,12,0,0,0,0,18,0,18098,2,0,12.0,2,-639,123,762,52,True,0,Wolves,Liverpool,3,4,2,6.208333333333332,0,0.0,-2,1,0.0,0.0,0.6,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,2,0,4.0,500,184,0,0,0.6,0.0,2018-12-26T12:30:00Z,45,9,0,0,0,0,19,0,18464,1,1,4.0,1,198,892,694,52,False,0,Wolves,Fulham,3,2,2,4.6875,0,2.8,0,0,0.0,0.0,0.6,0.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,9,0,15.1,500,199,1,0,4.6,10.6,2018-12-29T15:00:00Z,58,17,0,0,0,0,20,0,17810,3,1,20.0,1,-650,319,969,52,False,0,Wolves,Spurs,3,4,2,3.1041666666666665,0,0.6,2,0,0.0,0.0,0.4,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,1,0,0.3,500,210,1,0,0.1,0.2,2019-01-02T19:45:00Z,6,7,0,0,0,0,21,0,17095,2,0,0.0,1,-766,196,962,52,True,0,Wolves,Crystal Palace,3,2,2,8.197916666666666,0,4.6,-2,1,0.0,0.0,0.6,0.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,11,0,2.4,500,218,1,0,3.6,11.4,2019-01-14T20:00:00Z,45,13,0,0,0,0,22,0,16742,0,3,22.0,1,-465,355,820,52,False,0,Wolves,Man City,3,5,2,5.0,0,0.1,-3,0,0.0,0.0,0.6,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,500,230,0,0,0.0,0.0,2019-01-19T12:30:00Z,0,11,0,0,0,0,23,0,16669,3,4,0.0,0,-164,428,592,52,True,0,Wolves,Leicester,3,3,2,4.6875,0,3.6,1,1,0.0,0.0,0.8,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,500,236,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,19,0,0,0,0,24,0,16371,0,3,0.0,0,-362,235,597,51,True,0,Wolves,West Ham,3,3,2,5.0,0,0.0,3,1,0.0,0.0,0.6,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
0,0,1,0,0.0,500,246,0,0,0.2,2.0,2019-02-02T15:00:00Z,1,8,0,0,0,0,25,0,16153,3,1,0.0,1,-232,120,352,51,False,0,Wolves,Everton,3,3,2,2.802083333333333,0,0.0,2,0,0.0,0.0,0.6,0.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
1,0,17,0,14.8,500,260,0,0,7.3,20.4,2019-02-11T20:00:00Z,9,15,0,0,0,0,26,0,16099,1,1,38.0,4,-125,270,395,51,True,0,Wolves,Newcastle,3,2,2,9.208333333333334,0,0.2,0,1,0.0,0.0,0.4,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,6,0,28.2,500,262,0,0,3.6,8.2,2019-02-23T15:00:00Z,13,2,0,0,0,0,27,0,16413,1,1,0.0,1,145,475,330,51,False,0,Wolves,Bournemouth,3,3,2,5.0,0,7.3,0,0,0.2,0.0,0.2,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,0,0,0.0,500,274,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,10,0,0,0,0,28,0,16400,0,1,0.0,0,-3,199,202,51,False,0,Wolves,Huddersfield,3,2,2,3.1979166666666665,0,3.6,-1,0,0.2,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,13,1,5.5,500,290,0,0,2.2,10.0,2019-03-02T15:00:00Z,74,5,0,0,0,0,29,0,16278,0,2,6.0,3,-141,165,306,51,True,0,Wolves,Cardiff,3,2,2,5.802083333333332,0,0.0,2,1,0.2,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,2,0,0.0,500,293,1,0,0.0,0.0,2019-03-10T14:05:00Z,1,6,0,0,0,0,30,0,16332,1,1,1.0,1,2,234,232,51,False,0,Wolves,Chelsea,3,4,2,7.961805555555554,0,2.2,0,0,0.2,0.2,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,14,0,10.8,500,313,1,0,3.5,13.8,2019-03-30T15:00:00Z,71,4,0,0,0,0,32,0,16264,0,2,10.0,2,-27,175,202,51,False,0,Wolves,Burnley,3,3,2,5.0,0,0.0,-2,0,0.2,0.2,0.2,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,0,0,0.0,500,330,0,0,0.0,0.0,2019-04-02T18:45:00Z,0,14,0,0,0,0,32,0,16264,1,2,0.0,0,-27,175,202,51,True,0,Wolves,Man Utd,3,4,2,2.15625,0,3.5,1,1,0.0,0.2,0.4,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,5,0,14.3,500,338,1,0,2.3,8.2,2019-04-13T14:00:00Z,30,16,0,0,0,0,34,0,16117,1,3,0.0,1,-89,66,155,51,False,0,Wolves,Southampton,3,2,2,5.0,0,0.0,-2,0,0.0,0.2,0.4,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
