assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_2021
0,0,3,0,4.2,480,3,2,0,7.7,7.2,2018-08-11T14:00:00Z,90,7,0,0,0,0,1,0,294873,2,0,66,2,0,0,0,65,True,0,Fulham,Crystal Palace,2,2,3,7.0,0,7.7,-2,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,23,0,3.9,480,19,3,1,7.4,28.0,2018-08-18T14:00:00Z,90,17,0,0,0,0,2,0,289024,1,3,42,6,-27445,10641,38086,65,False,0,Fulham,Spurs,2,4,3,7.0,0,7.7,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
1,3,59,0,19.0,480,23,2,2,17.1,76.8,2018-08-26T15:00:00Z,90,4,0,0,0,0,3,0,341378,2,4,75,16,34413,65914,31501,65,True,0,Fulham,Burnley,2,2,3,8.041666666666666,0,7.4,2,1,0.0,0.0,2.5,0.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,22,0,16.8,480,31,2,1,10.3,42.2,2018-09-01T14:00:00Z,90,3,0,0,0,0,4,0,789475,2,2,44,5,382380,416644,34264,66,False,1,Fulham,Brighton,2,2,3,4.958333333333333,3,17.1,0,0,0.3333333333333333,0.0,2.333333333333333,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0
0,0,3,0,2.3,480,45,3,0,1.5,0.0,2018-09-15T14:00:00Z,90,13,0,0,0,0,5,0,1168832,0,3,13,2,350301,435268,84967,68,False,0,Fulham,Man City,2,5,3,5.0,0,10.3,-3,0,0.25,0.0,2.25,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,1,0
0,2,22,0,12.9,480,56,1,1,18.4,36.8,2018-09-22T11:30:00Z,90,18,0,0,0,0,6,0,1377459,1,1,134,8,187104,248323,61219,69,True,0,Fulham,Watford,2,3,3,6.895833333333332,0,1.5,0,1,0.2,0.0,2.4,0.8,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1,0
0,0,4,0,2.6,480,65,3,0,2.1,12.0,2018-09-29T14:00:00Z,90,8,0,0,0,0,7,0,1611561,0,3,6,1,219370,247279,27909,70,False,1,Fulham,Everton,2,3,3,7.104166666666668,2,18.4,-3,0,0.2,0.0,2.2,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0
0,0,3,0,37.0,480,74,5,0,9.0,7.6,2018-10-07T11:00:00Z,90,1,0,0,0,0,8,0,1530426,5,1,45,2,-70530,55102,125632,70,True,0,Fulham,Arsenal,2,4,3,7.875,0,2.1,-4,1,0.2,0.0,2.2,0.8,90.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1,0
1,0,14,0,11.7,480,83,4,0,3.4,21.8,2018-10-20T14:00:00Z,90,5,0,0,0,0,9,0,1519101,2,4,0,5,-27557,113082,140639,69,False,0,Fulham,Cardiff,2,2,3,5.0,0,9.0,-2,0,0.0,0.0,2.8,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.4,-2.0,1,0
0,0,7,0,4.3,480,94,3,0,1.5,5.2,2018-10-27T14:00:00Z,90,2,0,0,0,0,10,0,1544831,3,0,5,1,17090,86418,69328,69,True,1,Fulham,Bournemouth,2,2,3,7.0,0,3.4,-3,1,0.2,0.0,3.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.4,1,0
