assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,15,1,0,0,0.0,0.0,2018-08-12T15:00:00Z,0,13,0,0,0,0,1,0,35746,2,0,0.0,0,0,0,0,55,True,0,Arsenal,Man City,4,4,2,7.0,0,0.0,-2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,30,0,26.0,15,14,2,1,9.3,40.4,2018-08-18T16:30:00Z,74,6,0,0,0,0,2,0,34141,2,3,27.0,7,-6773,670,7443,55,False,0,Arsenal,Chelsea,4,4,2,6.0625,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
1,0,16,0,12.7,15,21,1,0,3.4,19.0,2018-08-25T14:00:00Z,45,19,0,0,0,0,3,0,78035,1,3,2.0,4,30671,42143,11472,55,True,0,Arsenal,West Ham,4,3,2,6.895833333333332,0,9.3,2,1,0.0,0.0,1.0,0.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0
0,0,0,0,0.0,15,33,0,0,0.0,0.0,2018-09-02T12:30:00Z,0,5,0,0,0,0,4,0,101512,3,2,0.0,0,18462,32826,14364,55,False,0,Arsenal,Cardiff,4,2,2,6.9375,0,3.4,1,0,0.3333333333333333,0.0,1.0,0.3333333333333333,39.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1,0,0
0,0,0,0,0.0,15,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,15,0,0,0,0,5,0,79017,2,1,0.0,0,-22134,5804,27938,55,False,0,Arsenal,Newcastle,4,3,2,5.0,0,0.0,1,0,0.25,0.0,0.75,0.25,29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,3,0,11.4,15,51,0,0,2.2,4.8,2018-09-23T15:00:00Z,21,8,0,0,0,0,6,0,64854,0,2,6.0,1,-15691,2025,17716,55,True,0,Arsenal,Everton,4,2,2,8.041666666666666,0,0.0,2,1,0.2,0.0,0.6,0.2,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
1,0,9,0,1.5,15,61,0,0,2.1,1.8,2018-09-29T14:00:00Z,27,18,0,0,0,0,7,0,58044,0,2,18.0,4,-7541,1296,8837,55,True,0,Arsenal,Watford,4,3,2,5.958333333333332,0,2.2,2,1,0.2,0.0,0.6,0.2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,7,0,3.2,15,74,1,0,2.7,10.2,2018-10-07T11:00:00Z,66,9,0,0,0,0,8,0,60377,5,1,14.0,2,1304,5013,3709,55,False,0,Arsenal,Fulham,4,2,2,7.875,0,2.1,4,0,0.4,0.0,0.2,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,21,0,26.3,15,81,1,0,7.7,23.6,2018-10-22T19:00:00Z,90,11,0,0,0,0,9,0,64150,1,3,27.0,2,2604,7725,5121,55,True,0,Arsenal,Leicester,4,3,2,5.0,0,2.7,2,1,0.2,0.0,0.2,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,4,0,5.3,15,93,2,0,2.3,4.0,2018-10-28T13:30:00Z,90,7,0,0,0,0,10,0,71137,2,2,14.0,2,6200,10527,4327,55,False,0,Arsenal,Crystal Palace,4,2,2,5.770833333333332,0,7.7,0,0,0.2,0.0,0.4,0.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
1,0,16,0,19.0,15,101,0,0,4.5,22.4,2018-11-03T17:30:00Z,22,12,0,0,0,0,11,0,67211,1,1,4.0,4,-4028,3585,7613,55,True,0,Arsenal,Liverpool,4,4,2,5.166666666666667,0,2.3,0,1,0.2,0.0,0.8,0.0,58.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,4,0,9.6,15,111,1,0,3.4,4.6,2018-11-11T16:30:00Z,45,20,0,0,0,0,12,0,73961,1,1,20.0,1,5413,9030,3617,55,True,0,Arsenal,Wolves,4,3,2,7.958333333333332,0,4.5,0,1,0.4,0.0,0.8,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,6,0,15.4,15,121,1,0,6.0,6.6,2018-11-25T13:30:00Z,81,2,0,0,0,0,13,0,71349,2,1,38.0,2,-2942,3096,6038,55,False,0,Arsenal,Bournemouth,4,3,2,5.0,0,3.4,1,0,0.2,0.0,1.0,0.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,-2,0,3.8,15,131,2,0,4.8,2.4,2018-12-02T14:05:00Z,45,17,0,0,0,0,14,0,70314,2,4,42.0,1,-1402,2322,3724,55,True,0,Arsenal,Spurs,4,4,2,7.0243055555555545,0,6.0,2,1,0.2,0.0,1.0,0.0,65.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,12,0,10.9,15,145,1,0,2.6,7.0,2018-12-05T20:00:00Z,64,14,0,0,0,0,15,0,67932,2,2,8.0,2,-2611,2677,5288,55,False,0,Arsenal,Man Utd,4,4,2,3.2465277777777777,0,4.8,0,0,0.2,0.0,1.2,0.0,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
