assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,3,34,1,0.0,328,8,0,0,4.6,46.0,2018-08-12T12:30:00Z,90,4,0,0,0,0,1,6,31997,0,0,0.0,11,0,0,0,45,True,0,Southampton,Burnley,2,2,0,7.0,3,4.6,0,1,0.0,1.0,0.0,0.0,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,20,0,0.0,328,16,2,0,3.4,33.8,2018-08-18T14:00:00Z,90,8,0,0,0,0,2,5,131184,1,2,0.0,2,39525,46682,7157,45,False,0,Southampton,Everton,2,3,0,6.0625,3,4.6,-1,0,0.0,1.0,0.0,0.0,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,14,0,0.0,328,28,2,0,2.4,23.6,2018-08-25T14:00:00Z,90,11,0,0,0,0,3,3,157533,2,1,0.0,2,20419,37513,17094,45,True,0,Southampton,Leicester,2,3,0,7.0,0,3.4,-1,1,0.0,0.5,1.0,0.0,90.0,5.5,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,32,1,0.0,328,35,0,0,3.4,33.8,2018-09-01T14:00:00Z,90,7,0,0,0,0,4,6,172288,2,0,0.0,8,10267,23723,13456,45,False,0,Southampton,Crystal Palace,2,2,0,6.0,0,2.4,2,0,0.0,0.3333333333333333,1.3333333333333333,0.0,90.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,8,0,0.0,328,47,2,0,1.4,14.2,2018-09-17T19:00:00Z,90,3,0,0,0,0,5,2,264759,2,2,0.0,0,73510,92182,18672,45,True,1,Southampton,Brighton,2,2,0,5.0,0,3.4,0,1,0.0,0.5,1.0,0.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,13,0,0.0,328,58,3,0,0.6,6.0,2018-09-22T14:00:00Z,90,12,0,0,0,0,6,1,245886,0,3,0.0,1,-12165,6897,19062,45,False,0,Southampton,Liverpool,2,5,0,4.791666666666667,0,1.4,-3,0,0.0,0.4,1.2,0.0,90.0,4.4,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,16,0,0.0,328,70,2,0,3.5,34.8,2018-09-29T14:00:00Z,90,20,0,0,0,0,7,4,236855,0,2,0.0,2,-9828,1647,11475,45,False,0,Southampton,Wolves,2,3,0,7.0,0,0.6,-2,0,0.0,0.2,1.8,0.0,90.0,3.4,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,16,0,0.0,328,78,3,0,2.2,22.2,2018-10-07T13:15:00Z,90,6,0,0,0,0,8,3,225817,3,0,0.0,2,-11188,898,12086,45,True,0,Southampton,Chelsea,2,4,0,7.96875,0,3.5,-3,1,0.0,0.2,1.8,0.0,90.0,3.2,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,26,1,0.0,328,82,0,0,1.9,18.8,2018-10-20T14:00:00Z,90,2,0,0,0,0,9,2,212199,0,0,0.0,6,-14260,1233,15493,45,False,0,Southampton,Bournemouth,2,3,0,5.0,0,2.2,0,0,0.0,0.2,2.0,0.0,90.0,3.2,0.0,0.0,0.0,0.0,0.2,-1.2,1,0,0
0,0,19,1,0.0,328,98,0,0,0.2,2.4,2018-10-27T14:00:00Z,90,15,0,0,0,0,10,0,216566,0,0,0.0,6,1629,5309,3680,45,True,0,Southampton,Newcastle,2,2,0,7.0,0,1.9,0,1,0.0,0.2,2.0,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.2,-1.6,1,0,0
0,0,14,0,0.0,328,107,6,0,2.5,24.6,2018-11-04T15:00:00Z,90,13,0,0,0,0,11,3,208577,1,6,0.0,0,-6711,1774,8485,45,False,0,Southampton,Man City,2,5,0,7.041666666666668,0,0.2,-5,0,0.0,0.4,1.6,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0,0
0,2,18,0,0.0,328,120,1,0,3.8,37.6,2018-11-10T15:00:00Z,90,18,0,0,0,0,12,5,205596,1,1,0.0,5,-3737,1486,5223,45,True,0,Southampton,Watford,2,3,0,6.0,0,2.5,0,1,0.0,0.4,2.2,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,14,0,0.0,328,125,3,0,1.9,18.8,2018-11-24T15:00:00Z,90,9,0,0,0,0,13,2,203889,2,3,0.0,1,-2060,1688,3748,45,False,0,Southampton,Fulham,2,2,0,5.0,2,3.8,-1,0,0.0,0.4,2.0,0.0,90.0,2.6,0.0,0.0,0.0,0.0,0.0,-1.6,1,0,0
0,0,13,0,0.0,328,140,2,0,1.8,18.2,2018-12-01T17:30:00Z,90,14,0,0,0,0,14,3,199951,2,2,0.0,2,-4041,334,4375,45,True,0,Southampton,Man Utd,2,4,0,7.104166666666668,0,1.9,0,1,0.0,0.4,2.0,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,-1.2,1,0,0
0,0,18,0,0.0,328,150,3,0,3.3,33.0,2018-12-05T20:00:00Z,90,17,0,0,0,0,15,5,194267,1,3,0.0,2,-5409,235,5644,45,False,0,Southampton,Spurs,2,4,0,4.104166666666667,0,1.8,-2,0,0.0,0.2,2.4,0.0,90.0,2.6,0.0,0.0,0.0,0.0,0.0,-1.2,1,0,0
0,0,15,0,0.0,328,154,1,0,2.8,27.6,2018-12-08T15:00:00Z,90,5,0,0,0,0,16,3,191515,0,1,0.0,3,-3034,889,3923,45,False,0,Southampton,Cardiff,2,2,0,2.7916666666666665,0,3.3,-1,0,0.0,0.0,3.0,0.0,90.0,3.6,0.0,0.0,0.0,0.0,0.0,-1.6,1,0,0
0,0,12,0,0.0,328,167,2,0,1.7,17.4,2018-12-16T13:30:00Z,90,1,0,0,0,0,17,2,186972,2,3,0.0,1,-4679,395,5074,45,True,0,Southampton,Arsenal,2,4,0,7.9375,0,2.8,1,1,0.0,0.0,2.0,0.0,90.0,3.6,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,14,0,0.0,328,176,1,0,2.5,25.0,2018-12-22T15:00:00Z,90,10,0,0,0,0,18,4,187789,3,1,0.0,3,-178,3691,3869,45,False,0,Southampton,Huddersfield,2,2,0,6.0625,0,1.7,2,0,0.0,0.0,2.2,0.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,13,0,0.0,328,188,2,0,2.2,22.0,2018-12-27T19:45:00Z,90,19,0,0,0,0,19,3,185662,2,1,0.0,2,-2110,1903,4013,45,True,0,Southampton,West Ham,2,3,0,5.197916666666667,0,2.5,-1,1,0.0,0.0,1.8,0.0,90.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,15,0,0.0,328,198,3,0,3.4,33.8,2018-12-30T14:15:00Z,90,13,0,0,0,0,20,4,180236,3,1,0.0,2,-4964,627,5591,45,True,0,Southampton,Man City,2,4,0,2.770833333333333,0,2.2,-2,1,0.0,0.0,1.8,0.0,90.0,3.4,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,0,0,0.0,328,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,6,0,0,0,0,21,0,172419,0,0,0.0,0,-8456,761,9217,45,False,0,Southampton,Chelsea,2,4,0,7.229166666666668,0,3.4,0,0,0.0,0.0,1.8,0.0,90.0,3.2,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,18,0,0.0,328,217,1,0,2.6,26.4,2019-01-12T15:00:00Z,90,11,0,0,0,0,22,4,161968,2,1,0.0,3,-10792,2433,13225,44,False,0,Southampton,Leicester,2,3,0,9.802083333333334,0,0.0,1,0,0.0,0.0,1.6,0.0,72.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,11,0,0.0,328,228,1,0,0.9,9.0,2019-01-19T15:00:00Z,90,8,0,0,0,0,23,1,162122,1,2,0.0,2,-145,9263,9408,44,True,0,Southampton,Everton,2,2,0,7.0,0,2.6,1,1,0.0,0.0,1.4,0.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,10,0,0.0,328,239,1,0,0.7,7.4,2019-01-30T19:45:00Z,90,7,0,0,0,0,24,1,166323,1,1,0.0,2,3798,8621,4823,44,True,0,Southampton,Crystal Palace,2,2,0,5.0,0,0.9,0,1,0.0,0.0,1.4,0.0,72.0,2.4,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,1,21,0,0.0,328,242,1,0,4.2,41.8,2019-02-02T15:00:00Z,90,4,0,0,0,0,25,5,164208,1,1,0.0,4,-1318,2466,3784,44,False,0,Southampton,Burnley,2,3,0,1.8020833333333333,0,0.7,0,0,0.0,0.0,1.2,0.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,10,0,0.0,328,257,2,0,0.7,7.0,2019-02-09T15:00:00Z,90,5,0,0,0,0,26,1,170042,2,1,0.0,1,4350,7803,3453,44,True,0,Southampton,Cardiff,2,2,0,7.0,1,4.2,-1,1,0.0,0.0,0.8,0.0,72.0,2.2,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,0.0,328,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,163472,0,2,0.0,0,-4587,2019,6606,44,False,0,Southampton,Arsenal,2,4,0,5.0,0,0.7,-2,0,0.0,0.0,1.2,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,0,0,0.0,328,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,163490,0,2,0.0,0,-1840,1690,3530,44,True,0,Southampton,Fulham,2,2,0,3.236111111111111,0,0.0,2,1,0.0,0.0,1.0,0.0,72.0,1.6,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
0,0,0,0,0.0,328,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,156691,2,3,0.0,0,-6715,313,7028,44,False,0,Southampton,Man Utd,2,4,0,4.802083333333333,0,0.0,-1,0,0.0,0.0,0.8,0.0,54.0,1.4,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,0,0,0.0,328,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,17,0,0,0,0,30,0,150680,1,2,0.0,0,-6032,231,6263,44,True,0,Southampton,Spurs,2,4,0,7.0,0,0.0,1,1,0.0,0.0,0.6,0.0,36.0,1.2,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
0,0,0,0,0.0,328,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,3,0,0,0,0,32,0,139417,1,0,0.0,0,-4761,577,5338,44,False,0,Southampton,Brighton,2,2,0,5.0,0,0.0,1,0,0.0,0.0,0.4,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,0,0,0.0,328,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,12,0,0,0,0,33,0,139591,3,1,0.0,0,-2088,898,2986,43,True,0,Southampton,Liverpool,2,4,0,5.166666666666667,0,0.0,-2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,0,0,0.0,328,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,20,0,0,0,0,34,0,136015,1,3,0.0,0,-3807,1598,5405,43,True,0,Southampton,Wolves,2,3,0,7.791666666666668,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,0,0,0.0,328,348,0,0,0.0,0.0,2019-04-20T16:30:00Z,0,15,0,0,0,0,35,0,131019,1,3,0.0,0,-4847,1509,6356,43,False,0,Southampton,Newcastle,2,3,0,7.104166666666668,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
