assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,248,5,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,19,0,0,0,0,1,0,2117,0,4,0.0,0,0,0,0,65,True,0,Liverpool,West Ham,5,3,2,7.0,0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,0,0,0.0,248,15,0,0,0.0,0.0,2018-08-20T19:00:00Z,0,7,0,0,0,0,2,0,1998,2,0,0.0,0,-416,68,484,65,False,0,Liverpool,Crystal Palace,4,2,2,8.270833333333334,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,0,0,0.0,248,25,0,0,0.0,0.0,2018-08-25T16:30:00Z,0,3,0,0,0,0,3,0,1827,0,1,0.0,0,-255,60,315,65,True,0,Liverpool,Brighton,5,2,2,4.895833333333333,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,0,0,0.0,248,37,0,0,0.0,0.0,2018-09-01T11:30:00Z,0,11,0,0,0,0,4,0,1779,2,1,0.0,0,-107,58,165,65,False,0,Liverpool,Leicester,4,3,2,5.791666666666668,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1,0,0
0,0,0,0,0.0,248,48,0,0,0.0,0.0,2018-09-15T11:30:00Z,0,17,0,0,0,0,5,0,1781,2,1,0.0,0,-72,62,134,65,False,0,Liverpool,Spurs,4,4,2,5.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,248,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,16,0,0,0,0,6,0,1856,0,3,0.0,0,-37,50,87,64,True,0,Liverpool,Southampton,5,2,2,7.104166666666668,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,0,0,0.0,248,64,0,0,0.0,0.0,2018-09-29T16:30:00Z,0,6,0,0,0,0,7,0,1899,1,1,0.0,0,-43,49,92,64,False,0,Liverpool,Chelsea,4,4,2,7.104166666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,0,0,0.0,248,76,0,0,0.0,0.0,2018-10-07T15:30:00Z,0,13,0,0,0,0,8,0,1953,0,0,0.0,0,-25,31,56,64,True,0,Liverpool,Man City,5,4,2,7.958333333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,0,0,0.0,248,86,0,0,0.0,0.0,2018-10-20T16:30:00Z,0,10,0,0,0,0,9,0,2021,1,0,0.0,0,-27,45,72,64,False,0,Liverpool,Huddersfield,4,2,2,5.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,248,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,5,0,0,0,0,10,0,2024,1,4,0.0,0,-24,30,54,64,True,0,Liverpool,Cardiff,5,2,2,6.895833333333332,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,248,101,0,0,0.0,0.0,2018-11-03T17:30:00Z,0,1,0,0,0,0,11,0,2024,1,1,0.0,0,-21,30,51,64,False,0,Liverpool,Arsenal,4,4,2,6.145833333333332,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
