assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,3,0,14.1,476,9,0,0,1.7,2.4,2018-08-11T14:00:00Z,19,18,0,0,0,0,1,0,76058,0,2,0.0,1,0,0,0,70,False,0,Brighton,Watford,2,3,2,7.0,0,1.7,-2,0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,0,0,0.0,476,11,0,0,0.0,0.0,2018-08-19T15:00:00Z,0,14,0,0,0,0,2,0,68482,2,3,0.0,0,-11701,416,12117,70,True,0,Brighton,Man Utd,2,4,2,8.041666666666666,0,1.7,1,1,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,4,0,0.3,476,25,0,0,0.4,3.6,2018-08-25T16:30:00Z,14,12,0,0,0,0,3,0,57009,0,1,0.0,1,-11936,218,12154,69,False,0,Brighton,Liverpool,2,5,2,6.0625,0,0.0,-1,0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,1,0,0.8,476,31,0,0,0.2,1.2,2018-09-01T14:00:00Z,16,9,0,0,0,0,4,0,52110,2,2,0.0,1,-5573,219,5792,69,True,0,Brighton,Fulham,2,2,2,5.895833333333332,0,0.4,0,1,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,1,0,1.4,476,47,0,0,2.0,0.0,2018-09-17T19:00:00Z,19,16,0,0,0,0,5,0,48567,2,2,21.0,1,-3863,153,4016,68,False,0,Brighton,Southampton,2,2,2,5.0,0,0.2,0,0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,4,0,10.6,476,52,1,0,1.5,3.0,2018-09-22T16:30:00Z,17,17,0,0,0,0,6,0,46650,2,1,1.0,1,-2125,80,2205,68,True,0,Brighton,Spurs,2,4,2,4.895833333333333,0,2.0,-1,1,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
0,0,1,0,0.1,476,67,0,0,0.0,0.0,2018-09-29T14:00:00Z,12,13,0,0,0,0,7,0,45117,0,2,0.0,1,-1654,66,1720,68,False,0,Brighton,Man City,2,5,2,6.895833333333332,0,1.5,-2,0,0.0,0.0,0.2,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,1,1,1.8,476,71,0,0,1.4,0.8,2018-10-05T19:00:00Z,70,19,0,0,0,0,8,0,44136,0,1,11.0,2,-1063,82,1145,68,True,1,Brighton,West Ham,2,3,2,6.208333333333332,0,0.0,1,1,0.0,0.0,0.2,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,13,1,24.3,476,88,0,0,4.4,13.6,2018-10-20T14:00:00Z,90,15,0,0,0,0,9,0,43284,1,0,6.0,2,-950,179,1129,68,False,1,Brighton,Newcastle,2,3,2,5.0,0,1.4,1,0,0.0,0.2,0.2,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0,0
0,0,1,1,4.5,476,91,0,0,1.0,2.4,2018-10-27T14:00:00Z,90,20,0,0,0,0,10,0,43017,0,1,3.0,3,-373,188,561,68,True,0,Brighton,Wolves,2,3,2,7.0,0,4.4,1,1,0.0,0.4,0.2,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,1,0,0
0,0,2,0,0.8,476,105,3,0,4.9,17.0,2018-11-03T15:00:00Z,90,8,0,0,0,0,11,0,42470,1,3,31.0,2,-595,104,699,67,False,0,Brighton,Everton,2,3,2,6.041666666666668,0,1.0,-2,0,0.0,0.6,0.2,0.0,55.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,0
0,0,0,0,0.0,476,112,0,0,0.0,0.0,2018-11-10T12:30:00Z,0,5,0,0,0,0,12,0,41185,1,2,0.0,0,-1301,32,1333,67,False,0,Brighton,Cardiff,2,2,2,6.895833333333332,0,4.9,-1,0,0.0,0.6,0.6,0.0,70.4,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,1,0,0
0,0,0,0,0.0,476,122,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,11,0,0,0,0,13,0,40001,1,1,0.0,0,-1192,21,1213,67,True,0,Brighton,Leicester,2,3,2,5.0,0,0.0,0,1,0.0,0.6,0.6,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,0
0,0,0,0,0.0,476,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,10,0,0,0,0,14,0,39487,2,1,0.0,0,-548,6,554,67,False,0,Brighton,Huddersfield,2,2,2,7.0,0,0.0,1,0,0.0,0.4,0.6,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,0,0,0.0,476,142,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,7,0,0,0,0,15,0,39103,1,3,0.0,0,-406,11,417,67,True,0,Brighton,Crystal Palace,2,2,2,3.1979166666666665,0,0.0,2,1,0.0,0.2,0.6,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,0,0,0.0,476,153,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,4,0,0,0,0,16,0,38691,0,1,0.0,0,-416,16,432,67,False,0,Brighton,Burnley,2,3,2,3.8020833333333335,0,0.0,-1,0,0.0,0.0,0.6,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
