assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,1,31,1,0.0,468,5,0,0,1.8,17.6,2018-08-12T12:30:00Z,90,19,0,0,0,0,1,2,629624,0,4,0.0,7,0,0,0,55,True,0,Liverpool,West Ham,5,3,0,7.0,1,1.8,4,1,0.0,1.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,24,1,0.0,468,15,0,0,1.6,16.2,2018-08-20T19:00:00Z,90,7,0,0,0,0,2,2,735029,2,0,0.0,6,-59,27174,27233,55,False,0,Liverpool,Crystal Palace,4,2,0,8.270833333333334,1,1.8,2,0,0.0,1.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,25,1,0.0,468,25,0,0,2.0,20.4,2018-08-25T16:30:00Z,90,3,0,0,0,0,3,2,864902,0,1,0.0,6,64025,100697,36672,55,True,0,Liverpool,Brighton,5,2,0,4.895833333333333,0,1.6,1,1,0.0,1.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,15,0,0.0,468,37,1,0,1.9,19.2,2018-09-01T11:30:00Z,90,11,0,0,0,0,4,4,1022258,2,1,0.0,3,91960,121377,29417,56,False,0,Liverpool,Leicester,4,3,0,5.791666666666668,0,2.0,1,0,0.0,1.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1,0,0
0,0,14,0,0.0,468,48,1,0,1.6,16.4,2018-09-15T11:30:00Z,90,17,0,0,0,0,5,2,1041515,2,1,0.0,2,-8604,47269,55873,56,False,0,Liverpool,Spurs,4,4,0,5.0,0,1.9,1,0,0.0,0.75,0.25,0.0,90.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,22,1,0.0,468,58,0,0,1.2,12.4,2018-09-22T14:00:00Z,90,16,0,0,0,0,6,1,1071394,0,3,0.0,6,8203,36786,28583,56,True,0,Liverpool,Southampton,5,2,0,7.104166666666668,0,1.6,3,1,0.0,0.6,0.4,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,15,0,0.0,468,64,1,0,2.5,24.6,2018-09-29T16:30:00Z,90,6,0,0,0,0,7,3,1065686,1,1,0.0,3,-12165,18061,30226,56,False,0,Liverpool,Chelsea,4,4,0,7.104166666666668,0,1.2,0,0,0.0,0.6,0.4,0.0,90.0,2.2,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,27,1,0.0,468,76,0,0,2.3,23.0,2018-10-07T15:30:00Z,90,13,0,0,0,0,8,2,1065712,0,0,0.0,6,-7980,17685,25665,56,True,0,Liverpool,Man City,5,4,0,7.958333333333332,0,2.5,0,1,0.0,0.4,0.6,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,21,1,0.0,468,86,0,0,1.3,13.2,2018-10-20T16:30:00Z,90,10,0,0,0,0,9,1,1133790,1,0,0.0,6,45842,63540,17698,56,False,0,Liverpool,Huddersfield,4,2,0,5.0,0,2.3,1,0,0.0,0.4,0.6,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,9,0,0.0,468,96,1,0,0.4,3.8,2018-10-27T14:00:00Z,90,5,0,0,0,0,10,0,1200807,1,4,0.0,2,55081,66904,11823,56,True,0,Liverpool,Cardiff,5,2,0,6.895833333333332,0,1.3,3,1,0.0,0.6,0.4,0.0,90.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
