assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,119,4,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,10,0,0,0,0,1,0,61061,3,0,0.0,0,0,0,0,55,False,0,Chelsea,Huddersfield,4,2,1,7.0,0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,0,0,0.0,119,14,0,0,0.0,0.0,2018-08-18T16:30:00Z,0,1,0,0,0,0,2,0,50131,2,3,0.0,0,-15149,558,15707,54,True,0,Chelsea,Arsenal,4,4,1,7.104166666666668,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,0,0,0.0,119,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,15,0,0,0,0,3,0,38570,2,1,0.0,0,-12822,350,13172,53,False,0,Chelsea,Newcastle,4,3,1,7.9375,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,119,34,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,2,0,0,0,0,4,0,33401,0,2,0.0,0,-6340,319,6659,52,True,0,Chelsea,Bournemouth,4,2,1,4.958333333333333,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,0,0
0,0,0,0,0.0,119,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,5,0,0,0,0,5,0,30246,1,4,0.0,0,-3859,284,4143,52,True,0,Chelsea,Cardiff,4,2,1,5.0,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1,0,0
0,0,0,0,0.0,119,60,0,0,0.0,0.0,2018-09-23T12:30:00Z,0,19,0,0,0,0,6,0,28771,0,0,0.0,0,-1915,168,2083,51,False,0,Chelsea,West Ham,4,3,1,7.9375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,119,64,0,0,0.0,0.0,2018-09-29T16:30:00Z,0,12,0,0,0,0,7,0,27284,1,1,0.0,0,-1745,172,1917,51,True,0,Chelsea,Liverpool,4,4,1,6.166666666666668,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
0,0,0,0,0.0,119,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,16,0,0,0,0,8,0,25983,3,0,0.0,0,-1401,60,1461,51,False,0,Chelsea,Southampton,4,2,1,7.864583333333332,0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,0,0,0.0,119,84,0,0,0.0,0.0,2018-10-20T11:30:00Z,0,14,0,0,0,0,9,0,25542,2,2,0.0,0,-742,200,942,50,True,0,Chelsea,Man Utd,4,4,1,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,0,0,0.0,119,92,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,4,0,0,0,0,10,0,25191,4,0,0.0,0,-464,94,558,50,False,0,Chelsea,Burnley,4,3,1,8.083333333333334,0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,0,0,0.0,119,104,0,0,0.0,0.0,2018-11-04T16:00:00Z,0,7,0,0,0,0,11,0,24866,1,3,0.0,0,-438,116,554,50,True,0,Chelsea,Crystal Palace,4,2,1,6.104166666666668,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
