assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,452,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,4,0,0,0,0,1,0,12989,0,0,0.0,0,0,0,0,45,True,0,Southampton,Burnley,2,2,0,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,452,16,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,8,0,0,0,0,2,0,12587,1,2,0.0,0,-1127,60,1187,45,False,0,Southampton,Everton,2,3,0,6.0625,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,452,28,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,11,0,0,0,0,3,0,11610,2,1,0.0,0,-1171,39,1210,45,True,0,Southampton,Leicester,2,3,0,7.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,0,0,0.0,452,35,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,7,0,0,0,0,4,0,11033,2,0,0.0,0,-708,51,759,44,False,0,Southampton,Crystal Palace,2,2,0,6.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,0,0,0.0,452,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,3,0,0,0,0,5,0,10550,2,2,0.0,0,-566,92,658,44,True,0,Southampton,Brighton,2,2,0,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,452,58,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,10173,0,3,0.0,0,-394,28,422,44,False,0,Southampton,Liverpool,2,5,0,4.791666666666667,0,0.0,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,452,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,20,0,0,0,0,7,0,9884,0,2,0.0,0,-314,18,332,44,False,0,Southampton,Wolves,2,3,0,7.0,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,0,0,0.0,452,78,0,0,0.0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,9653,3,0,0.0,0,-251,20,271,44,True,0,Southampton,Chelsea,2,4,0,7.96875,0,0.0,-3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,0,0,0.0,452,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,2,0,0,0,0,9,0,9416,0,0,0.0,0,-252,31,283,44,False,0,Southampton,Bournemouth,2,3,0,5.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0,0
0,0,0,0,0.0,452,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,15,0,0,0,0,10,0,9216,0,0,0.0,0,-203,21,224,44,True,0,Southampton,Newcastle,2,2,0,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0,0
0,0,0,0,0.0,452,107,0,0,0.0,0.0,2018-11-04T15:00:00Z,0,13,0,0,0,0,11,0,9112,1,6,0.0,0,-128,52,180,43,False,0,Southampton,Man City,2,5,0,7.041666666666668,0,0.0,-5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0,0
