assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,3,35,1,11.9,118,4,0,0,5.4,20.6,2018-08-11T14:00:00Z,90,10,0,0,0,0,1,0,135804,3,0,21.0,9,0,0,0,60,False,0,Chelsea,Huddersfield,4,2,1,7.0,3,5.4,3,0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,14,0,21.8,118,14,2,0,3.5,12.8,2018-08-18T16:30:00Z,90,1,0,0,0,0,2,0,165355,2,3,0.0,1,4749,13876,9127,60,True,0,Chelsea,Arsenal,4,4,1,7.104166666666668,3,5.4,1,1,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,13,0,3.8,118,27,1,0,2.3,8.4,2018-08-26T15:00:00Z,90,15,0,0,0,0,3,0,157143,2,1,11.0,2,-12684,7842,20526,60,False,0,Chelsea,Newcastle,4,3,1,7.9375,0,3.5,1,0,0.0,0.5,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,27,1,8.6,118,34,0,0,2.9,11.2,2018-09-01T14:00:00Z,90,2,0,0,0,0,4,0,154832,0,2,9.0,6,-7214,6402,13616,60,True,0,Chelsea,Bournemouth,4,2,1,4.958333333333333,0,2.3,2,1,0.0,0.3333333333333333,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,0,0
0,0,15,0,11.5,118,42,1,0,5.0,20.0,2018-09-15T14:00:00Z,90,5,0,0,0,0,5,0,158381,1,4,18.0,2,-752,9304,10056,60,True,0,Chelsea,Cardiff,4,2,1,5.0,0,2.9,3,1,0.0,0.5,0.75,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1,0,0
0,0,26,1,1.9,118,60,0,0,2.4,15.4,2018-09-23T12:30:00Z,68,19,0,0,0,0,6,0,154283,0,0,7.0,6,-5294,3362,8656,60,False,0,Chelsea,West Ham,4,3,1,7.9375,0,5.0,0,0,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,15,0,0.5,118,64,1,0,2.0,19.2,2018-09-29T16:30:00Z,90,12,0,0,0,0,7,0,137678,1,1,0.0,2,-16642,1297,17939,60,True,0,Chelsea,Liverpool,4,4,1,6.166666666666668,0,2.4,0,1,0.0,0.4,0.8,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
0,0,26,1,2.0,118,78,0,0,8.4,31.2,2018-10-07T13:15:00Z,90,16,0,0,0,0,8,0,144196,3,0,51.0,6,3190,7423,4233,59,False,0,Chelsea,Southampton,4,2,1,7.864583333333332,0,2.0,3,0,0.0,0.4,0.6,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
1,2,33,0,3.9,118,84,2,1,11.7,52.8,2018-10-20T11:30:00Z,90,14,0,0,0,0,9,0,136018,2,2,60.0,11,-8288,3316,11604,59,True,1,Chelsea,Man Utd,4,4,1,5.0,0,8.4,0,1,0.0,0.6,0.4,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,30,1,10.6,118,92,0,0,3.7,26.4,2018-10-28T13:30:00Z,90,4,0,0,0,0,10,0,194647,4,0,0.0,6,47263,51418,4155,59,False,0,Chelsea,Burnley,4,3,1,8.083333333333334,2,11.7,4,0,0.2,0.4,0.8,0.2,85.6,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1,0,0
0,0,14,0,0.9,118,104,1,0,2.5,16.0,2018-11-04T16:00:00Z,90,7,0,0,0,0,11,0,250186,1,3,8.0,2,49984,58184,8200,60,True,0,Chelsea,Crystal Palace,4,2,1,6.104166666666668,0,3.7,2,1,0.2,0.6,0.6,0.2,85.6,0.0,0.0,0.0,0.0,0.0,0.2,1.4,1,0,0
0,0,22,1,3.8,118,113,0,0,1.3,9.0,2018-11-11T14:15:00Z,90,8,0,0,0,0,12,0,261573,0,0,0.0,5,11272,24516,13244,60,True,1,Chelsea,Everton,4,2,1,6.927083333333332,0,2.5,0,1,0.2,0.4,0.8,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,1,0,0
0,0,7,0,0.4,118,127,3,0,1.5,12.2,2018-11-24T17:30:00Z,90,17,0,0,0,0,13,0,301844,1,3,2.0,0,35769,49694,13925,60,False,1,Chelsea,Spurs,4,4,1,5.0,0,1.3,-2,0,0.2,0.6,0.6,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,1,0,0
0,1,29,1,0.3,118,133,0,0,2.3,22.8,2018-12-02T12:00:00Z,90,9,0,0,0,0,14,0,304758,0,2,0.0,7,1626,16993,15367,60,True,0,Chelsea,Fulham,4,2,1,7.770833333333332,0,1.5,2,1,0.2,0.4,1.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1,0,0
0,0,14,0,4.0,118,148,2,0,2.8,16.0,2018-12-05T19:45:00Z,90,20,0,0,0,0,15,0,311938,1,2,8.0,1,5994,14364,8370,60,False,0,Chelsea,Wolves,4,3,1,3.3229166666666665,1,2.3,-1,0,0.0,0.6,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1,0,0
0,0,25,1,0.0,118,155,0,0,1.5,14.8,2018-12-08T17:30:00Z,90,13,0,0,0,0,16,0,297383,0,2,0.0,6,-12731,7324,20055,60,True,0,Chelsea,Man City,4,4,1,2.90625,0,2.8,2,1,0.0,0.4,1.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1,0,0
