assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,16,0,0.7,410,5,4,0,2.2,21.0,2018-08-12T12:30:00Z,90,12,0,0,0,0,1,0,113838,0,4,0.0,2,0,0,0,45,False,0,West Ham,Liverpool,3,5,1,7.0,0,2.2,-4,0,0.0,0.0,4.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1,0,0
0,0,10,0,3.0,410,20,2,0,2.9,24.4,2018-08-18T14:00:00Z,90,2,0,0,0,0,2,0,118355,2,1,2.0,2,-1875,8562,10437,45,True,0,West Ham,Bournemouth,3,2,1,6.0625,0,2.2,-1,1,0.0,0.0,4.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1,0,0
0,0,25,0,15.3,410,21,3,0,5.5,37.4,2018-08-25T14:00:00Z,90,1,0,0,0,0,3,0,116309,1,3,2.0,2,-4512,12519,17031,45,False,0,West Ham,Arsenal,3,4,1,7.0,0,2.9,-2,0,0.0,0.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1,0,0
0,0,0,0,0.0,410,40,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,20,0,0,0,0,4,0,123896,1,0,0.0,0,4468,18598,14130,45,True,0,West Ham,Wolves,3,3,1,6.0,0,5.5,-1,1,0.0,0.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.333333333333333,1,0,0
0,0,13,0,21.9,410,43,1,0,3.9,16.6,2018-09-16T15:00:00Z,90,8,0,0,0,0,5,0,109661,3,1,0.0,1,-13460,2000,15460,45,False,1,West Ham,Everton,3,3,1,5.0,0,0.0,2,0,0.0,0.0,2.25,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,12,1,5.6,410,60,0,0,3.2,26.6,2018-09-23T12:30:00Z,90,6,0,0,0,0,6,0,100819,0,0,0.0,3,-9234,1247,10481,45,True,0,West Ham,Chelsea,3,4,1,6.895833333333332,0,3.9,0,1,0.0,0.0,2.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1,0,0
0,0,22,0,3.4,410,69,1,0,3.0,26.6,2018-09-29T11:30:00Z,90,14,0,0,0,0,7,0,105139,1,3,0.0,2,2320,8552,6232,44,True,0,West Ham,Man Utd,3,4,1,5.958333333333332,0,3.2,2,1,0.0,0.2,1.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0,0
0,0,10,0,4.3,410,71,1,0,2.3,11.0,2018-10-05T19:00:00Z,90,3,0,0,0,0,8,0,120976,0,1,8.0,2,13294,18989,5695,44,False,0,West Ham,Brighton,3,2,1,6.3125,0,3.0,-1,0,0.0,0.2,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,0
0,0,0,0,0.0,410,89,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,17,0,0,0,0,9,0,115646,1,0,0.0,0,-3025,9420,12445,44,True,0,West Ham,Spurs,3,4,1,5.0,0,2.3,-1,1,0.0,0.2,0.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,11,0,0.8,410,95,1,0,2.1,18.0,2018-10-27T16:30:00Z,90,11,0,0,0,0,10,0,108937,1,1,2.0,2,-6715,1826,8541,44,False,0,West Ham,Leicester,3,3,1,7.104166666666668,0,0.0,0,0,0.0,0.2,0.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
