assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,18,0,0.1,273,1,4,0,3.1,23.8,2019-08-09T19:00:00Z,90,10,0,0,0,0,1,0,13966,1,4,7.0,0,0,0,0,45,False,0,Norwich,Liverpool,2,5,1,7.0,0,3.1,-3,0,0.0,0.0,4.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1,0
0,0,18,0,0.3,273,17,1,0,1.8,17.8,2019-08-17T14:00:00Z,90,13,0,0,0,0,2,0,14605,1,3,0.0,2,-1009,626,1635,45,True,0,Norwich,Newcastle,2,2,1,7.791666666666668,0,3.1,2,1,0.0,0.0,4.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1,0
0,0,19,0,0.4,273,26,3,0,3.6,29.6,2019-08-24T11:30:00Z,90,6,0,0,0,0,3,0,14814,3,2,6.0,1,-556,826,1382,45,True,0,Norwich,Chelsea,2,4,1,6.895833333333332,0,1.8,-1,1,0.0,0.0,2.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0
0,0,15,0,1.4,273,40,2,0,2.0,18.2,2019-08-31T14:00:00Z,90,19,0,0,0,0,4,0,16859,0,2,0.0,1,910,2356,1446,45,False,0,Norwich,West Ham,2,2,1,7.104166666666668,0,3.6,-2,0,0.0,0.0,2.6666666666666665,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0
0,0,17,0,0.0,273,46,2,0,3.3,32.6,2019-09-14T16:30:00Z,90,11,0,0,0,0,5,0,15849,2,3,0.0,1,-1371,814,2185,45,True,0,Norwich,Man City,2,4,1,5.0,0,2.0,1,1,0.0,0.0,2.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,16,0,0.4,273,52,2,0,1.4,14.0,2019-09-21T14:00:00Z,90,5,0,0,0,0,6,0,18076,0,2,0.0,1,1366,2446,1080,45,False,0,Norwich,Burnley,2,3,1,6.895833333333332,0,3.3,-2,0,0.0,0.0,2.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,18,0,2.3,273,64,2,0,2.8,25.6,2019-09-28T14:00:00Z,90,7,0,0,0,0,7,0,18107,0,2,0.0,1,-291,1105,1396,45,False,0,Norwich,Crystal Palace,2,3,1,7.0,0,1.4,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,13,0,0.5,273,77,5,0,2.3,21.0,2019-10-05T14:00:00Z,90,2,0,0,0,0,8,0,18977,5,1,1.0,0,415,1513,1098,45,True,0,Norwich,Aston Villa,2,2,1,7.0,0,2.8,-4,1,0.0,0.0,2.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,7,0,0.2,273,82,0,0,1.0,9.6,2019-10-19T14:00:00Z,49,3,0,0,0,0,9,0,16270,0,0,0.0,1,-2543,127,2670,45,False,0,Norwich,Bournemouth,2,2,1,5.0,0,2.3,0,0,0.0,0.0,2.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1,0
0,0,15,0,0.4,273,97,3,0,1.3,12.4,2019-10-27T16:30:00Z,90,12,0,0,0,0,10,0,15398,3,1,0.0,0,-983,38,1021,45,True,1,Norwich,Man Utd,2,4,1,8.104166666666666,0,1.0,-2,1,0.0,0.0,2.2,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,23,0,0.9,273,104,2,0,3.2,31.4,2019-11-02T15:00:00Z,90,4,0,0,0,0,11,0,15349,0,2,0.0,1,-271,452,723,45,False,0,Norwich,Brighton,2,2,1,4.9375,0,1.3,-2,0,0.0,0.0,2.4,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.2,-2.0,1,0
0,0,12,0,3.8,273,117,2,0,3.0,24.4,2019-11-08T20:00:00Z,90,18,0,0,0,0,12,0,15351,2,0,2.0,1,-165,471,636,45,True,0,Norwich,Watford,2,2,1,6.208333333333332,0,3.2,-2,1,0.0,0.0,2.4,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.2,-2.0,1,0
0,0,23,1,0.3,273,126,0,0,2.2,21.8,2019-11-23T15:00:00Z,90,8,0,0,0,0,13,0,14841,2,0,0.0,6,-605,252,857,44,False,0,Norwich,Everton,2,4,1,5.0,0,3.0,2,0,0.0,0.0,2.4,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.2,-2.0,1,0
0,0,15,0,0.3,273,137,2,0,3.2,31.6,2019-12-01T14:00:00Z,90,1,0,0,0,0,14,0,15321,2,2,0.0,1,324,758,434,44,True,0,Norwich,Arsenal,2,3,1,7.958333333333332,0,2.2,0,1,0.0,0.2,1.4,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
0,0,16,0,1.1,273,150,2,0,2.9,23.8,2019-12-04T19:30:00Z,90,16,0,0,0,0,15,0,15366,1,2,4.0,1,12,348,336,44,False,0,Norwich,Southampton,2,2,1,3.2291666666666665,0,3.2,-1,0,0.0,0.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
0,0,7,0,0.9,273,157,2,0,2.4,1.6,2019-12-08T14:00:00Z,90,15,0,0,0,0,16,0,15462,2,1,21.0,1,2,469,467,44,True,0,Norwich,Sheffield Utd,2,3,1,3.7708333333333335,0,2.9,-1,1,0.0,0.2,1.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,14,0,3.3,273,165,1,0,2.3,19.2,2019-12-14T15:00:00Z,90,9,0,0,0,0,17,0,15296,1,1,0.0,2,-225,383,608,44,False,0,Norwich,Leicester,2,3,1,6.041666666666668,0,2.4,0,0,0.0,0.2,1.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,0,0,0.0,273,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,20,0,0,0,0,18,0,14826,2,1,0.0,0,-572,443,1015,44,True,0,Norwich,Wolves,2,4,1,7.0,0,2.3,-1,1,0.0,0.2,1.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0,0.0,273,181,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,2,0,0,0,0,19,0,13544,0,1,0.0,0,-1296,12,1308,44,False,0,Norwich,Aston Villa,2,2,1,5.0,0,0.0,-1,0,0.0,0.0,1.4,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,0,0,0.0,273,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,17,0,0,0,0,20,0,12952,2,2,0.0,0,-619,6,625,44,True,0,Norwich,Spurs,2,3,1,2.1041666666666665,0,0.0,0,1,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,0,0,0.0,273,207,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,7,0,0,0,0,21,0,12276,1,1,0.0,0,-691,21,712,44,True,0,Norwich,Crystal Palace,2,3,1,8.0,0,0.0,0,1,0.0,0.0,0.6,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,0,0,0.0,273,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,12,0,0,0,0,22,0,11690,0,4,0.0,0,-597,33,630,44,False,0,Norwich,Man Utd,2,4,1,9.895833333333334,0,0.0,-4,0,0.0,0.0,0.2,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,13,1,1.3,273,227,0,0,1.1,9.4,2020-01-18T15:00:00Z,75,3,0,0,0,1,23,0,11415,0,1,0.0,3,-293,64,357,44,True,0,Norwich,Bournemouth,2,2,1,7.0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,0,0,0.0,273,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,17,0,0,0,0,24,0,11164,1,2,0.0,0,-237,10,247,44,False,0,Norwich,Spurs,2,4,1,4.1875,0,1.1,-1,0,0.0,0.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.8,1,0
0,0,0,0,0.0,273,247,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,13,0,0,0,0,25,0,10870,0,0,0.0,0,-313,4,317,44,False,0,Norwich,Newcastle,2,2,1,8.8125,0,0.0,0,0,0.0,0.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.8,1,0
0,0,0,0,0.0,273,257,0,0,0.0,0.0,2020-02-15T17:30:00Z,0,10,0,0,0,0,26,0,10867,1,0,0.0,0,-30,46,76,44,True,0,Norwich,Liverpool,2,4,1,5.0,0,0.0,-1,1,0.0,0.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.8,1,0
0,0,9,0,2.0,273,270,3,0,3.2,12.6,2020-02-23T14:00:00Z,90,20,0,0,0,0,27,0,10901,0,3,17.0,0,-12,92,104,44,False,1,Norwich,Wolves,2,3,1,7.854166666666668,0,0.0,-3,0,0.0,0.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.2,0.0,-1.0,1,0
0,0,26,1,0.3,273,277,0,0,3.5,17.8,2020-02-28T20:00:00Z,90,9,0,0,0,0,28,0,10967,0,1,17.0,6,18,116,98,44,True,0,Norwich,Leicester,2,3,1,5.25,0,3.2,1,1,0.0,0.2,0.6,0.0,33.0,0.0,0.0,0.0,0.0,0.2,0.2,-0.8,1,0
0,0,17,0,0.6,273,288,1,0,4.7,29.4,2020-03-07T15:00:00Z,90,15,0,0,0,0,29,0,11121,0,1,17.0,2,106,207,101,44,False,0,Norwich,Sheffield Utd,2,3,1,8.791666666666666,0,3.5,-1,0,0.0,0.2,0.6,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
0,0,12,0,0.0,273,297,3,0,2.6,25.8,2020-06-19T17:00:00Z,90,16,0,0,0,0,39,0,11505,3,0,0.0,1,223,669,446,44,True,0,Norwich,Southampton,2,3,1,7.0,0,4.7,-3,1,0.0,0.2,0.8,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
0,0,13,0,0.8,273,307,1,0,1.6,14.8,2020-06-24T17:00:00Z,90,8,0,0,0,0,40,0,11574,1,0,0.0,2,-2,196,198,44,True,0,Norwich,Everton,2,2,1,5.0,0,2.6,-1,1,0.0,0.2,1.4,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,1,0
0,0,12,0,11.7,273,311,4,0,2.4,9.8,2020-07-01T17:00:00Z,90,1,0,0,0,0,41,0,11584,0,4,2.0,0,-42,73,115,44,False,0,Norwich,Arsenal,2,4,1,7.0,0,1.6,-4,0,0.0,0.2,1.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,1,0
0,0,19,0,21.0,273,327,1,0,4.8,27.0,2020-07-04T11:30:00Z,90,4,0,0,0,0,42,0,11967,1,0,0.0,2,295,461,166,44,True,0,Norwich,Brighton,2,2,1,2.770833333333333,0,2.4,-1,1,0.0,0.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,0,17,0,1.1,273,339,2,0,2.0,19.0,2020-07-07T17:00:00Z,90,18,0,0,0,0,43,0,12113,1,2,0.0,0,132,353,221,44,False,1,Norwich,Watford,2,3,1,3.2291666666666665,0,4.8,-1,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,15,0,0.9,273,346,4,0,2.1,20.0,2020-07-11T11:30:00Z,90,19,0,0,0,0,44,0,12149,4,0,0.0,0,4,267,263,44,True,0,Norwich,West Ham,2,2,1,3.7708333333333335,0,2.0,-4,1,0.0,0.0,2.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.0,1,0
0,0,12,0,0.4,273,353,1,0,0.7,6.6,2020-07-14T19:15:00Z,90,6,0,0,0,0,45,0,12061,0,1,0.0,2,-111,156,267,44,False,0,Norwich,Chelsea,2,4,1,3.3229166666666665,0,2.1,-1,0,0.0,0.0,2.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.2,1,0
0,0,3,0,0.2,273,366,2,0,4.7,21.8,2020-07-18T16:30:00Z,90,5,1,0,0,0,46,0,12372,2,0,25.0,-1,184,337,153,44,True,0,Norwich,Burnley,2,3,1,3.8854166666666665,0,0.7,-2,1,0.0,0.0,2.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.2,1,0
0,0,13,0,0.1,273,377,5,0,3.1,30.4,2020-07-26T15:00:00Z,90,11,0,0,0,0,47,0,12109,0,5,0.0,0,-226,141,367,44,False,0,Norwich,Man City,2,4,1,7.9375,0,4.7,-5,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.2,0.0,0.0,0.2,-1.8,1,0
0,0,8,0,10.4,566,41,1,0,3.1,20.4,2020-10-17T11:30:00Z,59,11,0,0,0,0,5,0,1969,2,2,0.0,1,1331,1646,315,50,True,0,Everton,Liverpool,3,4,1,7.0,0,3.1,0,1,0.0,0.0,2.8,0.0,90.0,0.0,0.0,0.2,0.0,0.0,0.2,-2.6,0,1
0,0,12,0,1.5,566,56,2,0,1.3,11.0,2020-10-25T14:00:00Z,90,16,0,0,0,0,6,0,3887,0,2,0.0,1,1469,1934,465,50,False,0,Everton,Southampton,4,2,1,8.104166666666666,0,3.1,-2,0,0.0,0.0,2.6,0.0,83.8,0.0,0.0,0.2,0.0,0.0,0.0,-2.4,0,1
0,0,0,0,0.0,566,65,0,0,0.0,0.0,2020-11-01T14:00:00Z,0,14,0,0,0,0,7,0,5307,1,2,0.0,0,1028,1526,498,50,False,0,Everton,Newcastle,4,2,1,6.0,0,1.3,-1,0,0.0,0.0,2.2,0.0,83.8,0.0,0.0,0.2,0.0,0.0,0.0,-2.0,0,1
0,0,0,0,0.0,566,73,0,0,0.0,0.0,2020-11-07T12:30:00Z,0,13,0,0,0,0,8,0,3894,3,1,0.0,0,-1346,198,1544,50,True,0,Everton,Man Utd,3,4,1,5.9375,0,0.0,-2,1,0.0,0.0,2.0,0.0,65.8,0.0,0.0,0.2,0.0,0.0,0.0,-2.0,0,1
0,0,11,0,4.8,566,81,2,0,1.3,8.6,2020-11-22T12:00:00Z,90,8,0,0,0,0,9,0,4175,3,2,0.0,1,-105,558,663,50,False,0,Everton,Fulham,4,2,1,5.0,0,0.0,1,0,0.0,0.0,1.6,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1
0,0,12,0,1.1,566,93,1,0,2.6,24.8,2020-11-28T17:30:00Z,90,10,0,0,0,0,10,0,4834,1,0,0.0,2,401,804,403,50,True,0,Everton,Leeds,3,3,1,6.229166666666668,0,1.3,-1,1,0.0,0.0,1.0,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0,1
0,0,24,0,2.5,566,101,1,0,2.8,25.0,2020-12-05T12:30:00Z,90,4,0,0,0,0,11,0,6661,1,1,0.0,2,1205,1964,759,50,False,0,Everton,Burnley,4,2,1,6.791666666666668,0,2.6,0,0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1
0,1,26,1,1.0,566,111,0,0,1.5,14.2,2020-12-12T20:00:00Z,90,5,0,0,0,0,12,0,5761,0,1,0.0,7,-620,501,1121,50,True,0,Everton,Chelsea,3,4,1,7.3125,0,2.8,1,1,0.0,0.0,0.8,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0,1
0,0,17,1,1.6,566,123,0,0,0.9,7.8,2020-12-16T18:00:00Z,90,9,0,0,0,0,13,0,7087,2,0,0.0,5,1053,1512,459,50,False,1,Everton,Leicester,4,4,1,3.9166666666666665,1,1.5,2,0,0.0,0.2,0.8,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,17,0,5.5,566,133,1,0,2.8,20.6,2020-12-19T17:30:00Z,90,1,0,0,0,0,14,0,10672,1,2,2.0,2,3224,3890,666,50,True,0,Everton,Arsenal,3,3,1,2.9791666666666665,0,0.9,1,1,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0,1
0,0,22,1,2.3,566,146,0,0,3.2,12.2,2020-12-26T20:00:00Z,90,15,0,0,0,0,15,0,18416,1,0,17.0,5,6633,8400,1767,50,False,1,Everton,Sheffield Utd,4,2,1,7.104166666666668,0,2.8,1,0,0.0,0.4,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0,1
0,0,10,0,5.7,566,163,1,0,1.4,8.0,2021-01-01T17:30:00Z,90,19,0,0,0,0,17,0,23570,1,0,0.0,1,3833,5939,2106,50,True,1,Everton,West Ham,3,4,1,9.895833333333334,0,3.2,-1,1,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0,1
0,0,8,0,1.4,566,176,1,0,1.5,13.8,2021-01-12T20:15:00Z,90,20,0,0,0,0,18,0,27249,2,1,0.0,2,403,4653,4250,50,False,0,Everton,Wolves,4,3,1,5.0,0,1.4,1,0,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0,1
0,0,14,0,0.8,566,191,1,0,2.9,28.2,2021-01-27T20:15:00Z,90,9,0,0,0,0,20,0,18310,1,1,0.0,2,-1915,639,2554,50,True,0,Everton,Leicester,3,4,1,5.0,0,1.5,0,1,0.0,0.4,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0,1
0,0,0,0,0.0,566,203,0,0,0.0,0.0,2021-01-30T12:30:00Z,0,14,0,0,0,0,21,0,18569,2,0,0.0,0,65,1211,1146,50,True,0,Everton,Newcastle,3,2,1,2.677083333333333,0,2.9,-2,1,0.0,0.2,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0,1
1,0,21,0,10.8,566,212,1,0,5.2,35.2,2021-02-03T19:30:00Z,90,10,0,0,0,0,22,0,16968,2,1,6.0,4,-1665,282,1947,50,False,1,Everton,Leeds,4,3,1,3.2916666666666665,0,0.0,1,0,0.0,0.2,0.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,0,1
0,0,13,0,0.6,566,224,3,0,1.3,10.2,2021-02-06T20:00:00Z,90,13,0,0,0,0,23,0,17664,3,3,2.0,1,436,1512,1076,50,False,0,Everton,Man Utd,4,4,1,3.020833333333333,0,5.2,0,0,0.2,0.0,0.8,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,0,1
0,0,13,0,1.2,566,233,2,0,3.9,20.0,2021-02-14T19:00:00Z,90,8,0,0,0,0,24,0,25145,2,0,18.0,1,5988,7549,1561,50,True,0,Everton,Fulham,3,2,1,7.958333333333332,0,1.3,-2,1,0.2,0.0,1.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,1
0,0,9,0,0.9,566,153,3,0,2.5,23.6,2021-02-17T20:15:00Z,90,12,0,0,0,0,24,0,25145,3,1,0.0,1,5988,7549,1561,50,True,0,Everton,Man City,3,4,1,3.052083333333333,0,3.9,-2,1,0.2,0.0,1.4,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,0,1
0,0,23,1,0.1,566,244,0,0,2.3,20.6,2021-02-20T17:30:00Z,90,11,0,0,0,0,25,0,23392,2,0,2.0,6,-928,1661,2589,50,False,0,Everton,Liverpool,4,3,1,2.8854166666666665,0,2.5,2,0,0.2,0.0,1.8,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,0,1
0,0,26,1,0.4,566,251,0,0,3.2,13.2,2021-03-01T20:00:00Z,90,16,0,0,0,0,26,0,36310,0,1,18.0,6,11547,13596,2049,50,True,0,Everton,Southampton,3,2,1,5.0,0,2.3,1,1,0.2,0.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0,1
