assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,2,1,10.9,618,246,0,0,6.4,23.4,2020-02-01T17:30:00Z,90,20,0,0,0,0,25,0,97885,0,0,30.0,2,94825,97066,2241,80,True,1,Man Utd,Wolves,4,4,2,7.0,0,6.4,0,1,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
1,0,17,1,41.6,618,254,0,0,6.9,23.6,2020-02-17T20:00:00Z,90,6,0,0,0,0,26,0,175675,2,0,4.0,6,77402,87568,10166,80,False,0,Man Utd,Chelsea,4,4,2,5.0,0,6.4,2,0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
1,3,51,1,55.4,618,267,0,1,15.5,68.4,2020-02-23T14:00:00Z,90,18,0,0,0,0,27,0,325748,0,3,31.0,14,145837,153618,7781,81,True,0,Man Utd,Watford,4,2,2,5.75,0,6.9,3,1,0.5,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1,0
0,3,26,0,24.5,618,274,1,1,13.3,51.6,2020-03-01T14:00:00Z,90,8,0,0,0,0,28,0,863003,1,1,57.0,10,449136,455077,5941,82,False,0,Man Utd,Everton,4,4,2,8.0,3,15.5,0,0,0.6666666666666666,1.0,0.0,0.3333333333333333,90.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,1,0
1,0,16,1,39.8,618,287,0,0,8.5,25.4,2020-03-08T16:30:00Z,87,11,0,0,0,0,29,0,1036914,0,2,20.0,6,264700,301795,37095,84,True,0,Man Utd,Man City,4,4,2,7.104166666666668,3,13.3,2,1,0.5,0.75,0.25,0.5,90.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,1,0
0,2,30,0,26.6,618,298,1,1,12.4,52.4,2020-06-19T19:15:00Z,90,17,0,0,0,0,39,0,1304122,1,1,45.0,9,45975,246920,200945,86,False,0,Man Utd,Spurs,4,4,2,7.0,0,8.5,0,0,0.6,0.8,0.2,0.4,89.4,0.0,0.0,0.0,0.0,0.0,0.2,1.4,1,0
0,0,12,1,21.0,618,305,0,0,5.7,12.8,2020-06-24T17:00:00Z,79,15,0,0,0,0,40,0,1557042,0,3,23.0,3,206767,217728,10961,87,True,0,Man Utd,Sheffield Utd,4,3,2,4.90625,2,12.4,3,1,0.6,0.6,0.4,0.6,89.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0
0,2,49,1,23.1,618,314,0,2,12.1,71.6,2020-06-30T19:15:00Z,63,4,0,0,0,0,41,0,1580556,3,0,26.0,15,34625,75068,40443,87,False,0,Man Utd,Brighton,4,2,2,6.09375,0,5.7,3,0,0.4,0.6,0.4,0.6,87.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0
2,2,53,0,75.5,618,325,2,1,18.9,83.6,2020-07-04T14:00:00Z,90,3,0,0,0,0,42,0,1833628,2,5,30.0,15,235138,253087,17949,88,True,0,Man Utd,Bournemouth,4,2,2,3.78125,2,12.1,3,1,0.2,0.6,0.4,0.8,81.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0
1,3,40,1,44.9,618,332,0,1,13.0,59.6,2020-07-09T19:15:00Z,70,2,0,0,0,0,43,0,2054665,3,0,25.0,14,218870,222742,3872,89,False,0,Man Utd,Aston Villa,4,2,2,5.21875,2,18.9,3,0,0.6,0.6,0.6,0.8,81.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0
1,0,20,0,24.8,618,345,1,0,5.0,21.4,2020-07-13T19:00:00Z,83,16,0,0,0,0,44,0,2217790,2,2,4.0,5,158122,162025,3903,90,True,0,Man Utd,Southampton,4,3,2,3.9895833333333335,3,13.0,0,1,0.6,0.6,0.6,1.0,78.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0
1,0,14,1,39.8,618,354,0,0,8.8,12.0,2020-07-16T19:15:00Z,90,7,0,0,0,0,45,0,2247036,2,0,36.0,6,45065,60196,15131,90,False,0,Man Utd,Crystal Palace,4,3,2,3.0104166666666665,0,5.0,2,0,0.8,0.6,0.6,0.8,77.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0
0,0,6,0,34.2,618,365,1,0,4.8,8.8,2020-07-22T17:00:00Z,90,19,0,0,0,0,46,0,2313386,1,1,5.0,1,45666,54545,8879,91,True,1,Man Utd,West Ham,4,2,2,5.90625,0,8.8,0,1,1.0,0.6,0.6,0.8,79.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0
0,3,30,1,17.2,618,376,0,1,7.9,37.2,2020-07-26T15:00:00Z,85,9,0,0,0,0,47,0,2062670,2,0,25.0,11,-144651,22026,166677,90,False,0,Man Utd,Leicester,4,3,2,3.9166666666666665,0,4.8,2,0,1.0,0.4,0.8,0.4,84.6,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1,0
0,0,13,0,78.4,302,15,3,0,12.9,25.6,2020-09-19T16:30:00Z,90,6,0,0,0,0,2,0,1623046,3,1,25.0,2,451998,525858,73860,105,True,0,Man Utd,Crystal Palace,4,2,2,7.0,3,7.9,-2,1,0.6,0.6,0.4,0.4,83.6,0.0,0.0,0.0,0.0,0.0,0.2,1.4,0,1
1,3,40,0,40.8,302,19,2,1,12.0,60.6,2020-09-26T11:30:00Z,90,3,0,0,0,0,3,0,1344788,3,2,19.0,12,-274258,80386,354644,105,False,1,Man Utd,Brighton,4,3,2,6.791666666666668,0,12.9,1,0,0.4,0.4,1.0,0.2,87.6,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0,1
0,0,21,0,16.6,302,35,4,1,7.5,35.4,2020-10-04T15:30:00Z,45,17,0,0,0,0,4,0,1473422,6,1,23.0,6,76237,187021,110784,105,True,0,Man Utd,Spurs,4,3,2,8.166666666666666,3,12.0,-5,1,0.4,0.4,1.2,0.4,89.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0,1
1,3,49,0,78.7,302,45,1,1,22.0,85.4,2020-10-17T19:00:00Z,90,14,0,1,0,0,5,0,1508759,4,1,56.0,11,-1258,192662,193920,105,False,0,Man Utd,Newcastle,4,2,2,5.0,0,7.5,3,0,0.2,0.2,2.0,0.6,80.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,0,1
0,0,14,1,60.9,302,55,0,0,9.6,18.6,2020-10-24T16:30:00Z,90,5,0,0,0,0,6,0,1609144,0,0,16.0,3,85046,163779,78733,105,True,0,Man Utd,Chelsea,4,4,2,6.895833333333332,3,22.0,0,1,0.4,0.2,2.0,0.8,80.0,0.0,0.2,0.0,0.0,0.0,0.2,-0.2,0,1
0,0,7,0,17.5,302,64,1,0,3.5,9.2,2020-11-01T16:30:00Z,74,1,0,0,0,0,7,0,1601697,1,0,8.0,2,-17677,68832,86509,105,True,0,Man Utd,Arsenal,4,3,2,7.0,0,9.6,-1,1,0.4,0.2,2.0,0.6,81.0,0.0,0.2,0.0,0.0,0.0,0.2,-0.6,0,1
1,3,51,0,21.2,302,73,1,2,17.3,93.6,2020-11-07T12:30:00Z,90,7,0,0,0,0,8,0,1495550,3,1,58.0,17,-108368,38692,147060,105,False,1,Man Utd,Everton,4,3,2,5.833333333333332,0,3.5,2,0,0.4,0.2,1.6,0.6,77.8,0.0,0.2,0.0,0.0,0.0,0.2,-0.4,0,1
0,3,44,1,86.5,302,84,0,1,20.1,58.0,2020-11-21T20:00:00Z,90,18,0,0,0,0,9,0,2644080,0,1,56.0,11,1033358,1055501,22143,107,True,0,Man Utd,West Brom,4,2,2,5.0,3,17.3,1,1,0.4,0.2,1.4,0.8,77.8,0.0,0.2,0.0,0.0,0.0,0.2,-0.2,0,1
1,0,26,0,20.1,302,96,2,1,11.0,35.6,2020-11-29T14:00:00Z,90,16,0,0,0,0,10,0,2832510,3,2,54.0,10,241785,298414,56629,108,False,0,Man Utd,Southampton,4,2,2,7.75,3,20.1,1,0,0.4,0.4,0.6,0.8,86.8,0.0,0.2,0.0,0.0,0.0,0.2,1.0,0,1
1,2,31,0,87.0,302,108,0,0,12.2,35.2,2020-12-05T17:30:00Z,45,19,0,0,0,0,11,0,3103036,3,1,0.0,6,242451,283987,41536,109,False,0,Man Utd,West Ham,4,4,2,6.145833333333332,0,11.0,2,0,0.4,0.4,0.8,0.8,86.8,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0,1
0,0,7,1,27.7,302,115,0,0,8.2,17.2,2020-12-12T17:30:00Z,90,12,0,0,0,0,12,0,3049874,0,0,37.0,3,-32910,124346,157256,109,True,0,Man Utd,Man City,4,4,2,7.0,2,12.2,0,1,0.6,0.2,0.8,0.8,77.8,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0,1
0,0,7,0,15.9,302,124,1,0,2.4,6.6,2020-12-17T20:00:00Z,79,15,0,0,0,0,13,0,3258678,3,2,1.0,2,173773,211622,37849,110,False,0,Man Utd,Sheffield Utd,4,2,2,5.104166666666667,0,8.2,1,0,0.6,0.4,0.6,0.8,81.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0,1
1,2,64,0,36.9,302,134,1,2,18.5,94.0,2020-12-20T16:30:00Z,70,10,0,0,0,0,14,0,3248370,2,6,54.0,17,-5647,83501,89148,110,True,0,Man Utd,Leeds,4,3,2,2.8541666666666665,0,2.4,4,1,0.4,0.4,0.6,0.4,78.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
1,3,39,0,40.4,302,143,2,1,14.6,58.4,2020-12-26T12:30:00Z,90,9,0,0,0,0,15,0,3359878,2,2,47.0,12,88219,201910,113691,110,False,1,Man Utd,Leicester,4,4,2,5.833333333333332,2,18.5,0,0,0.6,0.2,0.8,0.6,74.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,1
