assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
1,1,31,1,20.2,43,2,0,1,18.2,58.6,2018-08-11T14:00:00Z,90,5,0,1,0,0,1,0,147186,0,2,103.0,8,0,0,0,60,True,0,Bournemouth,Cardiff,3,2,3,7.0,1,18.2,2,1,1.0,1.0,0.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,27,0,22.3,43,20,1,1,11.2,44.0,2018-08-18T14:00:00Z,90,19,0,0,0,0,2,0,377319,2,1,46.0,6,124089,152125,28036,60,False,0,Bournemouth,West Ham,2,3,3,7.0,1,18.2,1,0,1.0,1.0,0.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,0,0
2,0,4,0,12.6,43,22,2,0,5.0,0.0,2018-08-25T14:00:00Z,90,8,0,0,0,0,3,0,661172,2,2,41.0,8,237811,298342,60531,61,True,0,Bournemouth,Everton,3,2,3,7.0,0,11.2,0,1,0.5,0.5,0.5,1.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1,0,0
0,0,-1,0,3.2,43,34,2,0,1.5,1.6,2018-09-01T14:00:00Z,90,6,0,0,0,0,4,0,795956,0,2,10.0,2,114185,176329,62144,62,False,0,Bournemouth,Chelsea,2,4,3,6.0,0,5.0,-2,0,1.0,0.3333333333333333,1.0,0.6666666666666666,90.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1,0,0
1,0,13,0,24.3,43,41,2,0,6.4,17.2,2018-09-15T14:00:00Z,90,11,0,0,0,0,5,0,1037008,2,4,22.0,4,214737,289931,75194,63,True,1,Bournemouth,Leicester,3,3,3,5.0,0,1.5,2,1,0.75,0.25,1.25,0.5,90.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,0,0
0,0,2,0,21.3,43,53,2,0,2.8,2.8,2018-09-22T14:00:00Z,67,4,0,0,0,0,6,0,1083823,0,4,4.0,2,47318,110653,63335,63,False,0,Bournemouth,Burnley,2,3,3,7.0,0,6.4,-4,0,0.8,0.2,1.4,0.4,90.0,0.0,0.2,0.0,0.0,0.0,0.2,0.6,1,0,0
1,0,16,0,29.1,43,62,1,0,7.9,27.0,2018-10-01T19:00:00Z,90,7,0,0,0,0,7,0,1036714,1,2,23.0,5,-44848,43492,88340,63,True,0,Bournemouth,Crystal Palace,3,2,3,9.208333333333334,0,2.8,1,1,0.6,0.0,1.8,0.2,85.4,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
2,2,43,1,11.7,43,80,0,1,14.5,55.4,2018-10-06T14:00:00Z,90,18,0,0,0,0,8,0,973784,4,0,78.0,14,-64131,24059,88190,63,False,0,Bournemouth,Watford,2,3,3,4.791666666666667,0,7.9,4,0,0.8,0.0,1.8,0.0,85.4,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,7,1,21.1,43,82,0,0,3.1,0.0,2018-10-20T14:00:00Z,90,16,0,0,0,0,9,0,1355184,0,0,10.0,1,342476,370201,27725,64,True,1,Bournemouth,Southampton,3,2,3,5.0,2,14.5,0,1,0.8,0.2,1.4,0.2,85.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,0
0,3,51,1,14.4,43,94,0,2,13.9,64.4,2018-10-27T14:00:00Z,90,9,0,0,0,0,10,0,1456279,3,0,60.0,13,104450,154169,49719,65,False,0,Bournemouth,Fulham,2,2,3,7.0,0,3.1,3,0,0.8,0.4,1.0,0.2,85.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1,0,0
